date,open,high,low,close,volume,ticker
2025-07-08 10:00:00,13.42,13.49,13.27,13.38,32803300.0,ABEV3
2025-07-09 10:00:00,13.45,13.45,13.23,13.31,31299800.0,ABEV3
2025-07-10 10:00:00,13.22,13.38,13.15,13.23,26865400.0,ABEV3
2025-07-11 10:00:00,13.19,13.38,13.08,13.33,40755100.0,ABEV3
2025-07-14 10:00:00,13.26,13.57,13.26,13.29,36420400.0,ABEV3
2025-07-15 10:00:00,13.37,13.52,13.23,13.27,27675300.0,ABEV3
2025-07-16 10:00:00,13.38,13.73,13.31,13.68,48903600.0,ABEV3
2025-07-17 10:00:00,13.67,13.69,13.44,13.46,19213600.0,ABEV3
2025-07-18 10:00:00,13.33,13.49,13.29,13.32,23902900.0,ABEV3
2025-07-21 10:00:00,13.35,13.45,13.26,13.42,21355000.0,ABEV3
2025-07-22 10:00:00,13.43,13.53,13.4,13.4,22285900.0,ABEV3
2025-07-23 10:00:00,13.41,13.66,13.4,13.59,15345700.0,ABEV3
2025-07-24 10:00:00,13.54,13.59,13.41,13.5,8292700.0,ABEV3
2025-07-25 10:00:00,13.58,13.6,13.45,13.47,15436100.0,ABEV3
2025-07-28 10:00:00,13.47,13.49,13.03,13.06,56671100.0,ABEV3
2025-07-29 10:00:00,13.15,13.23,13.02,13.19,20942500.0,ABEV3
2025-07-30 10:00:00,13.2,13.39,13.08,13.15,25805400.0,ABEV3
2025-07-31 10:00:00,12.33,12.61,12.2,12.46,116074600.0,ABEV3
2025-08-01 10:00:00,12.55,12.68,12.22,12.29,34261300.0,ABEV3
2025-08-04 10:00:00,12.39,12.57,12.34,12.41,16396200.0,ABEV3
2025-08-05 10:00:00,12.47,12.51,12.31,12.36,33909800.0,ABEV3
2025-08-06 10:00:00,12.5,12.57,12.38,12.48,43866000.0,ABEV3
2025-08-07 10:00:00,12.51,12.65,12.4,12.54,34814900.0,ABEV3
2025-08-08 10:00:00,12.55,12.57,12.31,12.37,24174500.0,ABEV3
2025-08-11 10:00:00,12.37,12.44,12.25,12.31,50587800.0,ABEV3
2025-08-12 10:00:00,12.38,12.44,12.23,12.23,21327300.0,ABEV3
2025-08-13 10:00:00,12.23,12.23,11.95,12.12,42653700.0,ABEV3
2025-08-14 10:00:00,12.0,12.14,11.97,12.02,21777500.0,ABEV3
2025-08-15 10:00:00,12.0,12.11,11.96,12.04,22229200.0,ABEV3
2025-08-18 10:00:00,12.04,12.21,11.98,12.07,18813900.0,ABEV3
2025-08-19 10:00:00,12.04,12.09,11.95,12.07,29267000.0,ABEV3
2025-08-20 10:00:00,12.05,12.15,11.91,12.1,21759200.0,ABEV3
2025-08-21 10:00:00,12.04,12.12,12.02,12.06,17547700.0,ABEV3
2025-08-22 10:00:00,12.13,12.31,12.09,12.21,16592500.0,ABEV3
2025-08-25 10:00:00,12.25,12.26,12.12,12.12,10382300.0,ABEV3
2025-08-26 10:00:00,12.12,12.19,12.1,12.18,27024300.0,ABEV3
2025-08-27 10:00:00,12.15,12.22,12.09,12.15,23328100.0,ABEV3
2025-08-28 10:00:00,12.24,12.32,12.17,12.25,25303600.0,ABEV3
2025-08-29 10:00:00,12.26,12.51,12.26,12.35,22696900.0,ABEV3
2025-09-01 10:00:00,12.38,12.43,12.26,12.3,8227400.0,ABEV3
2025-09-02 10:00:00,12.23,12.33,12.14,12.16,18419800.0,ABEV3
2025-09-03 10:00:00,11.9,11.96,11.75,11.9,57777400.0,ABEV3
2025-09-04 10:00:00,11.91,12.18,11.91,12.16,25257600.0,ABEV3
2025-09-05 10:00:00,12.2,12.38,12.18,12.25,17025900.0,ABEV3
2025-09-08 10:00:00,12.23,12.29,12.02,12.14,43983300.0,ABEV3
2025-09-09 10:00:00,12.11,12.37,12.11,12.33,47583700.0,ABEV3
2025-09-10 10:00:00,12.26,12.5,12.25,12.36,40403300.0,ABEV3
2025-09-11 10:00:00,12.48,12.57,12.41,12.52,28340200.0,ABEV3
2025-09-12 10:00:00,12.43,12.6,12.43,12.58,24015800.0,ABEV3
2025-09-15 10:00:00,12.58,12.7,12.55,12.63,37293700.0,ABEV3
2025-09-16 10:00:00,12.7,12.78,12.66,12.71,40985200.0,ABEV3
2025-09-17 10:00:00,12.69,12.88,12.65,12.79,26865600.0,ABEV3
2025-09-18 10:00:00,12.81,12.81,12.42,12.52,59380000.0,ABEV3
2025-09-19 10:00:00,12.55,12.61,12.38,12.55,35447400.0,ABEV3
2025-09-22 10:00:00,12.41,12.51,12.36,12.36,14169100.0,ABEV3
2025-09-23 10:00:00,12.36,12.56,12.34,12.46,14643300.0,ABEV3
2025-09-24 10:00:00,12.46,12.55,12.35,12.38,18134100.0,ABEV3
2025-09-25 10:00:00,12.39,12.62,12.32,12.46,25988200.0,ABEV3
2025-09-26 10:00:00,12.53,12.55,12.39,12.46,12757700.0,ABEV3
2025-09-29 10:00:00,12.6,12.6,12.38,12.41,21050900.0,ABEV3
2025-09-30 10:00:00,12.23,12.42,12.04,12.09,52485900.0,ABEV3
2025-10-01 10:00:00,12.19,12.19,11.88,11.99,28764000.0,ABEV3
2025-10-02 10:00:00,12.03,12.15,11.86,11.93,25828200.0,ABEV3
2025-10-03 10:00:00,11.83,11.95,11.75,11.87,21785000.0,ABEV3
2025-07-08 10:00:00,4.29,4.4,4.22,4.22,85300.0,AERI3
2025-07-09 10:00:00,4.25,4.25,4.17,4.19,54800.0,AERI3
2025-07-10 10:00:00,4.14,4.35,4.09,4.29,129200.0,AERI3
2025-07-11 10:00:00,4.29,4.45,4.21,4.28,45400.0,AERI3
2025-07-14 10:00:00,4.28,4.3,4.11,4.18,91200.0,AERI3
2025-07-15 10:00:00,4.18,4.37,4.15,4.32,87400.0,AERI3
2025-07-16 10:00:00,4.32,4.37,4.22,4.34,48100.0,AERI3
2025-07-17 10:00:00,4.26,4.65,4.25,4.48,147700.0,AERI3
2025-07-18 10:00:00,4.41,4.53,4.15,4.23,133600.0,AERI3
2025-07-21 10:00:00,4.23,4.39,4.17,4.23,69300.0,AERI3
2025-07-22 10:00:00,4.21,4.31,4.2,4.29,47100.0,AERI3
2025-07-23 10:00:00,4.27,4.35,4.21,4.34,112200.0,AERI3
2025-07-24 10:00:00,4.23,4.4,4.21,4.39,88300.0,AERI3
2025-07-25 10:00:00,4.39,4.43,4.31,4.35,41300.0,AERI3
2025-07-28 10:00:00,4.35,4.41,4.21,4.3,74600.0,AERI3
2025-07-29 10:00:00,4.35,4.35,4.24,4.28,39600.0,AERI3
2025-07-30 10:00:00,4.27,4.45,4.23,4.4,106100.0,AERI3
2025-07-31 10:00:00,4.34,4.42,4.28,4.35,43400.0,AERI3
2025-08-01 10:00:00,4.3,4.39,4.29,4.37,74100.0,AERI3
2025-08-04 10:00:00,4.37,4.43,4.31,4.37,76600.0,AERI3
2025-08-05 10:00:00,4.33,4.41,4.25,4.26,86400.0,AERI3
2025-08-06 10:00:00,4.26,4.38,4.26,4.34,66100.0,AERI3
2025-08-07 10:00:00,4.34,4.48,4.26,4.43,125100.0,AERI3
2025-08-08 10:00:00,4.37,4.43,4.28,4.37,52400.0,AERI3
2025-08-11 10:00:00,4.37,4.38,4.3,4.38,30300.0,AERI3
2025-08-12 10:00:00,4.3,4.46,4.3,4.4,86300.0,AERI3
2025-08-13 10:00:00,4.34,4.4,4.32,4.37,31500.0,AERI3
2025-08-14 10:00:00,4.39,4.5,4.31,4.5,102300.0,AERI3
2025-08-15 10:00:00,4.42,4.58,4.1,4.38,149600.0,AERI3
2025-08-18 10:00:00,4.33,4.41,4.16,4.16,126500.0,AERI3
2025-08-19 10:00:00,4.19,4.26,4.09,4.15,159700.0,AERI3
2025-08-20 10:00:00,4.09,4.2,4.02,4.1,83600.0,AERI3
2025-08-21 10:00:00,4.1,4.19,4.07,4.16,60700.0,AERI3
2025-08-22 10:00:00,4.17,4.24,4.12,4.16,48800.0,AERI3
2025-08-25 10:00:00,4.15,4.56,4.07,4.15,407800.0,AERI3
2025-08-26 10:00:00,4.17,4.22,4.16,4.18,40200.0,AERI3
2025-08-27 10:00:00,4.16,4.2,4.13,4.15,123400.0,AERI3
2025-08-28 10:00:00,4.17,4.37,4.17,4.27,147900.0,AERI3
