date,open,high,low,close,volume
2025-10-15 10:00:00,11.99,12.1,11.91,11.99,28407100
2025-10-16 10:00:00,11.99,12.24,11.92,12.15,26420200
2025-10-17 10:00:00,12.13,12.4,12.1,12.37,23480500
2025-10-20 10:00:00,12.33,12.45,12.29,12.36,18260900
2025-10-21 10:00:00,12.32,12.35,12.15,12.22,26607400
2025-10-22 10:00:00,12.25,12.27,12.06,12.07,29517800
2025-10-23 10:00:00,12.1,12.18,12.03,12.12,25355600
2025-10-24 10:00:00,12.18,12.26,12.05,12.11,21686700
2025-10-27 10:00:00,12.22,12.39,12.1,12.15,40310400
2025-10-28 10:00:00,12.13,12.15,12.0,12.03,29170400
2025-10-29 10:00:00,12.06,12.14,11.98,12.03,38485900
2025-10-30 10:00:00,12.5,12.66,12.35,12.59,91617100
2025-10-31 10:00:00,12.51,12.92,12.51,12.71,32112500
2025-11-03 10:00:00,12.89,12.94,12.73,12.91,28265800
2025-11-04 10:00:00,12.89,13.16,12.83,13.16,27058100
2025-11-05 10:00:00,13.16,13.29,13.11,13.18,21385300
2025-11-06 10:00:00,13.24,13.24,13.08,13.08,15494600
2025-11-07 10:00:00,13.08,13.29,13.05,13.12,30240300
2025-11-10 10:00:00,13.25,13.26,13.09,13.18,25239700
2025-11-11 10:00:00,13.29,13.65,13.24,13.59,36404100
2025-11-12 10:00:00,13.59,13.66,13.55,13.62,32756700
2025-11-13 10:00:00,13.64,13.75,13.51,13.63,23794500
2025-11-14 10:00:00,13.68,13.84,13.65,13.69,15539900
2025-11-17 10:00:00,13.64,13.83,13.63,13.76,33654100
2025-11-18 10:00:00,13.69,13.9,13.67,13.74,46389400
2025-11-19 10:00:00,13.74,13.86,13.41,13.41,101108300
2025-11-21 10:00:00,13.54,13.71,13.36,13.62,35463400
2025-11-24 10:00:00,13.58,13.87,13.56,13.77,43126600
2025-11-25 10:00:00,13.8,13.92,13.62,13.74,20205700
2025-11-26 10:00:00,13.8,13.81,13.58,13.67,33961700
2025-11-27 10:00:00,13.7,13.77,13.65,13.72,8093600
2025-11-28 10:00:00,13.7,13.96,13.66,13.86,23319400
2025-12-01 10:00:00,13.84,14.02,13.8,14.01,15984500
2025-12-02 10:00:00,14.01,14.35,13.85,14.0,36109000
2025-12-03 10:00:00,14.06,14.15,13.97,14.15,15674100
2025-12-04 10:00:00,14.18,14.21,13.85,13.95,37988200
2025-12-05 10:00:00,13.97,14.11,13.59,13.61,61741400
2025-12-08 10:00:00,13.69,13.76,13.59,13.62,19119600
2025-12-09 10:00:00,13.51,13.74,13.46,13.64,38541700
2025-12-10 10:00:00,13.26,13.65,13.14,13.6,91743100
2025-12-11 10:00:00,13.53,13.84,13.42,13.78,22635200
2025-12-12 10:00:00,13.84,14.05,13.8,14.04,30262800
2025-12-15 10:00:00,14.04,14.35,14.03,14.28,22268400
2025-12-16 10:00:00,14.06,14.28,14.01,14.16,43020300
2025-12-17 10:00:00,13.99,14.13,13.9,14.02,28631200
2025-12-18 10:00:00,13.95,14.16,13.92,13.92,23928400
2025-12-19 10:00:00,13.18,13.32,13.14,13.28,30380100
2025-12-22 10:00:00,13.28,13.3,13.0,13.12,26993300
2025-12-23 10:00:00,13.17,13.57,13.14,13.47,45087200
2025-12-26 10:00:00,13.4,13.82,13.4,13.72,29118400
2025-12-29 10:00:00,13.68,13.87,13.54,13.87,20303700
2025-12-30 10:00:00,13.9,14.09,13.86,13.86,25304800
2026-01-02 10:00:00,13.88,14.02,13.56,13.65,24557600
2026-01-05 10:00:00,13.63,13.76,13.57,13.71,17543300
2026-01-06 10:00:00,13.8,13.85,13.63,13.7,28548900
2026-01-07 10:00:00,13.65,13.72,13.6,13.7,28605400
2026-01-08 10:00:00,13.68,13.8,13.34,13.64,31130800
2026-01-09 10:00:00,13.62,13.96,13.61,13.9,17408500
2026-01-12 10:00:00,13.81,14.04,13.77,13.9,14562800
