date,open,high,low,close,volume
2025-10-15 10:00:00,4.0,4.14,3.92,4.06,78200
2025-10-16 10:00:00,4.08,4.13,4.01,4.06,26200
2025-10-17 10:00:00,4.0,4.09,4.0,4.06,21300
2025-10-20 10:00:00,4.01,4.11,4.0,4.0,52600
2025-10-21 10:00:00,4.04,4.1,4.0,4.09,71300
2025-10-22 10:00:00,4.08,4.08,4.02,4.06,17000
2025-10-23 10:00:00,4.02,4.08,4.02,4.08,38000
2025-10-24 10:00:00,4.08,4.19,4.07,4.11,70800
2025-10-27 10:00:00,4.1,4.13,4.08,4.12,26000
2025-10-28 10:00:00,4.08,4.3,4.08,4.23,126100
2025-10-29 10:00:00,4.2,4.3,4.19,4.19,54900
2025-10-30 10:00:00,4.19,4.25,4.05,4.14,89900
2025-10-31 10:00:00,4.1,4.18,4.05,4.15,63500
2025-11-03 10:00:00,4.15,4.15,4.08,4.09,22300
2025-11-04 10:00:00,4.14,4.14,4.05,4.08,49800
2025-11-05 10:00:00,4.08,4.15,4.06,4.13,54200
2025-11-06 10:00:00,4.08,4.11,4.01,4.06,95800
2025-11-07 10:00:00,4.03,4.15,4.0,4.12,54300
2025-11-10 10:00:00,4.15,4.16,4.0,4.0,77500
2025-11-11 10:00:00,4.06,4.15,4.02,4.1,70100
2025-11-12 10:00:00,4.1,4.12,4.01,4.1,57000
2025-11-13 10:00:00,4.1,4.1,4.01,4.02,127900
2025-11-14 10:00:00,4.01,4.08,4.01,4.08,47400
2025-11-17 10:00:00,4.05,4.08,4.02,4.06,53700
2025-11-18 10:00:00,4.04,4.09,4.03,4.06,30000
2025-11-19 10:00:00,4.06,4.07,4.03,4.05,23300
2025-11-21 10:00:00,4.07,4.08,4.01,4.01,108700
2025-11-24 10:00:00,4.01,4.07,3.97,4.05,78300
2025-11-25 10:00:00,4.05,4.1,3.99,4.07,42500
2025-11-26 10:00:00,4.05,4.1,4.02,4.02,24900
2025-11-27 10:00:00,4.08,4.08,4.02,4.06,46600
2025-11-28 10:00:00,4.05,4.08,4.03,4.07,36600
2025-12-01 10:00:00,4.06,4.07,4.04,4.06,31400
2025-12-02 10:00:00,4.09,4.09,4.05,4.05,41900
2025-12-03 10:00:00,4.05,4.07,4.04,4.07,55500
2025-12-04 10:00:00,4.05,4.15,4.04,4.07,57500
2025-12-05 10:00:00,4.07,4.07,3.99,3.99,80300
2025-12-08 10:00:00,4.05,4.05,4.0,4.02,42000
2025-12-09 10:00:00,4.02,4.04,3.98,4.0,95500
2025-12-10 10:00:00,4.04,4.04,3.87,3.9,183000
2025-12-11 10:00:00,3.88,3.88,3.58,3.59,350400
2025-12-12 10:00:00,3.64,3.65,3.0,3.28,602200
2025-12-15 10:00:00,3.23,3.31,3.17,3.23,137300
2025-12-16 10:00:00,3.18,3.2,3.14,3.2,62200
2025-12-17 10:00:00,3.23,3.33,3.18,3.26,67000
2025-12-18 10:00:00,3.31,3.36,3.29,3.3,100800
2025-12-19 10:00:00,3.27,3.35,3.27,3.32,38100
2025-12-22 10:00:00,3.33,3.34,3.16,3.2,46700
2025-12-23 10:00:00,3.2,3.2,3.12,3.17,80500
2025-12-26 10:00:00,3.17,3.24,3.11,3.24,34700
2025-12-29 10:00:00,3.19,3.23,3.16,3.21,39000
2025-12-30 10:00:00,3.23,3.32,3.18,3.31,47600
2026-01-02 10:00:00,3.21,3.3,3.21,3.25,18800
2026-01-05 10:00:00,3.29,3.29,3.17,3.23,30600
2026-01-06 10:00:00,3.25,3.3,3.18,3.28,41100
2026-01-07 10:00:00,3.21,3.29,3.21,3.28,41600
2026-01-08 10:00:00,3.3,3.3,3.23,3.24,23100
2026-01-09 10:00:00,3.24,3.28,3.21,3.28,56200
2026-01-12 10:00:00,3.28,3.29,3.22,3.28,43500
