date,open,high,low,close,volume
2025-10-14 10:00:00,5.38,5.55,5.26,5.35,2424600
2025-10-15 10:00:00,5.38,5.45,5.3,5.3,2066800
2025-10-16 10:00:00,5.29,5.35,5.09,5.09,1968900
2025-10-17 10:00:00,5.1,5.2,5.04,5.06,1762600
2025-10-20 10:00:00,5.08,5.24,5.08,5.2,1181700
2025-10-21 10:00:00,5.08,5.34,5.08,5.23,1315800
2025-10-22 10:00:00,5.23,5.42,5.18,5.33,1639100
2025-10-23 10:00:00,5.41,5.41,5.27,5.27,1128900
2025-10-24 10:00:00,5.28,5.42,5.28,5.38,863100
2025-10-27 10:00:00,5.45,5.62,5.39,5.43,1602600
2025-10-28 10:00:00,5.45,5.54,5.37,5.42,1168600
2025-10-29 10:00:00,5.45,5.59,5.43,5.5,1170800
2025-10-30 10:00:00,5.46,5.79,5.41,5.78,1666000
2025-10-31 10:00:00,5.81,5.87,5.47,5.5,1549700
2025-11-03 10:00:00,5.51,5.56,5.17,5.27,1878700
2025-11-04 10:00:00,5.23,5.29,5.1,5.1,1838000
2025-11-05 10:00:00,5.1,5.33,5.1,5.29,2087400
2025-11-06 10:00:00,5.21,5.28,5.1,5.1,1446700
2025-11-07 10:00:00,5.1,5.2,5.1,5.17,732600
2025-11-10 10:00:00,5.21,5.34,5.2,5.32,1237400
2025-11-11 10:00:00,5.35,5.69,5.33,5.57,2519700
2025-11-12 10:00:00,5.6,5.65,5.47,5.55,1693000
2025-11-13 10:00:00,5.6,5.95,5.19,5.2,4446500
2025-11-14 10:00:00,5.15,5.3,5.12,5.13,2231000
2025-11-17 10:00:00,5.15,5.43,5.15,5.21,1612700
2025-11-18 10:00:00,5.27,5.53,5.19,5.49,2360300
2025-11-19 10:00:00,5.53,5.69,5.45,5.62,1913000
2025-11-21 10:00:00,5.62,5.75,5.52,5.61,1429500
2025-11-24 10:00:00,5.59,5.73,5.59,5.65,1046700
2025-11-25 10:00:00,5.67,6.15,5.67,6.13,3884500
2025-11-26 10:00:00,6.11,6.24,5.78,5.98,2985400
2025-11-27 10:00:00,6.0,6.2,5.96,6.02,1987600
2025-11-28 10:00:00,6.05,6.14,5.9,5.94,1564900
2025-12-01 10:00:00,6.0,6.46,5.94,6.15,3838400
2025-12-02 10:00:00,6.23,6.74,6.18,6.66,3307800
2025-12-03 10:00:00,6.62,7.05,6.4,6.95,4562000
2025-12-04 10:00:00,6.93,7.37,6.87,7.12,4505900
2025-12-05 10:00:00,7.07,7.39,6.7,6.72,4305800
2025-12-08 10:00:00,6.8,7.05,6.67,6.75,1506700
2025-12-09 10:00:00,6.79,6.81,6.33,6.33,2117400
2025-12-10 10:00:00,6.41,6.48,6.28,6.48,2006700
2025-12-11 10:00:00,6.3,6.5,6.14,6.17,1415000
2025-12-12 10:00:00,6.2,6.29,5.92,5.99,2443100
2025-12-15 10:00:00,6.05,6.16,5.78,5.81,2007600
2025-12-16 10:00:00,5.75,5.78,5.4,5.42,2751800
2025-12-17 10:00:00,5.38,5.49,5.33,5.35,1981000
2025-12-18 10:00:00,5.32,5.45,5.27,5.33,1495100
2025-12-19 10:00:00,5.33,5.36,5.27,5.27,1310400
2025-12-22 10:00:00,5.27,5.34,5.22,5.27,1041300
2025-12-23 10:00:00,5.28,5.46,5.23,5.36,2579200
2025-12-26 10:00:00,5.28,5.41,5.28,5.35,623100
2025-12-29 10:00:00,5.36,5.4,5.22,5.24,1310700
2025-12-30 10:00:00,5.31,5.33,5.13,5.13,2293700
2026-01-02 10:00:00,5.19,5.28,5.02,5.02,2671300
2026-01-05 10:00:00,5.05,5.07,4.93,5.0,2769500
2026-01-06 10:00:00,5.04,5.18,5.01,5.04,1815100
2026-01-07 10:00:00,5.1,5.1,4.87,4.95,2241000
2026-01-08 10:00:00,5.01,5.08,4.95,5.0,1528900
2026-01-09 10:00:00,5.02,5.07,4.95,4.96,1720900
2026-01-12 13:55:37,5.0,5.08,4.95,4.99,1415700
