date,open,high,low,close,volume
2025-10-20 10:00:00,12.64,12.8,12.54,12.66,19391000
2025-10-21 10:00:00,12.6,12.63,12.33,12.33,17862400
2025-10-22 10:00:00,12.4,12.63,12.3,12.45,42120000
2025-10-23 10:00:00,12.55,12.69,12.46,12.59,25108500
2025-10-24 10:00:00,12.77,12.98,12.5,12.5,26019700
2025-10-27 10:00:00,12.63,12.78,12.48,12.53,15181600
2025-10-28 10:00:00,12.49,12.76,12.45,12.63,20963800
2025-10-29 10:00:00,12.7,12.79,12.55,12.64,20173700
2025-10-30 10:00:00,12.5,12.75,12.41,12.6,14072300
2025-10-31 10:00:00,12.73,12.76,12.64,12.66,17872900
2025-11-03 10:00:00,12.79,12.94,12.68,12.84,27192300
2025-11-04 10:00:00,12.8,12.91,12.55,12.84,38086200
2025-11-05 10:00:00,12.84,13.25,12.79,13.2,32733700
2025-11-06 10:00:00,13.25,13.25,13.03,13.1,33002800
2025-11-07 10:00:00,13.08,13.15,12.93,12.98,21686600
2025-11-10 10:00:00,13.03,13.12,12.88,13.12,37328100
2025-11-11 10:00:00,13.23,13.65,13.17,13.53,66621000
2025-11-12 10:00:00,13.62,14.22,13.58,14.12,73999300
2025-11-13 10:00:00,14.06,14.56,14.05,14.47,66538000
2025-11-14 10:00:00,14.45,14.6,14.33,14.44,34127600
2025-11-17 10:00:00,14.38,14.58,14.02,14.16,39319600
2025-11-18 10:00:00,14.07,14.29,13.99,14.05,56692100
2025-11-19 10:00:00,14.05,14.06,13.78,13.85,34599400
2025-11-21 10:00:00,13.81,13.89,13.59,13.89,28389800
2025-11-24 10:00:00,13.88,14.1,13.85,13.98,39046200
2025-11-25 10:00:00,13.97,14.22,13.9,14.17,21263100
2025-11-26 10:00:00,14.17,14.72,14.16,14.71,35623400
2025-11-27 10:00:00,14.61,14.78,14.54,14.73,30241300
2025-11-28 10:00:00,14.72,15.11,14.72,14.96,31855300
2025-12-01 10:00:00,14.94,15.05,14.78,14.89,25552400
2025-12-02 10:00:00,14.91,15.17,14.7,15.1,56471500
2025-12-03 10:00:00,15.2,15.22,14.72,14.79,33323800
2025-12-04 10:00:00,14.89,15.14,14.84,15.02,41656800
2025-12-05 10:00:00,15.02,15.08,13.84,14.01,63305600
2025-12-08 10:00:00,14.12,14.5,14.08,14.35,42127300
2025-12-09 10:00:00,14.13,14.24,13.89,14.12,29507300
2025-12-10 10:00:00,14.17,14.32,14.01,14.21,23459000
2025-12-11 10:00:00,14.14,14.55,14.06,14.3,23197900
2025-12-12 10:00:00,14.37,14.66,14.23,14.33,30560500
2025-12-15 10:00:00,14.54,14.61,14.41,14.41,38100400
2025-12-16 10:00:00,14.3,14.3,13.67,13.72,60275300
2025-12-17 10:00:00,13.7,13.72,13.07,13.25,132381000
2025-12-18 10:00:00,13.16,13.4,13.13,13.3,38525400
2025-12-19 10:00:00,13.22,13.45,13.21,13.39,39377400
2025-12-22 10:00:00,13.39,13.45,13.19,13.24,25118500
2025-12-23 10:00:00,13.28,13.63,13.24,13.53,26819000
2025-12-26 10:00:00,13.53,13.83,13.41,13.72,24322100
2025-12-29 10:00:00,13.59,13.83,13.59,13.79,24699600
2025-12-30 10:00:00,13.83,14.04,13.82,13.89,24758000
2026-01-02 10:00:00,13.59,13.72,13.35,13.43,25030000
2026-01-05 10:00:00,13.5,14.04,13.49,13.95,26006500
2026-01-06 10:00:00,14.05,14.57,14.02,14.5,31323200
2026-01-07 10:00:00,14.49,14.61,14.1,14.28,28359300
2026-01-08 10:00:00,14.36,14.43,14.12,14.38,74915400
2026-01-09 10:00:00,14.4,14.81,14.35,14.46,51883500
2026-01-12 10:00:00,14.44,14.64,14.29,14.49,30178100
2026-01-13 10:00:00,14.36,14.45,14.23,14.31,26056900
2026-01-14 10:00:00,14.42,14.78,14.31,14.73,43356400
2026-01-15 10:00:00,14.79,15.2,14.63,15.12,51505100
