date,open,high,low,close,volume
2025-10-14 10:00:00,20.8,21.16,20.67,20.7,19911800
2025-10-15 10:00:00,20.7,20.7,20.23,20.32,59520500
2025-10-16 10:00:00,20.29,20.61,20.02,20.37,25380500
2025-10-17 10:00:00,20.37,20.9,20.16,20.9,69050600
2025-10-20 10:00:00,20.71,20.91,20.51,20.77,18843700
2025-10-21 10:00:00,20.76,20.76,20.37,20.54,25719800
2025-10-22 10:00:00,20.59,20.71,20.48,20.69,13590700
2025-10-23 10:00:00,20.74,20.85,20.55,20.65,11428700
2025-10-24 10:00:00,20.73,20.95,20.47,20.52,23127500
2025-10-27 10:00:00,20.72,20.88,20.57,20.85,21147500
2025-10-28 10:00:00,20.84,21.08,20.8,20.96,17489600
2025-10-29 10:00:00,21.04,21.45,21.04,21.22,17099800
2025-10-30 10:00:00,21.02,21.84,20.99,21.63,27700600
2025-10-31 10:00:00,21.76,22.18,21.75,21.9,31430300
2025-11-03 10:00:00,21.99,22.14,21.71,22.08,23059400
2025-11-04 10:00:00,21.97,22.38,21.96,22.27,18372500
2025-11-05 10:00:00,22.27,22.7,22.21,22.61,21186000
2025-11-06 10:00:00,22.61,22.9,22.52,22.86,23305100
2025-11-07 10:00:00,22.82,22.92,22.57,22.89,16303700
2025-11-10 10:00:00,22.91,22.99,22.6,22.78,18881800
2025-11-11 10:00:00,22.85,23.59,22.85,23.47,31294700
2025-11-12 10:00:00,23.47,23.52,22.55,22.8,49688100
2025-11-13 10:00:00,21.3,22.7,21.29,22.5,66538100
2025-11-14 10:00:00,22.35,23.08,22.11,22.44,36144600
2025-11-17 10:00:00,22.44,22.62,22.28,22.5,18797000
2025-11-18 10:00:00,22.3,22.39,21.88,21.88,25637700
2025-11-19 10:00:00,21.87,21.92,21.55,21.58,21302000
2025-11-21 10:00:00,21.58,22.0,21.43,22.0,32134300
2025-11-24 10:00:00,21.95,22.2,21.84,21.84,23116900
2025-11-25 10:00:00,21.9,22.12,21.85,21.97,19668500
2025-11-26 10:00:00,21.97,22.37,21.96,22.22,15757200
2025-11-27 10:00:00,22.28,22.33,22.04,22.16,8595700
2025-11-28 10:00:00,22.19,22.69,22.17,22.47,19115200
2025-12-01 10:00:00,22.51,22.53,22.12,22.26,15511100
2025-12-02 10:00:00,22.29,22.6,22.21,22.56,21443700
2025-12-03 10:00:00,22.59,22.7,22.25,22.38,20882500
2025-12-04 10:00:00,22.41,22.9,22.41,22.77,26591100
2025-12-05 10:00:00,22.75,22.9,21.16,21.16,51737100
2025-12-08 10:00:00,21.63,21.77,21.42,21.6,27278400
2025-12-09 10:00:00,21.47,21.72,21.12,21.49,20754600
2025-12-10 10:00:00,21.5,21.7,21.32,21.6,14096700
2025-12-11 10:00:00,21.48,21.82,21.43,21.57,17143500
2025-12-12 10:00:00,21.68,21.99,21.64,21.7,22651600
2025-12-15 10:00:00,21.91,22.04,21.8,22.01,18133500
2025-12-16 10:00:00,21.94,22.14,21.61,21.71,22792200
2025-12-17 10:00:00,21.73,21.74,21.28,21.55,26144900
2025-12-18 10:00:00,21.49,21.81,21.47,21.59,17004900
2025-12-19 10:00:00,21.59,21.65,21.41,21.44,41700500
2025-12-22 10:00:00,21.44,21.55,21.22,21.3,17942700
2025-12-23 10:00:00,21.34,21.75,21.31,21.75,14967000
2025-12-26 10:00:00,21.5,21.89,21.45,21.85,9742800
2025-12-29 10:00:00,21.75,21.88,21.6,21.72,9988400
2025-12-30 10:00:00,21.77,22.13,21.77,21.92,13121900
2026-01-02 10:00:00,22.05,22.2,21.63,21.68,16077000
2026-01-05 10:00:00,21.68,21.96,21.58,21.88,10675500
2026-01-06 10:00:00,21.92,22.16,21.92,22.12,28809400
2026-01-07 10:00:00,22.08,22.08,21.64,21.7,27650400
2026-01-08 10:00:00,21.7,21.89,21.63,21.82,23579700
2026-01-09 10:00:00,21.82,21.9,21.68,21.86,20280800
2026-01-12 12:56:08,21.85,21.88,21.59,21.86,6803700
