date,open,high,low,close,volume
2025-10-17 10:00:00,31.8,32.0,31.68,31.96,3610500
2025-10-20 10:00:00,31.99,32.31,31.94,32.11,2512100
2025-10-21 10:00:00,32.15,32.17,31.87,31.91,2538400
2025-10-22 10:00:00,32.01,32.35,31.85,32.1,3045600
2025-10-23 10:00:00,32.21,32.29,31.88,32.01,3674600
2025-10-24 10:00:00,32.11,32.27,31.93,32.08,2494700
2025-10-27 10:00:00,32.28,32.41,32.13,32.17,2571200
2025-10-28 10:00:00,32.24,32.76,32.18,32.68,3412800
2025-10-29 10:00:00,32.73,32.88,32.39,32.42,3761500
2025-10-30 10:00:00,32.38,32.85,32.33,32.82,2494000
2025-10-31 10:00:00,32.93,33.05,32.65,32.85,5909900
2025-11-03 10:00:00,33.07,33.3,32.89,33.24,3814900
2025-11-04 10:00:00,33.7,34.4,33.48,33.64,8540600
2025-11-05 10:00:00,33.64,34.13,33.5,33.75,6270000
2025-11-06 10:00:00,33.76,34.35,33.76,34.23,4432900
2025-11-07 10:00:00,34.23,34.26,33.74,33.82,3398900
2025-11-10 10:00:00,34.03,34.39,33.91,34.34,4320300
2025-11-11 10:00:00,33.79,34.14,33.35,33.56,11378100
2025-11-12 10:00:00,33.62,33.62,33.04,33.29,5843900
2025-11-13 10:00:00,33.28,33.49,33.02,33.33,10390600
2025-11-14 10:00:00,33.33,33.95,33.24,33.79,3555300
2025-11-17 10:00:00,33.79,34.07,33.64,33.85,7390400
2025-11-18 10:00:00,33.85,33.85,33.49,33.49,2738600
2025-11-19 10:00:00,33.5,33.71,33.32,33.32,2731600
2025-11-21 10:00:00,33.35,33.48,33.09,33.27,3665600
2025-11-24 10:00:00,33.27,33.7,33.18,33.56,5437600
2025-11-25 10:00:00,33.7,34.14,33.5,34.14,4333500
2025-11-26 10:00:00,34.2,34.83,34.05,34.6,4602600
2025-11-27 10:00:00,34.6,34.69,34.31,34.49,1596100
2025-11-28 10:00:00,34.63,34.74,33.89,34.11,7441900
2025-12-01 10:00:00,34.14,34.61,33.89,34.61,3559800
2025-12-02 10:00:00,34.68,34.83,34.37,34.8,7196800
2025-12-03 10:00:00,34.8,34.99,34.59,34.75,5805000
2025-12-04 10:00:00,34.78,35.3,34.75,35.3,4298300
2025-12-05 10:00:00,35.33,35.5,34.23,34.5,7141700
2025-12-08 10:00:00,34.84,35.6,34.84,35.42,5445000
2025-12-09 10:00:00,35.32,35.38,35.01,35.25,5032000
2025-12-10 10:00:00,35.3,35.45,35.1,35.43,3431800
2025-12-11 10:00:00,35.35,35.5,35.17,35.17,3689100
2025-12-12 10:00:00,35.43,35.66,35.26,35.61,3148600
2025-12-15 10:00:00,35.71,36.16,35.71,35.75,3063800
2025-12-16 10:00:00,35.75,35.78,35.24,35.24,4133100
2025-12-17 10:00:00,35.42,35.5,34.78,34.91,5089500
2025-12-18 10:00:00,35.38,35.95,35.19,35.29,6544000
2025-12-19 10:00:00,35.58,35.74,35.27,35.27,7094000
2025-12-22 10:00:00,35.45,35.53,34.86,35.07,6639800
2025-12-23 10:00:00,34.98,35.62,34.98,35.55,7078300
2025-12-26 10:00:00,35.5,35.79,35.35,35.77,11320400
2025-12-29 10:00:00,35.8,36.07,35.72,36.07,8870600
2025-12-30 10:00:00,36.08,36.4,36.05,36.15,3052600
2026-01-02 10:00:00,36.23,36.51,35.74,35.74,3505600
2026-01-05 10:00:00,35.83,36.09,35.38,35.86,5402000
2026-01-06 10:00:00,36.0,36.22,35.92,36.1,5621100
2026-01-07 10:00:00,36.1,36.11,35.36,35.4,4478100
2026-01-08 10:00:00,35.37,35.37,34.52,34.65,6946400
2026-01-09 10:00:00,34.66,35.15,34.64,34.99,12203300
2026-01-12 10:00:00,35.0,35.0,34.6,34.8,5628200
2026-01-13 10:00:00,34.8,34.91,34.47,34.69,6185700
2026-01-14 10:00:00,34.81,34.9,34.46,34.82,4844900
2026-01-15 10:14:16,34.9,35.0,34.81,34.87,161400
