date,open,high,low,close,volume
2025-10-15 10:00:00,6.59,6.75,6.47,6.74,6976100
2025-10-16 10:00:00,6.71,6.8,6.62,6.74,7985200
2025-10-17 10:00:00,6.75,6.83,6.61,6.79,8953700
2025-10-20 10:00:00,6.77,6.89,6.74,6.85,5797900
2025-10-21 10:00:00,6.82,6.89,6.74,6.85,9054600
2025-10-22 10:00:00,6.85,6.89,6.77,6.89,8113400
2025-10-23 10:00:00,6.9,7.17,6.9,7.08,16954000
2025-10-24 10:00:00,7.12,7.14,6.96,7.07,12144800
2025-10-27 10:00:00,7.14,7.17,6.94,7.04,9438500
2025-10-28 10:00:00,7.05,7.21,7.05,7.1,13610400
2025-10-29 10:00:00,7.15,7.17,6.84,6.89,16669700
2025-10-30 10:00:00,6.89,7.0,6.83,6.92,7879300
2025-10-31 10:00:00,6.94,7.18,6.87,7.18,20664500
2025-11-03 10:00:00,7.19,7.45,7.15,7.38,14588200
2025-11-04 10:00:00,7.4,7.46,7.34,7.44,8265900
2025-11-05 10:00:00,7.44,7.58,7.29,7.42,30254300
2025-11-06 10:00:00,7.16,7.2,6.26,6.42,84329000
2025-11-07 10:00:00,6.42,6.53,6.04,6.11,38018900
2025-11-10 10:00:00,6.2,6.29,6.1,6.2,22917200
2025-11-11 10:00:00,6.23,6.48,6.23,6.42,22157300
2025-11-12 10:00:00,6.42,6.46,6.33,6.42,10473600
2025-11-13 10:00:00,6.39,6.43,6.21,6.29,13151200
2025-11-14 10:00:00,6.22,6.55,6.22,6.53,27382100
2025-11-17 10:00:00,6.55,6.75,6.54,6.66,15145800
2025-11-18 10:00:00,6.62,6.86,6.6,6.8,13225800
2025-11-19 10:00:00,6.8,7.0,6.49,6.52,17254900
2025-11-21 10:00:00,6.73,6.75,6.35,6.35,16587600
2025-11-24 10:00:00,6.36,6.46,6.31,6.36,13192600
2025-11-25 10:00:00,6.35,6.39,6.23,6.32,11394000
2025-11-26 10:00:00,6.33,6.41,6.22,6.29,12338700
2025-11-27 10:00:00,6.29,6.3,6.23,6.24,4890000
2025-11-28 10:00:00,6.24,6.28,6.16,6.23,13515800
2025-12-01 10:00:00,6.2,6.2,6.01,6.05,15505900
2025-12-02 10:00:00,6.05,6.12,6.04,6.1,12119000
2025-12-03 10:00:00,6.13,6.21,6.09,6.16,9030800
2025-12-04 10:00:00,6.21,6.36,6.18,6.26,10677900
2025-12-05 10:00:00,6.26,6.4,6.09,6.14,16687600
2025-12-08 10:00:00,6.17,6.21,6.07,6.12,8591600
2025-12-09 10:00:00,6.12,6.12,5.97,6.06,9157800
2025-12-10 10:00:00,6.08,6.2,6.01,6.12,9285300
2025-12-11 10:00:00,6.1,6.25,6.02,6.14,12986800
2025-12-12 10:00:00,6.1,6.25,6.0,6.03,11372200
2025-12-15 10:00:00,6.06,6.1,5.89,6.02,14393100
2025-12-16 10:00:00,5.81,5.82,5.68,5.76,14477100
2025-12-17 10:00:00,5.76,5.78,5.6,5.65,12710800
2025-12-18 10:00:00,5.65,5.71,5.59,5.64,8540600
2025-12-19 10:00:00,5.63,5.79,5.61,5.67,20419400
2025-12-22 10:00:00,5.67,5.68,5.58,5.63,4361000
2025-12-23 10:00:00,5.65,5.75,5.64,5.7,4049800
2025-12-26 10:00:00,5.66,5.75,5.66,5.72,3722400
2025-12-29 10:00:00,5.73,5.79,5.7,5.78,5999500
2025-12-30 10:00:00,5.8,5.86,5.71,5.76,6025400
2026-01-02 10:00:00,5.62,5.68,5.34,5.37,23036900
2026-01-05 10:00:00,5.38,5.4,5.16,5.23,15542100
2026-01-06 10:00:00,5.27,5.32,5.17,5.2,11012600
2026-01-07 10:00:00,5.21,5.21,5.07,5.16,10978700
2026-01-08 10:00:00,5.16,5.19,5.12,5.17,7635000
2026-01-09 10:00:00,5.19,5.35,5.18,5.3,16098700
2026-01-12 10:00:00,5.33,5.45,5.25,5.37,11310400
