date,open,high,low,close,volume
2025-10-14 10:00:00,3.85,3.92,3.84,3.88,307000
2025-10-15 10:00:00,3.89,4.01,3.88,3.97,509800
2025-10-16 10:00:00,3.97,4.03,3.93,3.95,588500
2025-10-17 10:00:00,3.93,4.01,3.92,3.95,573000
2025-10-20 10:00:00,3.95,4.01,3.93,3.98,513200
2025-10-21 10:00:00,3.98,4.02,3.95,3.99,495700
2025-10-22 10:00:00,3.97,3.99,3.9,3.93,450300
2025-10-23 10:00:00,3.9,3.96,3.9,3.95,231800
2025-10-24 10:00:00,3.92,3.96,3.91,3.91,243200
2025-10-27 10:00:00,3.95,3.95,3.92,3.93,341900
2025-10-28 10:00:00,3.91,3.93,3.91,3.92,219300
2025-10-29 10:00:00,3.91,3.98,3.91,3.95,368400
2025-10-30 10:00:00,3.95,3.98,3.93,3.97,389900
2025-10-31 10:00:00,3.97,4.05,3.96,4.03,694900
2025-11-03 10:00:00,4.03,4.04,3.97,4.04,574800
2025-11-04 10:00:00,4.04,4.04,3.98,4.01,521400
2025-11-05 10:00:00,4.01,4.18,4.01,4.1,1127000
2025-11-06 10:00:00,4.12,4.15,4.06,4.1,513100
2025-11-07 10:00:00,4.1,4.14,4.06,4.11,696500
2025-11-10 10:00:00,4.1,4.16,4.06,4.1,2668600
2025-11-11 10:00:00,4.12,4.19,4.1,4.14,1143000
2025-11-12 10:00:00,4.1,4.11,4.0,4.06,603900
2025-11-13 10:00:00,4.06,4.16,4.03,4.16,653400
2025-11-14 10:00:00,4.17,4.32,4.15,4.21,1300900
2025-11-17 10:00:00,4.25,4.39,4.22,4.35,1063400
2025-11-18 10:00:00,4.34,4.37,4.23,4.31,1010700
2025-11-19 10:00:00,4.31,4.32,4.21,4.24,554800
2025-11-21 10:00:00,4.24,4.3,4.22,4.26,552000
2025-11-24 10:00:00,4.3,4.33,4.24,4.25,598400
2025-11-25 10:00:00,4.27,4.29,4.21,4.25,393900
2025-11-26 10:00:00,4.27,4.34,4.24,4.3,486200
2025-11-27 10:00:00,4.35,4.46,4.3,4.35,942500
2025-11-28 10:00:00,4.39,4.47,4.37,4.46,667000
2025-12-01 10:00:00,4.46,4.49,4.4,4.41,429400
2025-12-02 10:00:00,4.42,4.5,4.42,4.5,529400
2025-12-03 10:00:00,4.5,4.55,4.41,4.44,588200
2025-12-04 10:00:00,4.44,4.49,4.42,4.43,609400
2025-12-05 10:00:00,4.45,4.45,4.3,4.3,767400
2025-12-08 10:00:00,4.35,4.42,4.35,4.39,423200
2025-12-09 10:00:00,4.4,4.4,4.3,4.36,334400
2025-12-10 10:00:00,4.39,4.7,4.33,4.7,1018800
2025-12-11 10:00:00,4.56,4.59,4.45,4.48,835000
2025-12-12 10:00:00,4.45,4.5,4.39,4.44,2407200
2025-12-15 10:00:00,4.49,4.54,4.47,4.52,523500
2025-12-16 10:00:00,4.52,4.56,4.46,4.52,497500
2025-12-17 10:00:00,4.54,4.66,4.48,4.62,1350300
2025-12-18 10:00:00,4.6,4.64,4.54,4.58,536500
2025-12-19 10:00:00,4.59,4.75,4.57,4.73,908800
2025-12-22 10:00:00,4.78,4.84,4.69,4.84,1123100
2025-12-23 10:00:00,4.75,4.75,4.64,4.75,958000
2025-12-26 10:00:00,4.75,4.88,4.69,4.88,986900
2025-12-29 10:00:00,4.86,4.97,4.85,4.92,508100
2025-12-30 10:00:00,4.91,5.1,4.9,4.95,938800
2026-01-02 10:00:00,4.97,5.03,4.94,4.96,561000
2026-01-05 10:00:00,4.95,5.08,4.88,5.01,844600
2026-01-06 10:00:00,5.04,5.23,4.98,5.23,1027200
2026-01-07 10:00:00,5.17,5.19,5.06,5.06,653200
2026-01-08 10:00:00,5.06,5.11,4.91,4.92,1236800
2026-01-09 10:00:00,4.9,4.99,4.85,4.89,686000
2026-01-12 18:05:00,4.89,4.99,4.85,4.96,590300
