date,open,high,low,close,volume
2025-10-15 10:00:00,46.03,48.36,45.84,47.43,24915000
2025-10-16 10:00:00,47.01,47.46,45.64,45.77,13862700
2025-10-17 10:00:00,45.54,46.44,45.12,46.38,7795300
2025-10-20 10:00:00,46.68,46.99,46.22,46.68,5951900
2025-10-21 10:00:00,46.4,47.3,46.14,46.88,5120200
2025-10-22 10:00:00,47.35,47.63,46.99,47.3,6351400
2025-10-23 10:00:00,47.4,47.7,46.96,47.28,6050900
2025-10-24 10:00:00,47.65,48.13,47.43,47.65,4187800
2025-10-27 10:00:00,48.4,48.41,47.68,47.76,5240600
2025-10-28 10:00:00,47.76,48.11,47.53,47.95,4268400
2025-10-29 10:00:00,48.15,49.58,48.15,49.56,11214000
2025-10-30 10:00:00,49.08,50.1,48.83,49.12,12866200
2025-10-31 10:00:00,49.5,49.72,48.77,48.82,7662800
2025-11-03 10:00:00,49.4,49.4,48.26,48.5,5588700
2025-11-04 10:00:00,48.39,49.1,48.17,49.04,6048900
2025-11-05 10:00:00,49.04,50.55,48.97,50.39,9600800
2025-11-06 10:00:00,50.25,50.97,50.03,50.22,5821100
2025-11-07 10:00:00,50.0,50.59,49.9,50.59,6100800
2025-11-10 10:00:00,50.93,52.06,50.79,51.21,10668100
2025-11-11 10:00:00,52.62,53.68,51.41,52.4,18905300
2025-11-12 10:00:00,52.45,53.8,52.13,53.67,14058900
2025-11-13 10:00:00,53.55,54.7,53.41,54.0,17188900
2025-11-14 10:00:00,53.92,54.14,53.0,53.39,10473800
2025-11-17 10:00:00,53.61,53.64,52.64,52.98,14274000
2025-11-18 10:00:00,52.32,52.92,52.21,52.39,6671900
2025-11-19 10:00:00,52.06,52.26,51.59,52.12,7483600
2025-11-21 10:00:00,51.6,51.88,50.6,51.21,7939700
2025-11-24 10:00:00,51.3,51.67,50.85,51.19,9202500
2025-11-25 10:00:00,51.3,51.95,50.56,51.77,5878200
2025-11-26 10:00:00,52.05,52.88,51.65,52.67,7409000
2025-11-27 10:00:00,52.56,53.08,52.44,52.66,2457800
2025-11-28 10:00:00,53.01,54.28,53.01,54.0,6504800
2025-12-01 10:00:00,54.05,54.26,53.42,53.67,3445200
2025-12-02 10:00:00,54.0,55.18,53.88,55.18,5700500
2025-12-03 10:00:00,55.39,56.14,55.07,56.08,8799600
2025-12-04 10:00:00,56.66,57.31,56.21,56.92,10489900
2025-12-05 10:00:00,56.87,56.98,52.2,52.42,15402400
2025-12-08 10:00:00,53.18,53.24,51.66,52.94,10922400
2025-12-09 10:00:00,52.53,52.69,51.22,52.2,15113500
2025-12-10 10:00:00,52.28,53.58,52.21,53.43,10755900
2025-12-11 10:00:00,53.43,55.23,53.2,54.78,9599300
2025-12-12 10:00:00,54.77,56.0,54.69,55.29,7252300
2025-12-15 10:00:00,55.8,57.0,55.69,56.46,6660700
2025-12-16 10:00:00,55.6,55.6,53.51,53.51,10155500
2025-12-17 10:00:00,53.01,53.19,50.99,51.75,14692300
2025-12-18 10:00:00,51.75,53.04,51.44,52.76,9506600
2025-12-19 10:00:00,52.24,53.22,51.87,52.26,7955000
2025-12-22 10:00:00,52.02,52.37,51.18,51.56,4724200
2025-12-23 10:00:00,51.71,53.2,51.71,52.86,3988600
2025-12-26 10:00:00,52.45,52.85,52.03,52.45,2571800
2025-12-29 10:00:00,52.4,52.63,51.77,52.44,4830000
2025-12-30 10:00:00,52.55,53.17,52.53,52.58,4172300
2026-01-02 10:00:00,53.17,53.42,52.12,52.19,3901500
2026-01-05 10:00:00,52.23,54.26,52.0,53.6,5441900
2026-01-06 10:00:00,53.98,54.97,53.98,54.31,4560900
2026-01-07 10:00:00,53.91,54.25,52.53,53.25,4471400
2026-01-08 10:00:00,53.07,54.49,53.0,54.4,6647300
2026-01-09 10:00:00,54.4,55.69,54.29,54.72,5274500
2026-01-12 10:00:00,54.4,54.56,53.76,54.07,4598600
