date,open,high,low,close,volume
2025-10-15 10:00:00,17.11,17.42,17.11,17.31,2915900
2025-10-16 10:00:00,17.26,17.35,17.17,17.24,1554600
2025-10-17 10:00:00,17.2,17.29,17.14,17.23,957700
2025-10-20 10:00:00,17.23,17.73,17.23,17.58,2724000
2025-10-21 10:00:00,17.58,17.66,17.48,17.5,1061700
2025-10-22 10:00:00,17.65,17.8,17.56,17.68,1273100
2025-10-23 10:00:00,17.75,17.81,17.58,17.58,1046400
2025-10-24 10:00:00,17.63,17.77,17.59,17.63,1306300
2025-10-27 10:00:00,17.72,17.85,17.65,17.75,1970800
2025-10-28 10:00:00,17.73,17.96,17.71,17.85,2317300
2025-10-29 10:00:00,17.96,18.29,17.96,18.15,3581800
2025-10-30 10:00:00,18.11,18.29,18.02,18.2,1655000
2025-10-31 10:00:00,18.3,18.61,18.27,18.54,6156100
2025-11-03 10:00:00,18.65,19.04,18.52,19.04,16227400
2025-11-04 10:00:00,18.89,19.01,18.76,18.89,4432700
2025-11-05 10:00:00,18.89,19.33,18.83,19.17,10164700
2025-11-06 10:00:00,19.17,19.25,19.1,19.18,4464600
2025-11-07 10:00:00,19.08,19.1,18.78,18.78,2908200
2025-11-10 10:00:00,18.92,19.14,18.86,18.9,8893500
2025-11-11 10:00:00,19.0,19.12,18.88,18.92,3954500
2025-11-12 10:00:00,18.96,19.19,18.88,19.17,4414900
2025-11-13 10:00:00,18.43,18.47,18.14,18.25,3702400
2025-11-14 10:00:00,17.98,18.33,17.89,18.25,3304000
2025-11-17 10:00:00,18.25,18.49,18.23,18.36,6593400
2025-11-18 10:00:00,18.25,18.46,18.15,18.38,2283900
2025-11-19 10:00:00,18.32,18.45,18.24,18.24,1634800
2025-11-21 10:00:00,18.2,18.3,18.06,18.29,7236900
2025-11-24 10:00:00,18.27,18.55,18.23,18.47,2630100
2025-11-25 10:00:00,18.5,18.72,18.41,18.66,2720100
2025-11-26 10:00:00,18.71,19.16,18.71,19.15,3418300
2025-11-27 10:00:00,19.15,19.19,19.0,19.06,2100700
2025-11-28 10:00:00,19.2,19.56,19.11,19.43,3515900
2025-12-01 10:00:00,19.51,19.76,19.36,19.63,3102200
2025-12-02 10:00:00,19.75,20.0,19.52,19.97,3561900
2025-12-03 10:00:00,20.0,20.45,19.92,20.34,4799700
2025-12-04 10:00:00,20.37,20.79,20.35,20.72,4363900
2025-12-05 10:00:00,20.7,20.91,19.99,20.13,4447000
2025-12-08 10:00:00,20.19,20.5,19.99,20.11,4571100
2025-12-09 10:00:00,19.95,20.44,19.79,20.21,4075800
2025-12-10 10:00:00,20.25,20.63,20.21,20.59,3503000
2025-12-11 10:00:00,20.49,20.87,20.39,20.77,4051700
2025-12-12 10:00:00,20.49,20.95,20.39,20.9,4684400
2025-12-15 10:00:00,21.01,21.73,21.01,21.4,24007700
2025-12-16 10:00:00,21.41,21.67,21.14,21.41,10175500
2025-12-17 10:00:00,21.41,21.79,21.34,21.7,5491200
2025-12-18 10:00:00,20.26,20.5,20.05,20.27,5274600
2025-12-19 10:00:00,20.3,20.52,20.22,20.22,6157600
2025-12-22 10:00:00,20.25,20.83,20.24,20.59,9101300
2025-12-23 10:00:00,20.59,20.85,20.3,20.3,9048200
2025-12-26 10:00:00,20.3,20.49,20.25,20.49,2029300
2025-12-29 10:00:00,20.59,20.61,19.96,20.0,2676200
2025-12-30 10:00:00,20.11,20.22,19.89,19.9,2983900
2026-01-02 10:00:00,19.9,20.08,19.86,20.08,2851300
2026-01-05 10:00:00,20.09,20.38,20.0,20.37,3554900
2026-01-06 10:00:00,20.5,21.15,20.28,21.15,3719100
2026-01-07 10:00:00,21.13,21.44,21.04,21.37,4599300
2026-01-08 10:00:00,21.19,21.19,20.84,21.16,2905300
2026-01-09 10:00:00,21.05,21.25,20.7,21.02,3394000
2026-01-12 10:00:00,21.1,21.23,20.99,21.14,2063800
