date,open,high,low,close,volume
2025-10-17 10:00:00,6.26,6.33,6.15,6.26,3827600
2025-10-20 10:00:00,6.26,6.49,6.26,6.34,2390900
2025-10-21 10:00:00,6.35,6.5,6.31,6.5,2954600
2025-10-22 10:00:00,6.47,6.65,6.35,6.54,3715000
2025-10-23 10:00:00,6.59,6.99,6.52,6.9,4495700
2025-10-24 10:00:00,7.0,7.15,6.92,7.07,3095800
2025-10-27 10:00:00,7.11,7.31,7.08,7.14,2681400
2025-10-28 10:00:00,7.2,7.23,7.07,7.11,1568000
2025-10-29 10:00:00,7.09,7.31,6.93,6.99,3918800
2025-10-30 10:00:00,6.92,7.07,6.77,6.79,2730000
2025-10-31 10:00:00,6.78,6.84,6.65,6.76,2664200
2025-11-03 10:00:00,6.82,6.83,6.56,6.65,2407500
2025-11-04 10:00:00,6.62,6.62,6.47,6.6,2809200
2025-11-05 10:00:00,6.6,6.77,6.53,6.73,2615900
2025-11-06 10:00:00,6.72,6.77,6.36,6.36,3486900
2025-11-07 10:00:00,6.35,6.54,6.27,6.51,5612100
2025-11-10 10:00:00,6.53,6.56,6.27,6.54,3793400
2025-11-11 10:00:00,6.9,7.78,6.9,7.72,12316400
2025-11-12 10:00:00,7.69,8.14,7.54,7.77,7695100
2025-11-13 10:00:00,7.77,7.78,7.33,7.39,3320000
2025-11-14 10:00:00,7.39,8.19,7.33,7.97,6601600
2025-11-17 10:00:00,8.01,8.13,7.83,7.86,3788600
2025-11-18 10:00:00,7.77,8.02,7.64,8.0,3153300
2025-11-19 10:00:00,8.12,8.75,7.91,8.05,9907900
2025-11-21 10:00:00,7.85,8.25,7.81,7.97,4374400
2025-11-24 10:00:00,7.94,8.18,7.9,8.06,2177600
2025-11-25 10:00:00,7.99,8.2,7.76,7.76,3106500
2025-11-26 10:00:00,7.76,7.92,7.64,7.71,2828100
2025-11-27 10:00:00,7.67,7.76,7.58,7.64,1547500
2025-11-28 10:00:00,7.64,7.7,7.53,7.6,1544400
2025-12-01 10:00:00,7.63,7.92,7.55,7.56,2423000
2025-12-02 10:00:00,7.61,7.64,7.45,7.64,2475600
2025-12-03 10:00:00,7.7,8.16,7.62,7.96,6201000
2025-12-04 10:00:00,8.2,8.2,7.72,7.82,3912100
2025-12-05 10:00:00,7.78,8.44,7.78,7.88,8391900
2025-12-08 10:00:00,7.99,8.09,7.75,7.88,2532300
2025-12-09 10:00:00,7.81,8.04,7.58,7.92,3178600
2025-12-10 10:00:00,7.99,8.14,7.84,7.99,2854800
2025-12-11 10:00:00,7.97,8.02,7.78,7.89,3047700
2025-12-12 10:00:00,7.9,7.96,7.77,7.94,2744000
2025-12-15 10:00:00,8.14,8.55,7.5,7.75,11085700
2025-12-16 10:00:00,7.69,7.69,7.38,7.55,4630700
2025-12-17 10:00:00,7.55,7.58,7.25,7.43,6573900
2025-12-18 10:00:00,7.4,7.5,7.32,7.32,2593400
2025-12-19 10:00:00,7.5,7.8,7.28,7.8,5523300
2025-12-22 10:00:00,7.74,7.98,7.57,7.92,7312400
2025-12-23 10:00:00,7.96,7.98,7.53,7.53,5001300
2025-12-26 10:00:00,7.67,7.89,7.62,7.85,5330700
2025-12-29 10:00:00,7.82,7.95,7.78,7.95,2156000
2025-12-30 10:00:00,7.96,8.04,7.87,7.89,2892500
2026-01-02 10:00:00,7.87,7.98,7.66,7.75,2308800
2026-01-05 10:00:00,7.75,7.77,7.52,7.6,2953700
2026-01-06 10:00:00,7.63,8.18,7.62,7.99,4498100
2026-01-07 10:00:00,7.97,7.99,7.61,7.76,2530700
2026-01-08 10:00:00,7.75,8.07,7.64,8.07,3237700
2026-01-09 10:00:00,8.01,8.47,7.84,8.02,6165600
2026-01-12 10:00:00,7.98,8.53,7.97,8.25,4694100
2026-01-13 10:00:00,8.17,8.38,8.08,8.25,3320400
2026-01-14 10:00:00,8.32,8.67,8.24,8.54,4308800
2026-01-15 17:45:40,8.59,8.83,8.47,8.74,2695300
