date,open,high,low,close,volume
2025-10-14 10:00:00,4.94,5.07,4.91,4.91,720400
2025-10-15 10:00:00,4.95,5.1,4.9,5.04,923700
2025-10-16 10:00:00,5.01,5.15,5.01,5.14,1004000
2025-10-17 10:00:00,5.1,5.17,5.03,5.17,865800
2025-10-20 10:00:00,5.11,5.55,5.11,5.5,2264800
2025-10-21 10:00:00,5.11,5.64,5.11,5.6,982500
2025-10-22 10:00:00,5.62,5.64,5.5,5.52,775500
2025-10-23 10:00:00,5.52,5.6,5.37,5.42,470800
2025-10-24 10:00:00,5.46,5.5,5.37,5.46,649700
2025-10-27 10:00:00,5.53,5.66,5.46,5.59,1137200
2025-10-28 10:00:00,5.6,5.6,5.46,5.54,600100
2025-10-29 10:00:00,5.5,5.58,5.43,5.53,810600
2025-10-30 10:00:00,5.5,5.59,5.46,5.52,436200
2025-10-31 10:00:00,5.47,5.56,5.45,5.48,402900
2025-11-03 10:00:00,5.45,5.49,5.28,5.43,1248600
2025-11-04 10:00:00,5.35,5.59,5.35,5.59,714000
2025-11-05 10:00:00,5.59,5.77,5.55,5.74,1068500
2025-11-06 10:00:00,5.73,5.76,5.56,5.6,873800
2025-11-07 10:00:00,5.56,5.66,5.54,5.58,603000
2025-11-10 10:00:00,5.54,5.59,5.41,5.53,1013500
2025-11-11 10:00:00,5.59,5.82,5.56,5.77,839800
2025-11-12 10:00:00,5.83,5.83,5.66,5.81,886900
2025-11-13 10:00:00,5.83,5.87,5.73,5.75,569400
2025-11-14 10:00:00,5.75,5.82,5.74,5.81,675400
2025-11-17 10:00:00,5.82,5.82,5.69,5.73,534200
2025-11-18 10:00:00,5.7,5.84,5.7,5.75,727900
2025-11-19 10:00:00,5.71,5.79,5.6,5.73,790900
2025-11-21 10:00:00,5.74,5.78,5.63,5.74,933100
2025-11-24 10:00:00,5.74,5.78,5.68,5.69,362600
2025-11-25 10:00:00,5.7,5.72,5.6,5.6,281400
2025-11-26 10:00:00,5.61,5.77,5.6,5.72,752300
2025-11-27 10:00:00,5.75,5.77,5.68,5.76,331400
2025-11-28 10:00:00,5.78,5.83,5.63,5.79,1148000
2025-12-01 10:00:00,5.79,5.84,5.71,5.79,693800
2025-12-02 10:00:00,5.79,5.93,5.76,5.89,933900
2025-12-03 10:00:00,5.9,5.91,5.79,5.81,884900
2025-12-04 10:00:00,5.84,5.99,5.83,5.91,930200
2025-12-05 10:00:00,5.85,5.9,5.55,5.65,1338200
2025-12-08 10:00:00,5.67,5.73,5.49,5.58,939900
2025-12-09 10:00:00,5.52,5.54,5.37,5.47,777700
2025-12-10 10:00:00,5.53,5.53,5.44,5.5,465600
2025-12-11 10:00:00,5.47,5.63,5.46,5.54,899400
2025-12-12 10:00:00,5.56,5.61,5.47,5.48,1264000
2025-12-15 10:00:00,5.5,5.59,5.45,5.45,462400
2025-12-16 10:00:00,5.45,5.45,5.19,5.2,1295600
2025-12-17 10:00:00,5.29,5.41,5.14,5.33,2195500
2025-12-18 10:00:00,5.37,5.41,5.26,5.38,874500
2025-12-19 10:00:00,5.42,5.44,5.32,5.35,575400
2025-12-22 10:00:00,5.36,5.4,5.31,5.32,384200
2025-12-23 10:00:00,5.38,5.6,5.36,5.54,776000
2025-12-26 10:00:00,5.54,5.58,5.44,5.47,628200
2025-12-29 10:00:00,5.47,5.52,5.45,5.52,408400
2025-12-30 10:00:00,5.52,5.62,5.5,5.5,358700
2026-01-02 10:00:00,5.58,5.58,5.43,5.53,480900
2026-01-05 10:00:00,5.56,5.65,5.52,5.6,668100
2026-01-06 10:00:00,5.62,5.65,5.48,5.55,768700
2026-01-07 10:00:00,5.53,5.54,5.47,5.49,552900
2026-01-08 10:00:00,5.49,5.56,5.42,5.46,561200
2026-01-09 10:00:00,5.46,5.75,5.46,5.75,1477700
2026-01-12 18:07:00,5.76,5.93,5.71,5.93,1240000
