date,open,high,low,close,volume
2025-10-14 10:00:00,4.34,4.47,4.2,4.42,2801400
2025-10-15 10:00:00,4.37,4.5,4.35,4.49,1797900
2025-10-16 10:00:00,4.42,4.66,4.42,4.5,2597200
2025-10-17 10:00:00,4.39,4.59,4.35,4.59,3219400
2025-10-20 10:00:00,4.6,4.75,4.45,4.46,2684400
2025-10-21 10:00:00,4.48,4.51,4.4,4.47,1218400
2025-10-22 10:00:00,4.45,4.47,4.29,4.34,1850000
2025-10-23 10:00:00,4.35,4.49,4.35,4.47,1581200
2025-10-24 10:00:00,4.45,4.76,4.45,4.65,2732900
2025-10-27 10:00:00,4.91,5.15,4.81,4.85,4357600
2025-10-28 10:00:00,4.8,4.81,4.57,4.7,4439400
2025-10-29 10:00:00,4.7,4.73,4.53,4.63,2111100
2025-10-30 10:00:00,4.54,4.7,4.52,4.57,2140800
2025-10-31 10:00:00,4.57,4.62,4.45,4.47,2495800
2025-11-03 10:00:00,4.43,4.44,4.29,4.33,2104300
2025-11-04 10:00:00,4.25,4.39,4.2,4.28,2048800
2025-11-05 10:00:00,4.28,4.57,4.25,4.55,3319500
2025-11-06 10:00:00,4.77,4.77,4.44,4.54,6181900
2025-11-07 10:00:00,4.49,4.6,4.33,4.44,2642300
2025-11-10 10:00:00,4.58,4.58,4.43,4.5,1422100
2025-11-11 10:00:00,4.44,4.65,4.41,4.43,3021000
2025-11-12 10:00:00,4.46,4.46,4.24,4.26,2033100
2025-11-13 10:00:00,4.22,4.3,4.06,4.1,2194200
2025-11-14 10:00:00,4.05,4.12,3.93,4.02,3222000
2025-11-17 10:00:00,3.99,4.02,3.87,3.9,4220200
2025-11-18 10:00:00,3.86,3.95,3.83,3.92,2397000
2025-11-19 10:00:00,3.91,3.93,3.83,3.84,2022700
2025-11-21 10:00:00,3.74,3.78,3.64,3.67,3471500
2025-11-24 10:00:00,3.71,3.87,3.69,3.84,2308100
2025-11-25 10:00:00,3.83,3.9,3.8,3.84,1282000
2025-11-26 10:00:00,3.81,3.98,3.81,3.96,2230000
2025-11-27 10:00:00,4.0,4.07,3.95,4.01,966000
2025-11-28 10:00:00,4.02,4.06,3.99,4.03,811300
2025-12-01 10:00:00,3.9,3.93,3.81,3.9,1988200
2025-12-02 10:00:00,3.92,4.12,3.9,4.09,2284800
2025-12-03 10:00:00,4.06,4.2,4.02,4.14,2331700
2025-12-04 10:00:00,4.13,4.16,4.07,4.11,793400
2025-12-05 10:00:00,4.08,4.1,3.83,3.91,2014500
2025-12-08 10:00:00,3.95,3.99,3.88,3.89,772300
2025-12-09 10:00:00,3.89,4.06,3.83,4.04,3982500
2025-12-10 10:00:00,4.01,4.06,3.98,4.02,853200
2025-12-11 10:00:00,3.95,4.02,3.93,4.01,668000
2025-12-12 10:00:00,3.98,4.13,3.93,3.96,1317100
2025-12-15 10:00:00,3.98,4.02,3.88,3.91,1291700
2025-12-16 10:00:00,3.91,3.91,3.75,3.88,1753800
2025-12-17 10:00:00,3.85,3.93,3.81,3.87,1000700
2025-12-18 10:00:00,3.88,3.96,3.86,3.87,1193200
2025-12-19 10:00:00,3.9,4.05,3.86,4.01,1361000
2025-12-22 10:00:00,4.04,4.04,3.94,3.96,1268500
2025-12-23 10:00:00,3.97,4.02,3.97,3.97,527500
2025-12-26 10:00:00,4.0,4.03,3.97,4.03,761400
2025-12-29 10:00:00,4.0,4.02,3.96,3.96,499700
2025-12-30 10:00:00,3.98,4.01,3.83,3.9,4873800
2026-01-02 10:00:00,3.94,3.94,3.76,3.83,2097400
2026-01-05 10:00:00,3.85,4.19,3.82,4.13,3340900
2026-01-06 10:00:00,4.13,4.18,4.0,4.1,1240000
2026-01-07 10:00:00,4.0,4.12,3.92,4.07,1831500
2026-01-08 10:00:00,4.02,4.06,3.95,4.02,1327000
2026-01-09 10:00:00,4.0,4.04,3.96,3.96,690900
2026-01-12 17:54:42,3.98,4.15,3.92,4.11,1787200
