date,open,high,low,close,volume
2025-10-17 10:00:00,5.55,5.64,5.53,5.58,2338100
2025-10-20 10:00:00,5.56,5.87,5.54,5.82,6299800
2025-10-21 10:00:00,5.56,5.87,5.54,5.69,2971600
2025-10-22 10:00:00,5.71,5.78,5.66,5.71,3555600
2025-10-23 10:00:00,5.74,5.84,5.72,5.79,4941100
2025-10-24 10:00:00,5.88,5.94,5.77,5.81,4482000
2025-10-27 10:00:00,5.86,5.89,5.73,5.8,4970200
2025-10-28 10:00:00,5.83,5.98,5.79,5.96,5681200
2025-10-29 10:00:00,5.98,6.09,5.95,6.0,5724600
2025-10-30 10:00:00,5.98,6.05,5.94,6.03,4157700
2025-10-31 10:00:00,6.06,6.1,6.02,6.07,4998700
2025-11-03 10:00:00,6.07,6.15,6.03,6.1,4619700
2025-11-04 10:00:00,6.07,6.1,5.96,5.97,4338100
2025-11-05 10:00:00,5.97,6.13,5.67,5.96,15417500
2025-11-06 10:00:00,5.98,5.99,5.73,5.86,6843600
2025-11-07 10:00:00,5.8,5.88,5.74,5.8,8628900
2025-11-10 10:00:00,5.75,5.75,5.55,5.58,6912900
2025-11-11 10:00:00,5.6,5.73,5.58,5.68,7009200
2025-11-12 10:00:00,5.69,5.92,5.68,5.92,9089000
2025-11-13 10:00:00,5.92,5.92,5.81,5.88,5705100
2025-11-14 10:00:00,5.84,5.9,5.78,5.85,4101900
2025-11-17 10:00:00,5.84,5.88,5.66,5.69,8216200
2025-11-18 10:00:00,5.64,5.71,5.6,5.67,5115000
2025-11-19 10:00:00,5.63,5.64,5.47,5.56,6440900
2025-11-21 10:00:00,5.49,5.62,5.49,5.59,4619300
2025-11-24 10:00:00,5.56,5.58,5.24,5.24,12360200
2025-11-25 10:00:00,5.29,5.37,5.14,5.36,14733600
2025-11-26 10:00:00,5.37,5.53,5.33,5.42,7104100
2025-11-27 10:00:00,5.4,5.44,5.35,5.4,2829900
2025-11-28 10:00:00,5.4,5.45,5.37,5.4,6758400
2025-12-01 10:00:00,5.41,5.41,5.33,5.34,9157000
2025-12-02 10:00:00,5.37,5.43,5.32,5.43,11257500
2025-12-03 10:00:00,5.44,5.59,5.41,5.57,13641500
2025-12-04 10:00:00,5.57,5.64,5.51,5.61,11543300
2025-12-05 10:00:00,5.57,5.67,5.39,5.44,11567200
2025-12-08 10:00:00,5.49,5.52,5.41,5.45,16682500
2025-12-09 10:00:00,5.4,5.55,5.33,5.5,6339000
2025-12-10 10:00:00,5.57,5.7,5.51,5.65,8270600
2025-12-11 10:00:00,5.63,5.72,5.53,5.7,6106800
2025-12-12 10:00:00,5.63,5.77,5.53,5.74,5073900
2025-12-15 10:00:00,5.78,5.79,5.56,5.65,5165800
2025-12-16 10:00:00,5.62,5.68,5.54,5.61,6508800
2025-12-17 10:00:00,5.59,5.59,5.47,5.52,9474600
2025-12-18 10:00:00,5.52,5.55,5.46,5.48,6215800
2025-12-19 10:00:00,5.48,5.48,5.25,5.26,8494000
2025-12-22 10:00:00,5.28,5.38,5.23,5.31,5954100
2025-12-23 10:00:00,5.33,5.47,5.33,5.41,4535700
2025-12-26 10:00:00,5.41,5.45,5.36,5.45,3032500
2025-12-29 10:00:00,5.48,5.49,5.36,5.4,4655700
2025-12-30 10:00:00,5.44,5.52,5.41,5.45,5084700
2026-01-02 10:00:00,5.45,5.5,5.27,5.3,8175600
2026-01-05 10:00:00,5.26,5.41,5.21,5.4,6678300
2026-01-06 10:00:00,5.42,5.57,5.36,5.55,8062400
2026-01-07 10:00:00,5.56,5.62,5.48,5.58,7946900
2026-01-08 10:00:00,5.59,5.6,5.49,5.5,5941400
2026-01-09 10:00:00,5.48,5.59,5.47,5.5,3951300
2026-01-12 10:00:00,5.52,5.61,5.46,5.57,5184200
2026-01-13 10:00:00,5.53,5.62,5.47,5.59,6631500
2026-01-14 10:00:00,5.61,5.84,5.51,5.83,9173700
2026-01-15 17:45:24,5.85,5.88,5.66,5.69,5147800
