date,open,high,low,close,volume
2025-10-17 10:00:00,39.07,39.82,39.0,39.48,2246600
2025-10-20 10:00:00,39.49,40.35,39.49,40.09,1054900
2025-10-21 10:00:00,40.18,40.31,39.79,40.13,1155400
2025-10-22 10:00:00,40.36,40.82,40.32,40.65,1811400
2025-10-23 10:00:00,40.78,41.0,40.54,40.7,1029400
2025-10-24 10:00:00,40.8,41.15,40.56,40.8,837000
2025-10-27 10:00:00,41.2,41.71,40.89,41.39,1399600
2025-10-28 10:00:00,41.46,41.78,41.23,41.5,1518600
2025-10-29 10:00:00,41.65,41.91,41.28,41.58,958300
2025-10-30 10:00:00,41.59,41.78,41.22,41.68,1432700
2025-10-31 10:00:00,41.74,41.85,40.83,41.6,1882400
2025-11-03 10:00:00,42.04,42.7,41.81,42.7,2964300
2025-11-04 10:00:00,42.7,43.33,42.46,43.08,1675700
2025-11-05 10:00:00,43.08,43.21,42.67,42.84,1674600
2025-11-06 10:00:00,42.91,43.05,42.45,42.57,1113100
2025-11-07 10:00:00,42.64,43.24,42.23,42.84,2279300
2025-11-10 10:00:00,43.12,43.7,42.73,43.6,1485300
2025-11-11 10:00:00,43.97,44.82,43.7,44.65,2531100
2025-11-12 10:00:00,44.76,45.7,44.59,45.51,3510600
2025-11-13 10:00:00,45.29,46.0,44.91,45.0,8206300
2025-11-14 10:00:00,45.07,46.24,44.9,46.1,7289500
2025-11-17 10:00:00,46.1,46.59,45.94,46.59,1739100
2025-11-18 10:00:00,46.29,47.58,46.13,47.34,2106700
2025-11-19 10:00:00,47.16,48.04,46.69,47.77,2884100
2025-11-21 10:00:00,47.99,48.18,47.4,47.69,1150600
2025-11-24 10:00:00,47.73,48.28,47.49,48.11,2708100
2025-11-25 10:00:00,47.96,48.3,47.44,48.2,2185100
2025-11-26 10:00:00,48.2,49.15,48.01,49.04,1800900
2025-11-27 10:00:00,49.04,49.29,48.89,49.26,610000
2025-11-28 10:00:00,49.05,49.13,48.31,48.77,1845100
2025-12-01 10:00:00,48.87,48.87,48.2,48.6,1262400
2025-12-02 10:00:00,48.74,49.85,48.72,49.73,3210300
2025-12-03 10:00:00,49.76,49.87,49.36,49.59,2415000
2025-12-04 10:00:00,49.65,50.54,49.56,50.25,2190300
2025-12-05 10:00:00,50.15,50.9,48.38,48.55,3506400
2025-12-08 10:00:00,49.14,49.34,48.64,48.7,2035900
2025-12-09 10:00:00,48.55,49.27,47.95,48.99,1508700
2025-12-10 10:00:00,49.12,49.27,48.15,48.8,2887100
2025-12-11 10:00:00,48.8,49.2,48.35,48.85,2216700
2025-12-12 10:00:00,48.6,50.23,48.6,50.13,2194200
2025-12-15 10:00:00,50.24,51.82,50.06,51.6,2664800
2025-12-16 10:00:00,51.39,51.97,50.97,50.97,3748400
2025-12-17 10:00:00,50.88,52.92,50.32,50.47,3923700
2025-12-18 10:00:00,50.47,51.12,50.16,50.61,2443300
2025-12-19 10:00:00,50.61,51.34,50.49,51.11,3053600
2025-12-22 10:00:00,51.13,51.29,49.72,50.19,2692400
2025-12-23 10:00:00,50.68,51.63,50.24,51.49,976300
2025-12-26 10:00:00,51.49,53.88,51.18,53.23,1316000
2025-12-29 10:00:00,52.97,53.44,52.72,53.11,1203500
2025-12-30 10:00:00,53.79,53.91,53.13,53.29,767800
2026-01-02 10:00:00,53.79,54.18,53.2,53.76,985000
2026-01-05 10:00:00,53.61,53.92,53.25,53.65,1366400
2026-01-06 10:00:00,53.91,54.75,53.05,53.3,1542200
2026-01-07 10:00:00,53.29,53.56,52.34,52.38,1195200
2026-01-08 10:00:00,52.81,54.46,52.81,54.03,1862300
2026-01-09 10:00:00,54.03,54.94,52.95,53.54,1669000
2026-01-12 10:00:00,53.52,54.83,53.45,54.0,1762700
2026-01-13 10:00:00,53.82,53.95,51.95,52.24,1813600
2026-01-14 10:00:00,51.4,52.55,51.28,51.96,2335800
2026-01-15 13:45:00,52.12,52.44,51.52,51.69,485200
