date,open,high,low,close,volume
2025-10-17 10:00:00,11.92,12.28,11.86,12.22,2722400
2025-10-20 10:00:00,12.3,12.41,12.28,12.4,5694600
2025-10-21 10:00:00,12.34,12.49,12.33,12.48,2542900
2025-10-22 10:00:00,12.45,12.79,12.45,12.69,6225100
2025-10-23 10:00:00,12.82,12.82,12.6,12.79,2956100
2025-10-24 10:00:00,12.86,12.98,12.8,12.84,4434400
2025-10-27 10:00:00,12.86,13.03,12.83,12.91,4823400
2025-10-28 10:00:00,12.96,12.96,12.66,12.8,7548400
2025-10-29 10:00:00,12.83,13.0,12.76,12.96,5349500
2025-10-30 10:00:00,12.94,13.0,12.83,12.95,2504300
2025-10-31 10:00:00,13.0,13.14,12.93,13.11,5768700
2025-11-03 10:00:00,13.23,13.35,13.13,13.33,3538300
2025-11-04 10:00:00,13.31,13.47,13.28,13.37,3859200
2025-11-05 10:00:00,13.37,13.7,13.34,13.61,4456900
2025-11-06 10:00:00,13.58,13.6,13.26,13.37,5795900
2025-11-07 10:00:00,13.37,13.51,13.28,13.46,2844200
2025-11-10 10:00:00,13.46,13.71,13.46,13.7,4223400
2025-11-11 10:00:00,13.8,14.04,13.48,13.58,11195600
2025-11-12 10:00:00,13.57,13.65,13.43,13.57,7797600
2025-11-13 10:00:00,13.53,13.84,13.52,13.77,11551100
2025-11-14 10:00:00,13.86,13.86,13.55,13.77,8744600
2025-11-17 10:00:00,13.82,13.86,13.41,13.66,17295200
2025-11-18 10:00:00,13.66,13.77,13.48,13.62,8722400
2025-11-19 10:00:00,13.7,13.7,13.21,13.21,14875400
2025-11-21 10:00:00,13.21,13.25,12.85,13.02,7652400
2025-11-24 10:00:00,13.03,13.26,12.99,13.15,7241900
2025-11-25 10:00:00,13.16,13.37,13.05,13.37,5906100
2025-11-26 10:00:00,13.38,13.73,13.37,13.7,13186800
2025-11-27 10:00:00,13.7,13.77,13.63,13.67,4658500
2025-11-28 10:00:00,13.71,13.77,13.52,13.62,13899200
2025-12-01 10:00:00,13.6,13.71,13.4,13.6,12393300
2025-12-02 10:00:00,13.6,13.91,13.57,13.74,11796000
2025-12-03 10:00:00,13.74,13.86,13.57,13.78,5110100
2025-12-04 10:00:00,13.78,14.05,13.78,13.93,5550300
2025-12-05 10:00:00,13.93,14.02,13.18,13.28,7381500
2025-12-08 10:00:00,13.4,13.45,13.12,13.26,5967700
2025-12-09 10:00:00,13.15,13.35,12.88,13.29,6849300
2025-12-10 10:00:00,13.29,13.48,13.19,13.29,8136900
2025-12-11 10:00:00,13.29,13.45,13.19,13.36,5324000
2025-12-12 10:00:00,13.29,13.55,13.19,13.5,8074900
2025-12-15 10:00:00,13.6,13.75,13.52,13.71,12436900
2025-12-16 10:00:00,13.61,13.64,13.14,13.22,26561500
2025-12-17 10:00:00,13.19,13.19,12.7,12.96,17836500
2025-12-18 10:00:00,12.87,13.12,12.66,13.0,14329600
2025-12-19 10:00:00,13.0,13.14,12.79,12.87,26998900
2025-12-22 10:00:00,12.87,12.94,12.6,12.71,13945500
2025-12-23 10:00:00,12.75,13.07,12.74,12.93,13482700
2025-12-26 10:00:00,12.85,13.01,12.75,13.0,9095200
2025-12-29 10:00:00,12.99,13.04,12.81,12.87,43870900
2025-12-30 10:00:00,12.99,13.13,12.9,13.08,18404700
2026-01-02 10:00:00,12.41,12.51,12.1,12.14,18163600
2026-01-05 10:00:00,12.15,12.39,12.02,12.25,19884100
2026-01-06 10:00:00,12.25,12.5,12.25,12.44,13695300
2026-01-07 10:00:00,12.44,12.44,12.03,12.12,18721900
2026-01-08 10:00:00,12.11,12.47,12.05,12.38,13090600
2026-01-09 10:00:00,12.42,12.92,12.34,12.82,21896600
2026-01-12 10:00:00,12.82,12.99,12.72,12.88,16923400
2026-01-13 10:00:00,12.77,12.79,12.39,12.46,16862600
2026-01-14 10:00:00,12.51,12.63,12.31,12.45,27016300
2026-01-15 18:07:45,12.56,12.73,12.36,12.6,22657000
