date,open,high,low,close,volume
2025-10-14 10:00:00,8.29,8.47,8.27,8.45,5892100
2025-10-15 10:00:00,8.42,8.52,8.23,8.52,8456800
2025-10-16 10:00:00,8.45,8.49,8.23,8.3,7920400
2025-10-17 10:00:00,8.24,8.38,8.13,8.34,7206500
2025-10-20 10:00:00,8.34,8.79,8.34,8.72,11324400
2025-10-21 10:00:00,8.34,8.79,8.34,8.65,5290700
2025-10-22 10:00:00,8.7,8.85,8.54,8.61,6953300
2025-10-23 10:00:00,8.67,8.8,8.63,8.76,5550000
2025-10-24 10:00:00,8.81,9.18,8.62,8.63,16996000
2025-10-27 10:00:00,8.9,9.02,8.71,8.92,7942700
2025-10-28 10:00:00,8.9,9.26,8.89,9.12,9375000
2025-10-29 10:00:00,9.22,9.34,9.15,9.31,9943800
2025-10-30 10:00:00,9.23,9.39,9.16,9.36,5756900
2025-10-31 10:00:00,9.43,9.46,9.21,9.44,6345400
2025-11-03 10:00:00,9.43,9.52,9.22,9.3,5144500
2025-11-04 10:00:00,9.19,9.26,8.94,9.13,8438600
2025-11-05 10:00:00,9.13,9.22,8.56,8.71,21873300
2025-11-06 10:00:00,8.72,8.73,8.31,8.5,17317400
2025-11-07 10:00:00,8.4,8.48,8.21,8.35,12546300
2025-11-10 10:00:00,8.4,8.42,8.23,8.29,7346100
2025-11-11 10:00:00,8.34,8.47,8.27,8.31,9109600
2025-11-12 10:00:00,8.33,8.79,8.28,8.73,13456000
2025-11-13 10:00:00,8.7,8.83,8.58,8.61,7011500
2025-11-14 10:00:00,8.53,8.72,8.47,8.65,4933900
2025-11-17 10:00:00,8.69,8.72,8.29,8.35,7356900
2025-11-18 10:00:00,8.23,8.3,8.12,8.15,9688800
2025-11-19 10:00:00,8.1,8.27,8.07,8.11,6040500
2025-11-21 10:00:00,8.1,8.18,7.98,8.1,6643000
2025-11-24 10:00:00,8.08,8.21,8.0,8.11,7535800
2025-11-25 10:00:00,8.11,8.34,8.06,8.31,5493800
2025-11-26 10:00:00,8.33,8.68,8.33,8.64,7654500
2025-11-27 10:00:00,8.65,8.65,8.38,8.48,5755400
2025-11-28 10:00:00,8.44,8.57,8.4,8.44,4383100
2025-12-01 10:00:00,8.47,8.52,8.39,8.45,4916300
2025-12-02 10:00:00,8.44,8.6,8.34,8.58,7283700
2025-12-03 10:00:00,8.61,9.12,8.6,9.05,14863500
2025-12-04 10:00:00,9.04,9.3,8.91,9.29,9321400
2025-12-05 10:00:00,9.28,9.39,8.82,8.91,11792900
2025-12-08 10:00:00,9.02,9.1,8.75,8.76,7143100
2025-12-09 10:00:00,8.71,9.14,8.57,9.05,8034900
2025-12-10 10:00:00,9.14,9.87,9.09,9.63,20382300
2025-12-11 10:00:00,9.58,9.84,9.49,9.77,6954000
2025-12-12 10:00:00,9.82,9.86,9.49,9.7,9208400
2025-12-15 10:00:00,9.75,9.79,9.44,9.58,7176800
2025-12-16 10:00:00,9.56,9.68,9.44,9.68,6897400
2025-12-17 10:00:00,9.73,9.74,9.39,9.56,8310500
2025-12-18 10:00:00,9.6,9.7,9.42,9.59,6191000
2025-12-19 10:00:00,9.56,9.59,9.2,9.28,11424600
2025-12-22 10:00:00,9.31,9.45,9.12,9.2,10686600
2025-12-23 10:00:00,9.24,9.25,9.12,9.21,5403700
2025-12-26 10:00:00,9.12,9.17,9.02,9.16,4919000
2025-12-29 10:00:00,9.21,9.24,8.9,8.93,8095700
2025-12-30 10:00:00,9.0,9.07,8.92,8.94,5246500
2026-01-02 10:00:00,8.94,9.02,8.7,8.7,12462400
2026-01-05 10:00:00,8.73,9.15,8.66,9.05,6496100
2026-01-06 10:00:00,9.1,9.42,8.95,9.32,10117700
2026-01-07 10:00:00,9.36,9.91,9.27,9.85,16022900
2026-01-08 10:00:00,9.79,9.9,9.5,9.86,9840400
2026-01-09 10:00:00,9.84,10.1,9.8,9.84,7617400
2026-01-12 13:47:26,9.84,9.95,9.8,9.83,3454200
