date,open,high,low,close,volume
2025-10-15 10:00:00,1.72,1.75,1.71,1.73,6093600
2025-10-16 10:00:00,1.73,1.74,1.67,1.67,8855100
2025-10-17 10:00:00,1.68,1.69,1.64,1.67,8300100
2025-10-20 10:00:00,1.68,1.72,1.67,1.7,4047200
2025-10-21 10:00:00,1.7,1.71,1.67,1.68,5851000
2025-10-22 10:00:00,1.69,1.7,1.67,1.69,5734100
2025-10-23 10:00:00,1.69,1.71,1.67,1.7,3792400
2025-10-24 10:00:00,1.71,1.81,1.71,1.79,9503300
2025-10-27 10:00:00,1.88,1.91,1.81,1.86,10634400
2025-10-28 10:00:00,1.87,1.87,1.78,1.8,7332300
2025-10-29 10:00:00,1.8,1.86,1.79,1.82,6847000
2025-10-30 10:00:00,1.8,1.86,1.78,1.83,5330300
2025-10-31 10:00:00,1.85,1.89,1.84,1.88,7628400
2025-11-03 10:00:00,1.88,1.92,1.85,1.86,7073200
2025-11-04 10:00:00,1.84,1.92,1.84,1.91,7662000
2025-11-05 10:00:00,1.91,1.95,1.89,1.94,5938100
2025-11-06 10:00:00,1.94,1.94,1.84,1.84,13274000
2025-11-07 10:00:00,1.84,1.86,1.82,1.84,3315900
2025-11-10 10:00:00,1.84,1.86,1.82,1.83,6369500
2025-11-11 10:00:00,1.83,2.05,1.83,2.04,29964900
2025-11-12 10:00:00,2.04,2.09,1.85,1.87,29802700
2025-11-13 10:00:00,1.87,1.89,1.8,1.8,13954700
2025-11-14 10:00:00,1.8,1.84,1.79,1.81,6390600
2025-11-17 10:00:00,1.81,1.88,1.81,1.87,12813600
2025-11-18 10:00:00,1.84,2.04,1.84,1.96,28635800
2025-11-19 10:00:00,1.94,2.03,1.89,1.97,23767900
2025-11-21 10:00:00,1.95,1.96,1.81,1.83,20096000
2025-11-24 10:00:00,1.83,1.86,1.72,1.73,19044300
2025-11-25 10:00:00,1.73,1.79,1.73,1.75,12632800
2025-11-26 10:00:00,1.75,1.77,1.74,1.75,8405700
2025-11-27 10:00:00,1.74,1.91,1.73,1.87,17957600
2025-11-28 10:00:00,1.85,1.9,1.77,1.88,30743900
2025-12-01 10:00:00,1.93,1.98,1.81,1.81,15083900
2025-12-02 10:00:00,1.81,1.95,1.81,1.93,22519600
2025-12-03 10:00:00,1.95,2.06,1.93,2.0,21009500
2025-12-04 10:00:00,2.03,2.1,2.01,2.02,21158200
2025-12-05 10:00:00,2.02,2.05,1.88,1.9,18519300
2025-12-08 10:00:00,1.94,1.97,1.9,1.9,9210700
2025-12-09 10:00:00,1.9,2.01,1.85,1.95,14369600
2025-12-10 10:00:00,1.96,1.98,1.93,1.97,5707600
2025-12-11 10:00:00,1.95,1.99,1.94,1.98,6719400
2025-12-12 10:00:00,1.97,2.04,1.97,2.0,5983800
2025-12-15 10:00:00,2.01,2.04,1.96,1.99,7309300
2025-12-16 10:00:00,1.97,2.0,1.94,1.95,7658100
2025-12-17 10:00:00,1.96,1.98,1.91,1.94,7857900
2025-12-18 10:00:00,1.95,1.98,1.92,1.94,5970400
2025-12-19 10:00:00,1.95,2.05,1.92,2.02,14979400
2025-12-22 10:00:00,2.02,2.02,1.97,1.98,4467200
2025-12-23 10:00:00,1.99,2.08,1.98,2.03,10182700
2025-12-26 10:00:00,2.02,2.07,2.0,2.07,6644900
2025-12-29 10:00:00,2.09,2.15,2.07,2.11,8635800
2025-12-30 10:00:00,2.16,2.19,2.13,2.16,10903500
2026-01-02 10:00:00,2.17,2.2,2.13,2.2,19530400
2026-01-05 10:00:00,2.23,2.33,2.17,2.28,17155000
2026-01-06 10:00:00,2.29,2.35,2.25,2.32,12599100
2026-01-07 10:00:00,2.32,2.33,2.24,2.29,9642200
2026-01-08 10:00:00,2.3,2.35,2.27,2.35,9866100
2026-01-09 10:00:00,2.33,2.52,2.33,2.52,21612300
2026-01-12 18:07:45,2.52,2.64,2.46,2.59,16928900
