date,open,high,low,close,volume
2025-10-17 10:00:00,28.57,28.77,28.15,28.77,7215900
2025-10-20 10:00:00,29.0,29.9,28.97,29.65,3775400
2025-10-21 10:00:00,29.57,29.87,29.17,29.75,2577800
2025-10-22 10:00:00,29.86,29.89,29.47,29.77,1964100
2025-10-23 10:00:00,29.98,30.13,29.8,29.95,1698300
2025-10-24 10:00:00,30.18,30.37,29.94,30.13,2357600
2025-10-27 10:00:00,30.37,30.74,29.96,30.21,3088200
2025-10-28 10:00:00,30.25,30.25,29.71,30.13,3079700
2025-10-29 10:00:00,30.09,30.32,29.74,29.95,4455600
2025-10-30 10:00:00,29.65,30.36,29.43,30.13,1952700
2025-10-31 10:00:00,30.29,30.54,30.12,30.47,4554300
2025-11-03 10:00:00,30.63,30.77,30.38,30.61,2009100
2025-11-04 10:00:00,30.63,30.95,30.35,30.95,2470500
2025-11-05 10:00:00,30.95,31.76,30.83,31.67,4792500
2025-11-06 10:00:00,31.74,32.16,31.48,32.09,4396000
2025-11-07 10:00:00,32.08,33.64,31.93,33.33,9101800
2025-11-10 10:00:00,33.8,34.28,33.22,33.35,8357100
2025-11-11 10:00:00,33.67,34.85,33.59,34.64,5983400
2025-11-12 10:00:00,34.65,34.98,34.3,34.45,4187100
2025-11-13 10:00:00,34.44,34.7,33.8,33.94,3672300
2025-11-14 10:00:00,34.08,35.25,33.71,35.25,4621000
2025-11-17 10:00:00,35.3,35.32,34.15,34.3,3734800
2025-11-18 10:00:00,33.89,34.66,33.54,34.54,3766700
2025-11-19 10:00:00,34.44,34.47,34.1,34.16,3033900
2025-11-21 10:00:00,34.15,34.35,33.77,34.1,2139400
2025-11-24 10:00:00,34.14,34.65,33.86,34.51,2545800
2025-11-25 10:00:00,34.56,34.93,34.23,34.66,2682500
2025-11-26 10:00:00,34.67,35.22,34.67,34.98,6147000
2025-11-27 10:00:00,34.96,35.08,34.44,34.77,3247100
2025-11-28 10:00:00,34.89,35.97,34.69,35.73,6492800
2025-12-01 10:00:00,35.72,36.11,35.14,35.95,3245100
2025-12-02 10:00:00,36.07,36.83,35.91,36.82,5292000
2025-12-03 10:00:00,36.93,37.12,36.54,36.8,4602500
2025-12-04 10:00:00,37.09,38.29,36.76,38.29,8102700
2025-12-05 10:00:00,39.06,39.06,34.36,34.5,16837500
2025-12-08 10:00:00,35.5,36.13,34.93,35.94,13868500
2025-12-09 10:00:00,35.6,35.87,34.6,35.02,10920300
2025-12-10 10:00:00,32.2,32.65,31.99,32.54,6751800
2025-12-11 10:00:00,32.5,33.0,32.3,32.85,3466200
2025-12-12 10:00:00,33.0,33.8,33.0,33.14,4017300
2025-12-15 10:00:00,33.58,33.61,32.97,33.05,3313400
2025-12-16 10:00:00,32.8,32.86,31.35,31.47,7201900
2025-12-17 10:00:00,31.2,31.2,30.16,31.0,10984000
2025-12-18 10:00:00,30.95,30.95,30.1,30.5,6152500
2025-12-19 10:00:00,30.5,30.57,29.62,29.77,5732600
2025-12-22 10:00:00,29.68,29.8,28.95,29.04,4335000
2025-12-23 10:00:00,29.2,29.82,28.96,29.55,4242800
2025-12-26 10:00:00,29.35,29.63,29.17,29.63,2016000
2025-12-29 10:00:00,29.45,29.54,28.9,28.99,3501800
2025-12-30 10:00:00,29.09,29.96,29.07,29.62,5838000
2026-01-02 10:00:00,25.21,25.95,23.94,23.96,5777400
2026-01-05 10:00:00,23.98,25.35,23.79,25.27,6741700
2026-01-06 10:00:00,25.19,26.32,25.02,25.14,14231800
2026-01-07 10:00:00,25.07,25.07,24.09,24.22,7967500
2026-01-08 10:00:00,24.19,24.72,24.07,24.49,6051500
2026-01-09 10:00:00,24.55,25.1,24.43,24.77,5524000
2026-01-12 10:00:00,24.79,24.83,24.26,24.58,4898300
2026-01-13 10:00:00,24.42,24.78,24.01,24.78,4358200
2026-01-14 10:00:00,25.0,25.18,24.42,24.92,6160600
2026-01-15 17:45:15,25.03,25.32,24.76,25.03,4585600
