date,open,high,low,close,volume
2025-10-14 10:00:00,14.69,14.7,14.45,14.68,4408300
2025-10-15 10:00:00,14.55,14.95,14.39,14.91,6154700
2025-10-16 10:00:00,14.72,14.91,14.6,14.85,2847900
2025-10-17 10:00:00,14.71,15.03,14.65,14.97,4213700
2025-10-20 10:00:00,14.9,15.67,14.9,15.59,6254900
2025-10-21 10:00:00,15.59,15.76,15.22,15.65,3402200
2025-10-22 10:00:00,15.72,15.82,15.57,15.81,1987700
2025-10-23 10:00:00,15.82,16.13,15.82,16.02,3586900
2025-10-24 10:00:00,16.15,16.2,15.88,16.15,3382100
2025-10-27 10:00:00,16.28,16.42,16.0,16.18,4254300
2025-10-28 10:00:00,16.22,16.22,15.89,16.13,3639100
2025-10-29 10:00:00,16.12,16.55,16.12,16.49,4593200
2025-10-30 10:00:00,16.3,16.7,16.3,16.69,3011200
2025-10-31 10:00:00,16.71,17.1,16.64,16.98,6258900
2025-11-03 10:00:00,17.13,17.2,16.84,16.9,5090900
2025-11-04 10:00:00,16.8,17.09,16.74,17.08,3079800
2025-11-05 10:00:00,17.08,17.39,16.99,17.07,4855800
2025-11-06 10:00:00,17.13,17.25,16.95,17.25,3335300
2025-11-07 10:00:00,17.26,17.44,17.15,17.44,4307500
2025-11-10 10:00:00,17.5,17.61,17.38,17.55,4887100
2025-11-11 10:00:00,17.65,18.04,17.62,17.7,4828700
2025-11-12 10:00:00,17.76,18.02,17.67,17.96,6019100
2025-11-13 10:00:00,17.85,18.11,17.5,18.09,7490300
2025-11-14 10:00:00,18.13,18.79,17.96,18.65,4056000
2025-11-17 10:00:00,18.65,18.75,18.34,18.45,9482600
2025-11-18 10:00:00,18.31,18.68,18.27,18.61,5524500
2025-11-19 10:00:00,18.59,18.59,18.39,18.4,2037000
2025-11-21 10:00:00,18.3,18.43,17.93,18.25,3226300
2025-11-24 10:00:00,18.26,18.59,18.14,18.38,3826300
2025-11-25 10:00:00,18.42,18.59,18.23,18.32,4892800
2025-11-26 10:00:00,18.46,18.57,18.28,18.36,3953900
2025-11-27 10:00:00,18.36,18.47,18.29,18.33,1873600
2025-11-28 10:00:00,18.34,18.66,18.26,18.51,6407500
2025-12-01 10:00:00,18.6,18.6,18.1,18.4,5071400
2025-12-02 10:00:00,18.48,18.72,18.36,18.58,6169400
2025-12-03 10:00:00,18.69,18.74,18.0,18.06,3887200
2025-12-04 10:00:00,18.19,18.7,18.0,18.7,4254100
2025-12-05 10:00:00,18.7,19.04,16.95,17.11,14450000
2025-12-08 10:00:00,17.45,17.54,16.97,17.21,11764900
2025-12-09 10:00:00,17.03,17.36,16.6,17.2,7649800
2025-12-10 10:00:00,17.29,17.56,17.08,17.44,9882000
2025-12-11 10:00:00,17.78,17.8,17.37,17.45,14216300
2025-12-12 10:00:00,17.48,17.76,17.05,17.61,8513200
2025-12-15 10:00:00,17.92,17.96,17.5,17.51,6191100
2025-12-16 10:00:00,17.49,17.49,16.56,16.56,28393200
2025-12-17 10:00:00,14.83,14.83,14.08,14.37,14274900
2025-12-18 10:00:00,14.29,14.35,13.81,13.87,11530500
2025-12-19 10:00:00,13.87,14.15,13.7,13.83,9489700
2025-12-22 10:00:00,13.77,13.79,13.27,13.38,9747500
2025-12-23 10:00:00,13.51,14.01,13.44,14.01,8781900
2025-12-26 10:00:00,13.94,14.07,13.77,14.03,3659600
2025-12-29 10:00:00,14.0,14.01,13.67,13.83,7662300
2025-12-30 10:00:00,13.88,14.27,13.84,14.12,8914300
2026-01-02 10:00:00,14.15,14.23,13.52,13.63,10710200
2026-01-05 10:00:00,13.56,14.4,13.52,14.33,9439300
2026-01-06 10:00:00,14.45,14.75,14.05,14.07,5661300
2026-01-07 10:00:00,14.05,14.06,13.55,13.65,17733700
2026-01-08 10:00:00,13.7,13.89,13.64,13.78,5242600
2026-01-09 10:00:00,13.78,14.3,13.68,13.92,6143700
2026-01-12 12:37:44,13.96,13.96,13.5,13.58,1150900
