date,open,high,low,close,volume
2025-10-15 10:00:00,4.4286,4.5268,4.4286,4.4821,3329984
2025-10-16 10:00:00,4.4643,4.5536,4.4643,4.5089,2415280
2025-10-17 10:00:00,4.5357,4.6161,4.4911,4.6161,1990576
2025-10-20 10:00:00,4.6429,4.7857,4.625,4.7411,1985984
2025-10-21 10:00:00,4.7143,4.7679,4.6071,4.7143,1675856
2025-10-22 10:00:00,4.6964,4.7232,4.6339,4.6786,1160656
2025-10-23 10:00:00,4.6786,4.7321,4.6518,4.7143,6717200
2025-10-24 10:00:00,4.6964,4.7679,4.6875,4.6875,1605520
2025-10-27 10:00:00,4.6964,4.7589,4.6696,4.6696,1116864
2025-10-28 10:00:00,4.6875,4.6875,4.625,4.6607,990304
2025-10-29 10:00:00,4.6429,4.6964,4.5982,4.5982,1866032
2025-10-30 10:00:00,4.5625,4.7054,4.5089,4.6875,1057280
2025-10-31 10:00:00,4.6875,4.8125,4.6518,4.7857,8631504
2025-11-03 10:00:00,4.8036,4.8036,4.6875,4.6875,2439136
2025-11-04 10:00:00,4.6786,4.7232,4.6607,4.7232,1611344
2025-11-05 10:00:00,4.7232,4.8839,4.6696,4.8839,2849728
2025-11-06 10:00:00,4.8304,4.9286,4.75,4.8214,3709216
2025-11-07 10:00:00,4.8214,4.8214,4.6339,4.7321,3137008
2025-11-10 10:00:00,4.7143,4.7946,4.6518,4.6786,3848432
2025-11-11 10:00:00,4.7054,4.8393,4.7054,4.8125,6353984
2025-11-12 10:00:00,4.8036,4.8482,4.7679,4.8482,1422624
2025-11-13 10:00:00,4.8214,4.875,4.7857,4.7857,1033536
2025-11-14 10:00:00,4.7768,4.8036,4.6696,4.7946,2862160
2025-11-17 10:00:00,4.7768,4.8036,4.7411,4.7857,1598912
2025-11-18 10:00:00,4.7679,4.8214,4.7143,4.7679,1586256
2025-11-19 10:00:00,4.7411,4.7946,4.7232,4.7679,1729840
2025-11-21 10:00:00,4.7411,4.75,4.5446,4.5536,4389504
2025-11-24 10:00:00,4.5536,4.625,4.5357,4.5357,2227120
2025-11-25 10:00:00,4.5357,4.5982,4.5268,4.5804,1357216
2025-11-26 10:00:00,4.5982,4.6786,4.5714,4.6696,1454544
2025-11-27 10:00:00,4.6518,4.6964,4.6339,4.6607,820400
2025-11-28 10:00:00,4.6607,4.7679,4.6429,4.7411,1363824
2025-12-01 10:00:00,4.7589,4.7589,4.6429,4.7054,955696
2025-12-02 10:00:00,4.6786,4.9375,4.6786,4.7946,3552528
2025-12-03 10:00:00,4.7946,4.8571,4.7143,4.7589,1663984
2025-12-04 10:00:00,4.7589,4.8661,4.7321,4.8304,1599696
2025-12-05 10:00:00,4.8214,4.9196,4.6696,4.75,3351264
2025-12-08 10:00:00,4.7768,4.7768,4.6696,4.6786,1743392
2025-12-09 10:00:00,4.6339,4.7589,4.5536,4.6696,2210768
2025-12-10 10:00:00,4.6964,4.7946,4.625,4.7054,2396128
2025-12-11 10:00:00,4.7232,4.7589,4.6964,4.7232,601888
2025-12-12 10:00:00,4.7232,4.7946,4.7143,4.7679,1046976
2025-12-15 10:00:00,4.7768,4.8393,4.75,4.8036,2230368
2025-12-16 10:00:00,4.7589,4.7946,4.6964,4.7589,1559376
2025-12-17 10:00:00,4.7321,4.75,4.6339,4.6786,2612288
2025-12-18 10:00:00,4.6964,4.7589,4.6875,4.6875,2433088
2025-12-19 10:00:00,4.7232,5.0536,4.7143,5.0,6546064
2025-12-22 10:00:00,4.9732,5.0268,4.9286,4.9732,2159360
2025-12-23 10:00:00,4.9643,5.0625,4.9643,5.0357,1608768
2025-12-26 10:00:00,5.01,5.26,4.95,5.12,2445100
2025-12-29 10:00:00,5.14,5.15,5.01,5.06,3013800
2025-12-30 10:00:00,5.12,5.12,5.0,5.0,7570900
2026-01-02 10:00:00,5.03,5.08,4.96,5.02,2467800
2026-01-05 10:00:00,5.05,5.21,4.97,5.2,2888900
2026-01-06 10:00:00,5.2,5.37,5.18,5.29,2633800
2026-01-07 10:00:00,5.3,5.32,5.17,5.27,2343900
2026-01-08 10:00:00,5.28,5.42,5.2,5.22,2825900
2026-01-09 10:00:00,5.27,5.29,5.21,5.29,1604900
2026-01-12 10:00:00,5.3,5.42,5.19,5.35,1873300
