date,open,high,low,close,volume
2025-10-14 10:00:00,6.43,6.63,6.39,6.5,626900
2025-10-15 10:00:00,6.5,6.67,6.48,6.59,551100
2025-10-16 10:00:00,6.64,6.64,6.48,6.54,485200
2025-10-17 10:00:00,6.52,6.69,6.5,6.63,357900
2025-10-20 10:00:00,6.68,6.68,6.56,6.62,383200
2025-10-21 10:00:00,6.63,6.65,6.57,6.57,258900
2025-10-22 10:00:00,6.58,6.74,6.58,6.62,394800
2025-10-23 10:00:00,6.73,6.73,6.6,6.61,209700
2025-10-24 10:00:00,6.61,6.84,6.61,6.79,514800
2025-10-27 10:00:00,6.79,7.1,6.79,7.03,781300
2025-10-28 10:00:00,7.0,7.09,6.94,7.0,425700
2025-10-29 10:00:00,7.01,7.16,7.0,7.06,396300
2025-10-30 10:00:00,7.43,7.72,7.41,7.59,1745900
2025-10-31 10:00:00,7.6,7.88,7.59,7.85,1720900
2025-11-03 10:00:00,7.9,7.99,7.85,7.89,884800
2025-11-04 10:00:00,7.89,7.96,7.76,7.8,1036900
2025-11-05 10:00:00,7.8,8.24,7.79,8.17,1696300
2025-11-06 10:00:00,7.64,7.64,7.23,7.26,1387300
2025-11-07 10:00:00,7.2,7.45,7.2,7.38,556400
2025-11-10 10:00:00,7.45,7.45,7.24,7.33,679700
2025-11-11 10:00:00,7.25,7.59,7.25,7.41,879600
2025-11-12 10:00:00,7.35,7.42,7.33,7.36,324500
2025-11-13 10:00:00,7.34,7.41,7.22,7.29,583600
2025-11-14 10:00:00,7.29,7.34,7.15,7.15,712100
2025-11-17 10:00:00,7.2,7.22,7.01,7.01,544200
2025-11-18 10:00:00,7.01,7.1,6.99,7.01,458600
2025-11-19 10:00:00,7.01,7.04,6.85,6.88,380400
2025-11-21 10:00:00,6.9,6.93,6.78,6.9,555700
2025-11-24 10:00:00,6.91,6.97,6.88,6.96,577500
2025-11-25 10:00:00,6.9,6.98,6.88,6.89,499300
2025-11-26 10:00:00,6.91,7.19,6.91,7.05,1009000
2025-11-27 10:00:00,7.04,7.07,6.94,7.0,514000
2025-11-28 10:00:00,7.0,7.18,6.96,7.18,510000
2025-12-01 10:00:00,7.19,7.19,6.92,6.97,1671200
2025-12-02 10:00:00,6.98,7.05,6.94,6.95,538000
2025-12-03 10:00:00,6.97,7.1,6.97,6.98,630300
2025-12-04 10:00:00,7.0,7.03,6.96,7.0,563200
2025-12-05 10:00:00,7.0,7.03,6.75,6.76,1122500
2025-12-08 10:00:00,6.79,6.88,6.77,6.79,462000
2025-12-09 10:00:00,6.8,6.9,6.7,6.83,549600
2025-12-10 10:00:00,6.9,6.95,6.8,6.95,753300
2025-12-11 10:00:00,6.98,7.03,6.84,6.96,684900
2025-12-12 10:00:00,7.0,7.03,6.91,6.97,412200
2025-12-15 10:00:00,6.92,6.98,6.92,6.94,461500
2025-12-16 10:00:00,6.91,7.08,6.83,7.03,1014800
2025-12-17 10:00:00,7.05,7.09,6.94,7.02,582100
2025-12-18 10:00:00,7.01,7.14,6.94,6.97,985100
2025-12-19 10:00:00,7.04,7.04,6.91,6.93,600600
2025-12-22 10:00:00,6.97,7.02,6.9,6.91,751000
2025-12-23 10:00:00,6.92,7.07,6.92,6.98,908700
2025-12-26 10:00:00,7.04,7.04,6.9,6.97,397300
2025-12-29 10:00:00,7.0,7.02,6.86,6.9,471300
2025-12-30 10:00:00,6.97,7.0,6.9,6.93,383000
2026-01-02 10:00:00,6.93,6.95,6.8,6.8,856200
2026-01-05 10:00:00,6.83,6.9,6.8,6.82,558600
2026-01-06 10:00:00,6.82,6.9,6.8,6.88,516200
2026-01-07 10:00:00,6.88,6.88,6.76,6.79,627400
2026-01-08 10:00:00,6.83,6.83,6.71,6.75,498400
2026-01-09 10:00:00,6.78,6.92,6.72,6.8,1012900
2026-01-12 18:07:00,6.84,6.88,6.82,6.85,650000
