date,open,high,low,close,volume
2025-10-20 10:00:00,18.04,18.42,18.0,18.26,11361500
2025-10-21 10:00:00,18.28,18.58,18.19,18.19,8315300
2025-10-22 10:00:00,18.3,18.36,17.97,18.0,9522200
2025-10-23 10:00:00,18.05,18.33,18.02,18.19,5624000
2025-10-24 10:00:00,18.31,18.47,18.17,18.21,4950900
2025-10-27 10:00:00,18.34,18.45,18.05,18.22,8605500
2025-10-28 10:00:00,18.19,18.66,18.15,18.46,9056800
2025-10-29 10:00:00,18.6,19.25,18.6,19.25,19719900
2025-10-30 10:00:00,19.12,19.21,18.68,18.72,12657500
2025-10-31 10:00:00,18.84,18.94,18.26,18.94,15122000
2025-11-03 10:00:00,18.85,18.88,18.5,18.71,10484600
2025-11-04 10:00:00,18.7,18.77,18.45,18.58,9600000
2025-11-05 10:00:00,18.58,19.29,18.5,19.09,12573100
2025-11-06 10:00:00,19.09,19.4,18.95,19.12,12505000
2025-11-07 10:00:00,19.07,19.2,18.81,19.03,8119200
2025-11-10 10:00:00,19.14,19.25,18.93,19.1,8972900
2025-11-11 10:00:00,19.1,19.1,18.76,18.9,11665000
2025-11-12 10:00:00,18.9,19.18,18.86,19.05,11431200
2025-11-13 10:00:00,19.04,19.28,18.81,18.91,8617100
2025-11-14 10:00:00,18.86,18.95,18.66,18.77,7175700
2025-11-17 10:00:00,18.8,18.88,18.46,18.7,12081200
2025-11-18 10:00:00,18.48,18.74,18.48,18.65,11608800
2025-11-19 10:00:00,18.55,18.78,18.44,18.49,5682400
2025-11-21 10:00:00,18.38,18.58,18.24,18.47,8705100
2025-11-24 10:00:00,18.39,18.75,18.39,18.59,10011700
2025-11-25 10:00:00,18.59,18.88,18.5,18.76,9926000
2025-11-26 10:00:00,18.79,19.25,18.79,19.13,6610200
2025-11-27 10:00:00,19.03,19.15,18.96,19.11,2499800
2025-11-28 10:00:00,19.08,19.26,18.93,19.04,5313600
2025-12-01 10:00:00,19.11,19.25,18.84,19.15,9203800
2025-12-02 10:00:00,19.18,19.23,18.93,19.11,6269000
2025-12-03 10:00:00,19.18,19.73,19.18,19.63,12653900
2025-12-04 10:00:00,19.73,19.81,19.54,19.6,9828900
2025-12-05 10:00:00,19.62,19.77,18.9,19.1,18903500
2025-12-08 10:00:00,19.29,19.31,19.01,19.05,9864600
2025-12-09 10:00:00,18.95,19.15,18.9,19.08,14842900
2025-12-10 10:00:00,19.15,19.68,19.01,19.59,14169200
2025-12-11 10:00:00,19.49,19.97,19.3,19.86,7479800
2025-12-12 10:00:00,19.98,20.05,19.6,19.93,9598600
2025-12-15 10:00:00,19.99,20.48,19.87,20.37,13121100
2025-12-16 10:00:00,20.41,20.76,20.18,20.65,12326000
2025-12-17 10:00:00,20.51,20.66,20.25,20.31,12937300
2025-12-18 10:00:00,20.3,20.57,20.3,20.43,9087300
2025-12-19 10:00:00,20.44,20.67,20.28,20.37,12971100
2025-12-22 10:00:00,20.38,20.81,20.23,20.57,7241100
2025-12-23 10:00:00,20.63,20.76,20.46,20.75,4248900
2025-12-26 10:00:00,20.62,20.81,20.62,20.75,6177000
2025-12-29 10:00:00,20.8,20.87,20.38,20.53,6726100
2025-12-30 10:00:00,20.66,20.73,20.39,20.39,5129900
2026-01-02 10:00:00,20.39,20.62,20.32,20.51,5849100
2026-01-05 10:00:00,20.51,20.94,20.41,20.71,6662200
2026-01-06 10:00:00,20.77,21.24,20.44,21.05,9874300
2026-01-07 10:00:00,21.02,21.38,20.82,21.27,9547500
2026-01-08 10:00:00,21.35,21.4,21.0,21.2,7742900
2026-01-09 10:00:00,21.2,21.32,20.98,21.05,5859200
2026-01-12 10:00:00,21.02,21.39,20.78,21.25,6443700
2026-01-13 10:00:00,21.03,21.91,20.96,21.66,13492400
2026-01-14 10:00:00,21.71,22.29,21.33,22.21,12114600
2026-01-15 18:07:30,0.0,0.0,0.0,22.28,0
