date,open,high,low,close,volume
2025-10-14 10:00:00,9.25,9.42,9.06,9.35,2163500
2025-10-15 10:00:00,9.32,9.42,9.16,9.35,1160200
2025-10-16 10:00:00,9.37,9.88,9.27,9.62,1747900
2025-10-17 10:00:00,9.62,9.78,9.44,9.53,867500
2025-10-20 10:00:00,9.63,9.78,9.6,9.6,488000
2025-10-21 10:00:00,9.65,9.73,9.52,9.67,947700
2025-10-22 10:00:00,9.75,9.86,9.5,9.53,718500
2025-10-23 10:00:00,10.0,10.34,9.88,10.03,3602500
2025-10-24 10:00:00,10.14,10.16,9.83,9.91,1233300
2025-10-27 10:00:00,10.03,10.12,9.74,9.96,799800
2025-10-28 10:00:00,9.85,10.04,9.73,9.73,1568800
2025-10-29 10:00:00,9.74,10.03,9.58,10.03,1295500
2025-10-30 10:00:00,10.02,10.19,9.83,10.01,1167500
2025-10-31 10:00:00,10.09,10.16,9.96,10.13,571800
2025-11-03 10:00:00,10.17,10.18,9.71,9.71,803300
2025-11-04 10:00:00,9.63,9.94,9.62,9.94,706900
2025-11-05 10:00:00,9.94,10.4,9.84,10.4,1434200
2025-11-06 10:00:00,10.6,10.9,10.11,10.77,3572000
2025-11-07 10:00:00,10.97,11.44,10.82,11.44,2744400
2025-11-10 10:00:00,11.54,11.54,10.45,10.45,4135100
2025-11-11 10:00:00,10.52,10.7,10.3,10.53,2724500
2025-11-12 10:00:00,10.55,10.79,10.41,10.56,1498800
2025-11-13 10:00:00,10.45,10.66,10.14,10.22,1316900
2025-11-14 10:00:00,10.21,10.54,10.14,10.37,977600
2025-11-17 10:00:00,10.29,10.47,10.23,10.47,756600
2025-11-18 10:00:00,10.44,10.63,10.31,10.52,889300
2025-11-19 10:00:00,10.44,11.04,10.44,10.69,1865800
2025-11-21 10:00:00,10.55,10.63,10.37,10.57,681600
2025-11-24 10:00:00,10.59,10.98,10.48,10.8,1278500
2025-11-25 10:00:00,10.7,10.92,10.55,10.88,1252100
2025-11-26 10:00:00,10.88,10.96,10.78,10.83,957300
2025-11-27 10:00:00,10.79,10.94,10.71,10.87,652800
2025-11-28 10:00:00,10.94,11.46,10.83,11.32,1528000
2025-12-01 10:00:00,11.3,11.43,11.07,11.3,1267100
2025-12-02 10:00:00,11.31,11.79,11.31,11.76,1546400
2025-12-03 10:00:00,11.7,11.79,11.57,11.66,757800
2025-12-04 10:00:00,11.61,11.9,11.58,11.7,1216800
2025-12-05 10:00:00,11.58,11.69,10.15,10.15,2242600
2025-12-08 10:00:00,10.5,10.69,10.23,10.33,1537600
2025-12-09 10:00:00,10.25,10.42,9.83,10.3,1558100
2025-12-10 10:00:00,10.41,10.41,10.12,10.28,828500
2025-12-11 10:00:00,10.11,10.63,10.11,10.53,1257900
2025-12-12 10:00:00,10.64,10.98,10.55,10.9,1096800
2025-12-15 10:00:00,11.0,11.14,10.77,10.83,1649600
2025-12-16 10:00:00,10.6,10.71,10.38,10.6,1344500
2025-12-17 10:00:00,10.58,10.58,10.05,10.27,1597700
2025-12-18 10:00:00,11.2,11.4,10.84,11.26,16595600
2025-12-19 10:00:00,11.39,11.77,11.27,11.68,6198200
2025-12-22 10:00:00,11.73,11.85,11.14,11.14,7923700
2025-12-23 10:00:00,8.19,8.67,8.08,8.51,6078900
2025-12-26 10:00:00,8.55,9.07,8.4,9.07,3777000
2025-12-29 10:00:00,9.07,9.17,8.62,8.74,3930400
2025-12-30 10:00:00,8.92,9.06,8.77,8.87,2955400
2026-01-02 10:00:00,8.91,8.96,8.41,8.66,3004400
2026-01-05 10:00:00,8.66,8.82,8.32,8.51,2625400
2026-01-06 10:00:00,8.52,8.74,8.52,8.69,1894700
2026-01-07 10:00:00,8.7,8.73,8.46,8.55,2046600
2026-01-08 10:00:00,8.51,8.73,8.51,8.53,2070000
2026-01-09 10:00:00,8.51,8.67,8.33,8.35,1871500
2026-01-12 18:07:00,8.34,8.34,8.13,8.24,2081200
