date,open,high,low,close,volume
2025-10-17 10:00:00,10.7059,10.8333,10.6667,10.7843,22448262
2025-10-20 10:00:00,10.7941,11.0588,10.7843,11.0098,30120702
2025-10-21 10:00:00,11.0,11.0588,10.902,10.902,17079798
2025-10-22 10:00:00,10.9118,11.0196,10.8922,11.0196,21273528
2025-10-23 10:00:00,11.0588,11.1078,10.9412,11.0196,11693688
2025-10-24 10:00:00,11.0784,11.1569,11.0294,11.0588,11467860
2025-10-27 10:00:00,11.1471,11.1961,11.0882,11.098,15672810
2025-10-28 10:00:00,11.1078,11.1471,11.0686,11.1373,15548880
2025-10-29 10:00:00,11.1863,11.3824,11.1471,11.3627,31715166
2025-10-30 10:00:00,11.2941,11.402,11.2549,11.3137,19981596
2025-10-31 10:00:00,11.3333,11.4314,11.3235,11.4216,29211984
2025-11-03 10:00:00,11.4804,11.5784,11.4412,11.549,24012942
2025-11-04 10:00:00,11.5294,11.6078,11.451,11.5098,20589312
2025-11-05 10:00:00,11.5098,11.5686,11.3137,11.5686,44162532
2025-11-06 10:00:00,11.5686,11.7059,11.5294,11.6078,29906400
2025-11-07 10:00:00,11.598,11.6078,11.4412,11.5784,21602580
2025-11-10 10:00:00,11.6078,11.6471,11.5588,11.598,32797998
2025-11-11 10:00:00,11.6667,11.9412,11.6569,11.9118,53623542
2025-11-12 10:00:00,11.9118,11.9314,11.598,11.6373,42946692
2025-11-13 10:00:00,11.6373,11.8137,11.6176,11.7059,39466758
2025-11-14 10:00:00,11.7157,11.7941,11.6471,11.7255,19246278
2025-11-17 10:00:00,11.7255,11.7451,11.5882,11.6863,21341154
2025-11-18 10:00:00,11.6176,11.6765,11.5294,11.6078,26245518
2025-11-19 10:00:00,11.5686,11.6176,11.5,11.5196,20450286
2025-11-21 10:00:00,11.5588,11.5882,11.451,11.549,17075106
2025-11-24 10:00:00,11.5392,11.6667,11.5098,11.5784,27442794
2025-11-25 10:00:00,11.598,11.6569,11.5098,11.5784,24781920
2025-11-26 10:00:00,11.6176,11.902,11.6176,11.8627,26690850
2025-11-27 10:00:00,11.8431,11.8529,11.7549,11.7941,11485200
2025-11-28 10:00:00,11.902,12.1471,11.8137,12.0882,55395996
2025-12-01 10:00:00,12.2059,12.2059,11.9412,12.0,63765606
2025-12-02 10:00:00,12.0882,12.2941,12.0588,12.2941,43768710
2025-12-03 10:00:00,12.3333,12.3725,12.2059,12.3137,31508106
2025-12-04 10:00:00,12.3725,12.6569,12.3333,12.6569,41995644
2025-12-05 10:00:00,12.6569,12.7549,12.0196,12.1176,47963868
2025-12-08 10:00:00,12.3039,12.3529,12.1078,12.1765,40909242
2025-12-09 10:00:00,12.1471,12.2059,11.902,12.1176,43532478
2025-12-10 10:00:00,11.3333,11.4412,11.2353,11.3824,52473594
2025-12-11 10:00:00,11.3725,11.549,11.3529,11.4706,27567132
2025-12-12 10:00:00,11.5294,11.6176,11.4314,11.5588,29327142
2025-12-15 10:00:00,11.6667,11.7647,11.6078,11.7647,17237592
2025-12-16 10:00:00,11.7157,11.7353,11.3725,11.3725,32249544
2025-12-17 10:00:00,11.3824,11.402,11.1863,11.3039,37780086
2025-12-18 10:00:00,11.2941,11.402,11.2941,11.3725,19859808
2025-12-19 10:00:00,11.4,11.63,11.39,11.47,46941400
2025-12-22 10:00:00,11.5,11.51,11.38,11.46,18783200
2025-12-23 10:00:00,11.5,11.64,11.45,11.59,12528200
2025-12-26 10:00:00,11.51,11.62,11.49,11.6,17144900
2025-12-29 10:00:00,11.61,11.62,11.53,11.59,13165800
2025-12-30 10:00:00,11.64,11.74,11.63,11.68,16666700
2026-01-02 10:00:00,11.75,11.8,11.63,11.63,18672900
2026-01-05 10:00:00,11.67,12.0,11.64,11.91,35859800
2026-01-06 10:00:00,12.0,12.09,11.94,11.96,16458400
2026-01-07 10:00:00,11.91,11.96,11.71,11.77,19658100
2026-01-08 10:00:00,11.79,12.07,11.77,12.07,40016300
2026-01-09 10:00:00,12.09,12.2,12.06,12.11,29728500
2026-01-12 10:00:00,12.09,12.1,12.0,12.0,13690000
2026-01-13 10:00:00,11.96,12.06,11.91,11.96,33777800
2026-01-14 10:00:00,12.03,12.05,11.92,12.03,25481400
2026-01-15 18:07:46,12.05,12.22,12.03,12.18,37769400
