date,open,high,low,close,volume
2025-10-15 10:00:00,5.92,6.1,5.86,6.1,2697400
2025-10-16 10:00:00,6.08,6.08,5.95,5.96,2244900
2025-10-17 10:00:00,5.94,6.01,5.91,6.0,2979500
2025-10-20 10:00:00,6.0,6.18,5.99,6.12,2347900
2025-10-21 10:00:00,6.0,6.18,5.99,6.07,2346500
2025-10-22 10:00:00,6.1,6.12,6.03,6.11,2160800
2025-10-23 10:00:00,6.12,6.21,6.07,6.16,1792200
2025-10-24 10:00:00,6.12,6.23,6.12,6.21,1390700
2025-10-27 10:00:00,6.26,6.35,6.23,6.29,1994400
2025-10-28 10:00:00,6.3,6.34,6.26,6.29,1600100
2025-10-29 10:00:00,6.31,6.56,6.3,6.47,3900300
2025-10-30 10:00:00,6.43,6.62,6.41,6.56,2703700
2025-10-31 10:00:00,6.64,6.71,6.59,6.59,9191200
2025-11-03 10:00:00,6.6,6.7,6.51,6.6,4049800
2025-11-04 10:00:00,6.57,6.75,6.57,6.7,3963900
2025-11-05 10:00:00,6.7,6.92,6.67,6.87,3454500
2025-11-06 10:00:00,6.86,6.9,6.7,6.79,3078600
2025-11-07 10:00:00,6.76,6.92,6.74,6.89,2227800
2025-11-10 10:00:00,6.95,7.02,6.88,6.91,5048800
2025-11-11 10:00:00,6.94,7.18,6.94,7.08,3636900
2025-11-12 10:00:00,7.08,7.15,7.06,7.14,2178800
2025-11-13 10:00:00,7.08,7.19,6.98,7.08,3503700
2025-11-14 10:00:00,7.2,7.41,7.08,7.29,7256200
2025-11-17 10:00:00,7.31,7.32,7.01,7.02,5782200
2025-11-18 10:00:00,6.95,7.27,6.87,7.25,2258800
2025-11-19 10:00:00,7.25,7.26,7.12,7.16,1489700
2025-11-21 10:00:00,7.16,7.27,7.08,7.17,2100500
2025-11-24 10:00:00,7.17,7.41,7.14,7.39,2538500
2025-11-25 10:00:00,7.39,7.47,7.21,7.26,2754700
2025-11-26 10:00:00,7.28,7.49,7.27,7.47,1771000
2025-11-27 10:00:00,7.47,7.5,7.35,7.44,1437700
2025-11-28 10:00:00,7.45,7.73,7.45,7.67,4305600
2025-12-01 10:00:00,7.67,7.67,7.4,7.61,4649300
2025-12-02 10:00:00,7.61,7.81,7.59,7.74,2843600
2025-12-03 10:00:00,7.76,7.91,7.76,7.88,5852200
2025-12-04 10:00:00,7.88,8.28,7.86,8.09,4529900
2025-12-05 10:00:00,8.09,8.11,7.64,7.71,4945900
2025-12-08 10:00:00,7.84,7.84,7.55,7.68,2914900
2025-12-09 10:00:00,7.63,7.67,7.42,7.57,2923200
2025-12-10 10:00:00,7.57,7.74,7.52,7.65,2498200
2025-12-11 10:00:00,7.66,8.09,7.66,7.84,8068900
2025-12-12 10:00:00,7.86,8.02,7.78,7.9,2041300
2025-12-15 10:00:00,7.96,8.05,7.87,7.97,2508400
2025-12-16 10:00:00,7.93,7.93,7.57,7.75,4658800
2025-12-17 10:00:00,7.73,7.73,7.42,7.55,3949500
2025-12-18 10:00:00,7.53,7.76,7.51,7.69,2232600
2025-12-19 10:00:00,7.69,7.94,7.62,7.76,4070000
2025-12-22 10:00:00,7.82,7.86,7.6,7.7,5179400
2025-12-23 10:00:00,7.75,8.0,7.74,7.95,4132600
2025-12-26 10:00:00,7.95,8.07,7.9,7.98,4558700
2025-12-29 10:00:00,8.04,8.04,7.82,7.87,2229800
2025-12-30 10:00:00,7.9,7.98,7.9,7.93,2701500
2026-01-02 10:00:00,7.98,8.0,7.81,7.84,2863200
2026-01-05 10:00:00,7.84,8.03,7.81,7.87,2960600
2026-01-06 10:00:00,7.87,8.03,7.87,7.92,2450900
2026-01-07 10:00:00,7.92,7.96,7.83,7.9,2241000
2026-01-08 10:00:00,7.9,8.05,7.87,8.05,3504700
2026-01-09 10:00:00,8.06,8.23,8.03,8.18,3971000
2026-01-12 10:00:00,8.18,8.4,8.07,8.4,3937500
2026-01-13 10:12:59,8.4,8.4,8.18,8.23,294600
