date,open,high,low,close,volume
2025-10-20 10:00:00,7.12,7.15,7.08,7.09,1164400
2025-10-21 10:00:00,7.09,7.1,7.01,7.01,1393600
2025-10-22 10:00:00,7.04,7.28,7.01,7.28,1884900
2025-10-23 10:00:00,7.31,7.4,7.23,7.4,1090000
2025-10-24 10:00:00,7.4,7.54,7.4,7.52,1038000
2025-10-27 10:00:00,7.52,7.74,7.43,7.71,1819700
2025-10-28 10:00:00,7.75,7.83,7.63,7.71,1392600
2025-10-29 10:00:00,7.71,7.88,7.61,7.75,1992600
2025-10-30 10:00:00,7.72,8.62,7.62,8.62,6836400
2025-10-31 10:00:00,8.6,9.25,8.48,9.25,6616500
2025-11-03 10:00:00,9.15,9.3,8.83,9.16,6433700
2025-11-04 10:00:00,9.1,9.14,8.68,9.11,5192700
2025-11-05 10:00:00,9.11,9.84,9.11,9.79,6224200
2025-11-06 10:00:00,9.76,9.95,9.56,9.9,5000300
2025-11-07 10:00:00,9.85,10.52,9.76,10.48,9680600
2025-11-10 10:00:00,10.0,10.22,9.81,9.95,8868800
2025-11-11 10:00:00,9.87,10.03,9.78,9.88,3768800
2025-11-12 10:00:00,9.85,10.12,9.71,10.12,2989400
2025-11-13 10:00:00,10.03,10.09,9.9,9.99,2184000
2025-11-14 10:00:00,9.99,10.1,9.92,10.04,1440300
2025-11-17 10:00:00,10.0,10.03,9.93,9.96,1854500
2025-11-18 10:00:00,9.95,9.98,9.88,9.95,1421000
2025-11-19 10:00:00,9.91,9.91,9.75,9.76,1647500
2025-11-21 10:00:00,9.76,9.82,9.64,9.65,3123000
2025-11-24 10:00:00,9.65,9.76,9.38,9.44,2649200
2025-11-25 10:00:00,9.33,9.39,9.18,9.35,1560900
2025-11-26 10:00:00,9.35,9.66,9.32,9.61,1709400
2025-11-27 10:00:00,9.6,9.73,9.52,9.68,1217300
2025-11-28 10:00:00,9.68,9.79,9.61,9.73,1648000
2025-12-01 10:00:00,9.73,9.87,9.55,9.68,2469600
2025-12-02 10:00:00,9.68,9.73,9.53,9.69,2915300
2025-12-03 10:00:00,9.72,9.79,9.61,9.71,1101900
2025-12-04 10:00:00,9.71,9.96,9.71,9.8,1595300
2025-12-05 10:00:00,9.8,9.84,9.36,9.54,2936800
2025-12-08 10:00:00,9.5,9.59,9.39,9.57,1096600
2025-12-09 10:00:00,9.5,9.62,9.24,9.47,1712000
2025-12-10 10:00:00,9.47,9.68,9.47,9.68,1373000
2025-12-11 10:00:00,9.69,10.05,9.64,9.88,2069200
2025-12-12 10:00:00,9.78,10.02,9.78,9.95,1633700
2025-12-15 10:00:00,9.9,9.97,9.6,9.8,2734900
2025-12-16 10:00:00,9.7,9.76,9.5,9.64,1730000
2025-12-17 10:00:00,9.64,9.7,9.41,9.63,2558500
2025-12-18 10:00:00,9.63,9.7,9.47,9.54,2135600
2025-12-19 10:00:00,9.54,9.72,9.5,9.61,4039200
2025-12-22 10:00:00,9.55,9.73,9.55,9.62,2120800
2025-12-23 10:00:00,9.6,9.81,9.6,9.72,2199400
2025-12-26 10:00:00,9.64,9.78,9.62,9.77,1182100
2025-12-29 10:00:00,9.74,9.8,9.69,9.76,1196600
2025-12-30 10:00:00,9.71,9.86,9.71,9.84,1471300
2026-01-02 10:00:00,9.85,9.89,9.76,9.88,1374300
2026-01-05 10:00:00,9.86,9.9,9.8,9.86,1127700
2026-01-06 10:00:00,9.89,10.17,9.87,10.12,3101200
2026-01-07 10:00:00,10.07,10.07,9.93,10.05,1678900
2026-01-08 10:00:00,10.05,10.16,10.02,10.08,1575100
2026-01-09 10:00:00,10.08,10.15,10.02,10.09,850300
2026-01-12 10:00:00,10.09,10.09,9.93,9.96,1153000
2026-01-13 10:00:00,9.94,9.94,9.75,9.84,2358000
2026-01-14 10:00:00,9.92,9.94,9.69,9.74,3800500
2026-01-15 18:07:40,0.0,0.0,0.0,9.82,0
