date,open,high,low,close,volume
2025-10-17 10:00:00,27.16,27.48,27.08,27.33,176000
2025-10-20 10:00:00,27.6,27.81,27.51,27.65,245000
2025-10-21 10:00:00,27.76,27.95,27.56,27.8,164200
2025-10-22 10:00:00,27.8,28.0,27.77,27.85,156800
2025-10-23 10:00:00,28.06,28.09,27.86,27.99,161000
2025-10-24 10:00:00,28.0,28.39,28.0,28.36,176600
2025-10-27 10:00:00,28.36,28.67,28.23,28.51,192500
2025-10-28 10:00:00,28.51,28.59,28.32,28.48,184300
2025-10-29 10:00:00,28.48,29.49,28.42,29.49,346200
2025-10-30 10:00:00,29.49,29.84,29.21,29.83,334200
2025-10-31 10:00:00,29.83,29.96,29.51,29.83,533400
2025-11-03 10:00:00,29.65,29.91,29.34,29.55,197500
2025-11-04 10:00:00,29.55,29.99,29.42,29.99,386600
2025-11-05 10:00:00,29.99,30.79,29.85,30.51,243800
2025-11-06 10:00:00,30.45,30.54,30.09,30.27,370700
2025-11-07 10:00:00,30.14,30.5,29.93,30.5,193000
2025-11-10 10:00:00,30.22,30.71,30.22,30.63,214600
2025-11-11 10:00:00,30.63,31.16,30.52,31.02,322900
2025-11-12 10:00:00,31.02,31.46,30.9,31.31,2312800
2025-11-13 10:00:00,31.5,34.2,31.49,33.73,951400
2025-11-14 10:00:00,33.8,34.08,32.8,33.69,399400
2025-11-17 10:00:00,32.85,33.45,32.43,32.88,585100
2025-11-18 10:00:00,32.87,33.17,32.58,33.17,204200
2025-11-19 10:00:00,33.01,34.42,32.87,34.42,399800
2025-11-21 10:00:00,34.03,34.29,32.69,33.03,508400
2025-11-24 10:00:00,32.76,34.0,32.76,33.99,319000
2025-11-25 10:00:00,33.69,34.05,32.87,32.87,303300
2025-11-26 10:00:00,32.9,33.69,32.81,33.69,284500
2025-11-27 10:00:00,33.69,33.69,32.65,32.9,229200
2025-11-28 10:00:00,32.9,33.14,32.54,33.14,358000
2025-12-01 10:00:00,33.14,33.23,32.7,33.2,187000
2025-12-02 10:00:00,33.23,34.28,33.09,33.61,389400
2025-12-03 10:00:00,33.76,34.0,33.33,33.5,275400
2025-12-04 10:00:00,33.46,33.84,33.3,33.5,185200
2025-12-05 10:00:00,33.49,33.8,32.35,32.45,290900
2025-12-08 10:00:00,32.46,32.9,32.36,32.65,161100
2025-12-09 10:00:00,32.66,32.66,31.82,32.32,334000
2025-12-10 10:00:00,32.28,32.84,31.85,32.8,295000
2025-12-11 10:00:00,32.9,35.09,32.36,35.01,656000
2025-12-12 10:00:00,34.95,35.24,33.77,34.32,370000
2025-12-15 10:00:00,34.31,34.71,34.03,34.03,161700
2025-12-16 10:00:00,34.03,34.18,33.2,33.31,222300
2025-12-17 10:00:00,33.35,34.17,32.83,34.17,355900
2025-12-18 10:00:00,33.84,34.16,33.58,33.81,287300
2025-12-19 10:00:00,33.61,33.67,33.08,33.56,313600
2025-12-22 10:00:00,33.49,34.02,33.23,33.91,269200
2025-12-23 10:00:00,33.93,34.21,33.58,34.21,200100
2025-12-26 10:00:00,34.21,34.22,33.83,34.22,125600
2025-12-29 10:00:00,34.22,34.5,34.13,34.37,234700
2025-12-30 10:00:00,34.37,34.85,33.92,34.11,293000
2026-01-02 10:00:00,34.17,34.84,33.17,33.5,320100
2026-01-05 10:00:00,33.51,34.02,33.2,33.84,500200
2026-01-06 10:00:00,33.9,34.0,33.42,33.75,350600
2026-01-07 10:00:00,33.75,33.79,33.16,33.58,293600
2026-01-08 10:00:00,33.58,33.93,33.43,33.5,275200
2026-01-09 10:00:00,33.61,33.71,32.65,33.1,274000
2026-01-12 10:00:00,33.1,33.49,32.99,33.29,238800
2026-01-13 10:00:00,33.29,33.82,32.92,33.56,337200
2026-01-14 10:00:00,33.56,34.1,33.56,34.09,327000
2026-01-15 14:13:56,33.91,34.72,33.91,34.66,156200
