date,open,high,low,close,volume
2025-10-15 10:00:00,5.07,5.33,5.03,5.1,1874100
2025-10-16 10:00:00,5.11,5.14,4.99,5.0,1331300
2025-10-17 10:00:00,5.04,5.19,4.96,5.12,1571700
2025-10-20 10:00:00,5.09,5.15,5.03,5.04,997100
2025-10-21 10:00:00,5.06,5.1,4.98,5.01,888000
2025-10-22 10:00:00,5.02,5.12,5.0,5.05,1240300
2025-10-23 10:00:00,5.09,5.31,5.09,5.11,1472600
2025-10-24 10:00:00,5.15,5.21,5.04,5.07,659500
2025-10-27 10:00:00,5.11,5.16,5.04,5.05,1903500
2025-10-28 10:00:00,5.08,5.71,5.08,5.48,4710800
2025-10-29 10:00:00,5.55,5.58,5.25,5.39,1478900
2025-10-30 10:00:00,5.37,5.68,5.3,5.6,1185900
2025-10-31 10:00:00,5.66,5.71,5.47,5.69,2793700
2025-11-03 10:00:00,5.75,6.23,5.68,6.2,4027200
2025-11-04 10:00:00,6.18,6.49,5.81,5.81,3158300
2025-11-05 10:00:00,5.81,6.03,5.78,5.97,985900
2025-11-06 10:00:00,6.01,6.01,5.8,5.96,1432300
2025-11-07 10:00:00,5.98,6.07,5.9,5.98,822700
2025-11-10 10:00:00,5.95,6.05,5.72,5.77,821200
2025-11-11 10:00:00,5.8,6.13,5.8,6.05,1404900
2025-11-12 10:00:00,6.08,6.09,5.94,5.99,516100
2025-11-13 10:00:00,6.04,6.08,5.65,5.65,756900
2025-11-14 10:00:00,5.65,5.68,5.36,5.68,1147900
2025-11-17 10:00:00,5.61,5.66,5.47,5.6,803800
2025-11-18 10:00:00,5.59,5.89,5.52,5.79,548100
2025-11-19 10:00:00,5.76,5.9,5.55,5.63,1926600
2025-11-21 10:00:00,5.63,5.65,5.31,5.31,986300
2025-11-24 10:00:00,5.37,5.51,5.31,5.36,876000
2025-11-25 10:00:00,5.35,5.44,5.29,5.38,495000
2025-11-26 10:00:00,5.37,5.46,5.35,5.4,709100
2025-11-27 10:00:00,5.4,5.44,5.29,5.31,440400
2025-11-28 10:00:00,5.35,5.37,5.19,5.19,666400
2025-12-01 10:00:00,5.24,5.39,5.16,5.28,828500
2025-12-02 10:00:00,5.32,5.56,5.28,5.39,1242000
2025-12-03 10:00:00,5.44,5.65,5.44,5.51,805000
2025-12-04 10:00:00,5.55,5.74,5.51,5.53,1095500
2025-12-05 10:00:00,5.53,5.61,5.0,5.08,1615300
2025-12-08 10:00:00,5.2,5.22,5.03,5.03,771800
2025-12-09 10:00:00,5.03,5.09,4.86,4.98,2660800
2025-12-10 10:00:00,4.98,5.43,4.19,4.67,8616800
2025-12-11 10:00:00,4.7,4.71,4.52,4.66,1591400
2025-12-12 10:00:00,4.62,4.74,4.62,4.67,881200
2025-12-15 10:00:00,4.67,4.84,4.67,4.76,882800
2025-12-16 10:00:00,4.72,4.75,4.61,4.66,513100
2025-12-17 10:00:00,4.66,4.68,4.45,4.45,906800
2025-12-18 10:00:00,4.5,4.53,4.38,4.43,610300
2025-12-19 10:00:00,4.45,4.53,4.42,4.46,669400
2025-12-22 10:00:00,4.46,4.49,4.26,4.32,1638800
2025-12-23 10:00:00,4.37,4.53,4.34,4.42,602000
2025-12-26 10:00:00,4.39,4.58,4.35,4.51,686600
2025-12-29 10:00:00,4.51,4.66,4.48,4.66,509100
2025-12-30 10:00:00,4.66,4.77,4.62,4.73,640900
2026-01-02 10:00:00,4.74,4.8,4.57,4.72,574600
2026-01-05 10:00:00,4.72,4.79,4.67,4.7,629400
2026-01-06 10:00:00,4.7,4.9,4.7,4.9,775100
2026-01-07 10:00:00,4.87,4.87,4.67,4.7,824400
2026-01-08 10:00:00,4.74,4.77,4.65,4.69,791300
2026-01-09 10:00:00,4.68,4.84,4.68,4.77,824400
2026-01-12 10:00:00,4.81,4.89,4.63,4.66,859600
