date,open,high,low,close,volume
2025-10-14 10:00:00,21.4,21.5,21.25,21.28,165800
2025-10-15 10:00:00,21.28,21.98,21.12,21.85,368700
2025-10-16 10:00:00,21.64,21.92,21.56,21.79,285600
2025-10-17 10:00:00,21.51,22.27,21.51,22.14,226700
2025-10-20 10:00:00,22.05,22.99,22.05,22.92,195200
2025-10-21 10:00:00,22.92,22.94,22.47,22.47,153800
2025-10-22 10:00:00,22.37,23.04,22.37,23.0,177800
2025-10-23 10:00:00,23.09,23.17,22.75,23.1,134100
2025-10-24 10:00:00,22.97,23.38,22.93,23.0,197000
2025-10-27 10:00:00,23.15,23.68,23.02,23.49,191000
2025-10-28 10:00:00,23.45,23.45,23.02,23.31,219100
2025-10-29 10:00:00,23.3,23.62,22.98,23.0,470100
2025-10-30 10:00:00,23.56,24.24,23.42,23.66,1074400
2025-10-31 10:00:00,23.78,23.93,23.47,23.7,780700
2025-11-03 10:00:00,24.25,24.56,24.16,24.21,768700
2025-11-04 10:00:00,24.35,24.44,23.85,24.05,284700
2025-11-05 10:00:00,24.05,25.1,24.05,24.85,567200
2025-11-06 10:00:00,24.89,25.07,24.48,24.67,304800
2025-11-07 10:00:00,24.63,24.65,24.31,24.58,276900
2025-11-10 10:00:00,24.63,24.96,24.6,24.79,295000
2025-11-11 10:00:00,24.42,25.23,24.42,24.85,356200
2025-11-12 10:00:00,25.09,25.09,24.45,24.49,680800
2025-11-13 10:00:00,24.55,25.0,24.45,24.57,534800
2025-11-14 10:00:00,24.58,24.9,24.4,24.7,454300
2025-11-17 10:00:00,24.7,24.82,24.5,24.5,283300
2025-11-18 10:00:00,24.79,24.79,24.29,24.54,307200
2025-11-19 10:00:00,24.29,24.58,24.29,24.4,313600
2025-11-21 10:00:00,24.42,24.51,23.82,23.84,346500
2025-11-24 10:00:00,23.99,24.39,23.84,24.06,569900
2025-11-25 10:00:00,23.91,24.44,23.91,24.0,918400
2025-11-26 10:00:00,23.82,24.72,23.82,24.65,757900
2025-11-27 10:00:00,24.68,24.8,24.51,24.51,418400
2025-11-28 10:00:00,24.6,25.57,24.51,25.57,755600
2025-12-01 10:00:00,25.57,25.9,25.15,25.69,336300
2025-12-02 10:00:00,25.69,26.88,25.61,26.88,457300
2025-12-03 10:00:00,26.79,27.08,26.4,26.43,312500
2025-12-04 10:00:00,26.43,27.02,26.41,26.56,255500
2025-12-05 10:00:00,26.56,26.79,24.89,24.89,372100
2025-12-08 10:00:00,25.48,25.8,25.01,25.6,310600
2025-12-09 10:00:00,25.25,25.71,24.88,25.43,215600
2025-12-10 10:00:00,25.69,25.73,25.17,25.43,182700
2025-12-11 10:00:00,25.43,26.0,25.42,25.62,157900
2025-12-12 10:00:00,25.69,26.11,25.35,25.51,230100
2025-12-15 10:00:00,26.12,26.12,25.45,25.5,197900
2025-12-16 10:00:00,27.29,27.49,26.32,26.4,923100
2025-12-17 10:00:00,26.98,26.98,26.22,26.5,809800
2025-12-18 10:00:00,26.63,26.88,26.07,26.07,1518100
2025-12-19 10:00:00,22.36,23.28,22.06,23.01,996700
2025-12-22 10:00:00,23.0,23.19,22.36,22.79,430500
2025-12-23 10:00:00,22.8,23.77,22.8,23.53,629200
2025-12-26 10:00:00,23.53,23.93,23.27,23.93,315000
2025-12-29 10:00:00,23.96,24.35,23.86,24.21,313300
2025-12-30 10:00:00,24.36,24.46,23.9,24.2,258400
2026-01-02 10:00:00,24.45,25.35,24.27,25.35,700400
2026-01-05 10:00:00,25.34,25.46,24.84,25.06,260400
2026-01-06 10:00:00,25.49,25.63,25.23,25.63,260800
2026-01-07 10:00:00,25.63,26.04,25.25,26.04,318400
2026-01-08 10:00:00,25.99,26.72,25.99,26.7,365700
2026-01-09 10:00:00,26.43,26.95,26.43,26.95,317100
2026-01-12 18:07:41,26.99,27.13,26.55,26.86,288000
