date,open,high,low,close,volume
2025-10-14 10:00:00,14.07,14.46,13.93,14.32,13551500
2025-10-15 10:00:00,14.18,14.49,14.02,14.25,25355900
2025-10-16 10:00:00,14.12,14.49,14.09,14.31,10871100
2025-10-17 10:00:00,14.15,14.43,14.1,14.24,11865900
2025-10-20 10:00:00,14.3,14.58,14.24,14.3,40862100
2025-10-21 10:00:00,14.22,14.65,14.12,14.63,11470500
2025-10-22 10:00:00,14.7,14.7,14.32,14.47,8254300
2025-10-23 10:00:00,14.68,14.91,14.53,14.82,15548500
2025-10-24 10:00:00,14.98,15.15,14.77,14.8,14203900
2025-10-27 10:00:00,14.99,15.05,14.78,14.82,8495100
2025-10-28 10:00:00,14.74,14.78,14.47,14.58,12051100
2025-10-29 10:00:00,14.62,14.73,14.52,14.63,10253500
2025-10-30 10:00:00,14.48,14.59,14.34,14.59,8638700
2025-10-31 10:00:00,14.61,14.84,14.4,14.84,16851400
2025-11-03 10:00:00,14.94,14.97,14.62,14.75,12206500
2025-11-04 10:00:00,14.68,14.97,14.6,14.97,20103300
2025-11-05 10:00:00,14.97,15.59,14.7,15.46,15942000
2025-11-06 10:00:00,15.25,15.36,14.56,14.56,15386600
2025-11-07 10:00:00,13.73,14.46,13.73,13.95,57823100
2025-11-10 10:00:00,14.2,14.58,13.96,14.5,41178800
2025-11-11 10:00:00,14.65,15.29,14.64,14.95,31403100
2025-11-12 10:00:00,14.95,15.22,14.81,14.94,13600600
2025-11-13 10:00:00,14.97,15.13,14.74,14.83,13292500
2025-11-14 10:00:00,14.8,15.37,14.71,15.16,16630800
2025-11-17 10:00:00,15.14,15.22,14.82,15.13,11855400
2025-11-18 10:00:00,14.97,15.24,14.85,15.08,17918800
2025-11-19 10:00:00,15.02,15.17,14.92,14.92,11168600
2025-11-21 10:00:00,14.9,15.19,14.77,15.19,11363300
2025-11-24 10:00:00,15.16,15.51,15.1,15.1,15383300
2025-11-25 10:00:00,15.09,15.39,14.99,15.23,11527100
2025-11-26 10:00:00,15.25,15.59,15.24,15.45,13225500
2025-11-27 10:00:00,15.45,15.94,15.44,15.88,11352100
2025-11-28 10:00:00,15.96,16.16,15.75,15.75,11421800
2025-12-01 10:00:00,15.73,16.09,15.65,15.76,29121200
2025-12-02 10:00:00,15.86,16.02,15.77,15.79,10598000
2025-12-03 10:00:00,15.92,15.95,15.38,15.46,12529200
2025-12-04 10:00:00,15.6,15.8,15.04,15.04,33671400
2025-12-05 10:00:00,15.09,15.09,13.84,13.88,33234400
2025-12-08 10:00:00,14.2,14.53,14.0,14.24,34816300
2025-12-09 10:00:00,13.91,14.25,13.4,13.98,34870600
2025-12-10 10:00:00,14.07,14.25,13.89,14.02,37755200
2025-12-11 10:00:00,13.95,14.34,13.94,14.08,14374900
2025-12-12 10:00:00,13.97,14.26,13.91,14.2,14679100
2025-12-15 10:00:00,14.41,14.68,14.15,14.47,26299000
2025-12-16 10:00:00,14.17,14.24,13.9,13.93,34608700
2025-12-17 10:00:00,13.81,13.84,13.2,13.43,28855000
2025-12-18 10:00:00,13.49,13.54,13.29,13.38,18259400
2025-12-19 10:00:00,13.4,13.72,13.34,13.55,13532700
2025-12-22 10:00:00,13.51,13.58,12.96,13.08,15254400
2025-12-23 10:00:00,13.19,13.59,13.11,13.55,15266600
2025-12-26 10:00:00,13.48,13.71,13.37,13.65,6717500
2025-12-29 10:00:00,13.64,13.7,13.37,13.5,13310500
2025-12-30 10:00:00,13.62,13.77,13.44,13.45,11989300
2026-01-02 10:00:00,13.56,13.69,13.27,13.38,14265600
2026-01-05 10:00:00,13.39,13.55,12.43,12.98,33507300
2026-01-06 10:00:00,13.1,13.45,12.93,13.45,19591500
2026-01-07 10:00:00,13.38,13.48,13.01,13.13,15016900
2026-01-08 10:00:00,13.2,13.42,13.08,13.42,12832200
2026-01-09 10:00:00,13.5,13.59,13.24,13.3,10977900
2026-01-12 13:47:27,13.21,13.32,13.07,13.23,3277300
