date,open,high,low,close,volume
2025-10-14 10:00:00,3.94,3.99,3.9,3.96,3211700
2025-10-15 10:00:00,3.92,4.03,3.92,3.98,2857800
2025-10-16 10:00:00,3.96,4.09,3.96,4.03,2229300
2025-10-17 10:00:00,4.02,4.08,3.98,4.01,2173500
2025-10-20 10:00:00,4.0,4.02,3.9,3.91,3330400
2025-10-21 10:00:00,3.9,3.94,3.83,3.92,3491500
2025-10-22 10:00:00,3.91,4.07,3.91,4.04,4170400
2025-10-23 10:00:00,4.03,4.07,3.99,4.02,2923900
2025-10-24 10:00:00,4.02,4.07,3.99,4.02,2605300
2025-10-27 10:00:00,4.03,4.09,3.96,4.05,2457500
2025-10-28 10:00:00,4.04,4.04,3.91,3.96,3173200
2025-10-29 10:00:00,3.96,4.0,3.88,3.88,3344900
2025-10-30 10:00:00,3.88,3.95,3.85,3.88,3403800
2025-10-31 10:00:00,3.91,4.02,3.9,3.91,5221900
2025-11-03 10:00:00,3.92,3.95,3.83,3.84,2707400
2025-11-04 10:00:00,3.84,3.85,3.78,3.84,2660300
2025-11-05 10:00:00,3.84,3.97,3.81,3.9,3480200
2025-11-06 10:00:00,3.9,3.94,3.8,3.8,2083200
2025-11-07 10:00:00,3.8,3.85,3.74,3.83,2443500
2025-11-10 10:00:00,3.83,3.89,3.82,3.84,1481400
2025-11-11 10:00:00,3.86,4.1,3.85,4.1,7405200
2025-11-12 10:00:00,4.11,4.11,4.02,4.08,2023600
2025-11-13 10:00:00,4.11,4.24,4.05,4.16,6800000
2025-11-14 10:00:00,4.29,4.4,4.16,4.2,9298000
2025-11-17 10:00:00,4.17,4.22,4.08,4.15,2888700
2025-11-18 10:00:00,4.14,4.15,4.07,4.07,3414300
2025-11-19 10:00:00,4.07,4.11,4.02,4.08,3271200
2025-11-21 10:00:00,4.07,4.11,4.01,4.06,2408700
2025-11-24 10:00:00,4.05,4.23,4.05,4.17,2190400
2025-11-25 10:00:00,4.17,4.25,4.13,4.15,1494000
2025-11-26 10:00:00,4.16,4.39,4.15,4.37,2768300
2025-11-27 10:00:00,4.36,4.42,4.3,4.42,1253300
2025-11-28 10:00:00,4.43,4.69,4.36,4.66,4723600
2025-12-01 10:00:00,4.61,4.64,4.47,4.58,4068000
2025-12-02 10:00:00,4.6,4.74,4.54,4.67,4530600
2025-12-03 10:00:00,4.69,4.76,4.6,4.67,4263200
2025-12-04 10:00:00,4.67,4.79,4.65,4.79,2641800
2025-12-05 10:00:00,4.82,4.82,4.22,4.32,7567700
2025-12-08 10:00:00,4.37,4.46,4.22,4.24,2131500
2025-12-09 10:00:00,4.22,4.27,4.02,4.23,2889000
2025-12-10 10:00:00,4.26,4.28,4.16,4.23,4863300
2025-12-11 10:00:00,4.25,4.36,4.22,4.36,1983000
2025-12-12 10:00:00,4.38,4.48,4.33,4.45,2886800
2025-12-15 10:00:00,4.46,4.55,4.41,4.45,2175400
2025-12-16 10:00:00,4.41,4.5,4.3,4.46,4508500
2025-12-17 10:00:00,4.44,4.44,4.2,4.3,4175700
2025-12-18 10:00:00,4.32,4.32,4.17,4.26,3635200
2025-12-19 10:00:00,4.26,4.26,4.2,4.24,2864200
2025-12-22 10:00:00,4.26,4.26,4.14,4.15,1421200
2025-12-23 10:00:00,4.15,4.23,4.12,4.15,1713500
2025-12-26 10:00:00,4.12,4.18,4.1,4.18,1260800
2025-12-29 10:00:00,4.18,4.18,4.11,4.12,1414200
2025-12-30 10:00:00,4.16,4.26,4.14,4.26,2065400
2026-01-02 10:00:00,4.27,4.31,4.1,4.12,1956800
2026-01-05 10:00:00,4.13,4.26,4.09,4.21,1957200
2026-01-06 10:00:00,4.22,4.31,4.21,4.29,1921600
2026-01-07 10:00:00,4.28,4.3,4.2,4.25,1574100
2026-01-08 10:00:00,4.25,4.35,4.21,4.31,1417500
2026-01-09 10:00:00,4.31,4.41,4.29,4.36,18193900
2026-01-12 13:47:31,4.37,4.4,4.28,4.39,471000
