date,open,high,low,close,volume
2025-10-17 10:00:00,7.7048,8.0476,7.5905,8.0,28614600
2025-10-20 10:00:00,8.1048,8.1524,7.9429,7.9429,12841500
2025-10-21 10:00:00,7.9143,8.1143,7.8762,7.9619,13804140
2025-10-22 10:00:00,8.0381,8.0381,7.8857,7.9429,13535340
2025-10-23 10:00:00,8.0762,8.1238,7.1619,7.4952,50576925
2025-10-24 10:00:00,7.6571,7.8286,7.5714,7.6952,23449125
2025-10-27 10:00:00,7.8571,8.1619,7.8571,8.1143,22558830
2025-10-28 10:00:00,8.1048,8.3048,7.9524,8.2476,11424210
2025-10-29 10:00:00,8.2571,8.4,8.1048,8.1238,13356210
2025-10-30 10:00:00,7.9333,8.2286,7.8571,8.0952,15100050
2025-10-31 10:00:00,8.1714,8.1905,7.8857,8.0667,14380065
2025-11-03 10:00:00,8.0857,8.1905,7.8952,7.9429,11489310
2025-11-04 10:00:00,7.8571,8.0,7.8095,7.981,7011585
2025-11-05 10:00:00,7.981,8.3238,7.8667,8.3238,15467235
2025-11-06 10:00:00,8.2286,8.2381,7.5905,7.6095,21751275
2025-11-07 10:00:00,7.6476,8.0476,7.5905,7.7524,27718425
2025-11-10 10:00:00,7.9048,8.0857,7.6952,8.019,16046625
2025-11-11 10:00:00,8.1048,8.781,8.1048,8.6571,29114505
2025-11-12 10:00:00,8.619,8.7429,8.419,8.7143,15031275
2025-11-13 10:00:00,8.7143,8.8857,8.5143,8.6286,15416205
2025-11-14 10:00:00,8.5714,9.2667,8.5429,9.1333,25073685
2025-11-17 10:00:00,9.219,9.2667,8.6667,8.6952,17720430
2025-11-18 10:00:00,8.4762,9.0857,8.4476,9.019,18369015
2025-11-19 10:00:00,8.9905,9.1143,8.8857,8.8857,16938915
2025-11-21 10:00:00,8.8381,9.181,8.7619,9.1714,25141725
2025-11-24 10:00:00,9.0952,9.6952,9.0762,9.4286,27962445
2025-11-25 10:00:00,9.4857,9.7714,9.2857,9.7714,19989270
2025-11-26 10:00:00,9.7143,9.8571,9.4952,9.6286,18614715
2025-11-27 10:00:00,9.6857,9.7714,9.581,9.6381,9577260
2025-11-28 10:00:00,9.7143,9.9333,9.5524,9.7905,15099000
2025-12-01 10:00:00,9.8286,9.8952,9.6667,9.8476,10236765
2025-12-02 10:00:00,9.9143,10.0857,9.8095,10.0857,17682945
2025-12-03 10:00:00,10.1048,10.7048,10.1048,10.7048,23710785
2025-12-04 10:00:00,10.781,11.381,10.6476,11.0952,57664110
2025-12-05 10:00:00,11.0667,11.2476,9.7905,10.0095,41284425
2025-12-08 10:00:00,10.2571,10.4571,9.9619,10.0381,26651520
2025-12-09 10:00:00,9.8571,9.9048,9.4286,9.5429,28289415
2025-12-10 10:00:00,9.6381,9.6762,9.419,9.5143,18250260
2025-12-11 10:00:00,9.4381,9.7619,9.1048,9.1238,25851525
2025-12-12 10:00:00,9.219,9.5238,9.1429,9.4,19101705
2025-12-15 10:00:00,9.5714,9.6762,9.3619,9.3714,18610200
2025-12-16 10:00:00,9.2476,9.3524,8.9429,9.0476,15605520
2025-12-17 10:00:00,8.9524,8.9524,8.6476,8.7619,15643110
2025-12-18 10:00:00,8.7238,8.9333,8.7048,8.9048,15603315
2025-12-19 10:00:00,8.8762,9.0,8.7905,8.8095,14208075
2025-12-22 10:00:00,8.8286,8.8571,8.5333,8.5619,15214500
2025-12-23 10:00:00,8.6762,8.9333,8.6667,8.8476,14595210
2025-12-26 10:00:00,8.781,8.8286,8.7048,8.8095,7410690
2025-12-29 10:00:00,8.8476,9.0,8.7333,8.9048,9609180
2025-12-30 10:00:00,9.21,9.24,8.87,8.94,12866200
2026-01-02 10:00:00,9.04,9.12,8.73,8.83,11298000
2026-01-05 10:00:00,8.86,9.04,8.69,8.95,12352300
2026-01-06 10:00:00,9.0,9.39,9.0,9.15,14943300
2026-01-07 10:00:00,9.14,9.29,8.77,9.29,23440400
2026-01-08 10:00:00,9.22,9.45,9.22,9.22,12980200
2026-01-09 10:00:00,9.25,9.31,8.83,8.88,22469000
2026-01-12 10:00:00,8.93,8.95,8.58,8.58,13347200
2026-01-13 10:00:00,8.55,8.55,8.05,8.2,28401800
2026-01-14 10:00:00,8.3,8.44,8.18,8.4,20752400
2026-01-15 10:16:43,8.4,8.46,8.4,8.45,660000
