date,open,high,low,close,volume
2025-10-15 10:00:00,7.72,7.89,7.61,7.84,3151700
2025-10-16 10:00:00,7.77,7.92,7.59,7.63,3424700
2025-10-17 10:00:00,7.6,7.71,7.37,7.44,6817700
2025-10-20 10:00:00,7.43,7.66,7.38,7.48,2925900
2025-10-21 10:00:00,7.43,7.66,7.3,7.56,4730900
2025-10-22 10:00:00,7.58,7.79,7.56,7.75,2192400
2025-10-23 10:00:00,7.79,8.02,7.62,7.71,3436800
2025-10-24 10:00:00,7.78,8.1,7.78,7.91,4043500
2025-10-27 10:00:00,8.06,8.28,8.02,8.1,3987300
2025-10-28 10:00:00,8.08,8.13,7.8,7.98,3104400
2025-10-29 10:00:00,8.0,8.26,7.96,8.09,3448000
2025-10-30 10:00:00,8.01,8.2,7.89,8.04,2539200
2025-10-31 10:00:00,8.07,8.23,8.07,8.19,2597100
2025-11-03 10:00:00,8.19,8.59,8.12,8.55,3664400
2025-11-04 10:00:00,8.52,9.13,8.48,9.13,4944700
2025-11-05 10:00:00,9.13,9.78,9.06,9.65,4514800
2025-11-06 10:00:00,9.65,9.67,9.24,9.31,3203600
2025-11-07 10:00:00,9.23,9.41,9.04,9.33,2646900
2025-11-10 10:00:00,9.4,9.51,9.03,9.1,2512600
2025-11-11 10:00:00,9.68,10.85,9.6,10.55,12348900
2025-11-12 10:00:00,10.4,10.59,10.17,10.39,2806200
2025-11-13 10:00:00,10.29,10.43,10.06,10.18,2211600
2025-11-14 10:00:00,10.05,10.76,9.97,10.71,3972500
2025-11-17 10:00:00,10.77,10.77,10.32,10.47,3230000
2025-11-18 10:00:00,10.31,10.53,10.28,10.47,2244900
2025-11-19 10:00:00,10.41,10.49,10.18,10.18,2354100
2025-11-21 10:00:00,10.18,10.21,9.96,10.07,1811400
2025-11-24 10:00:00,10.07,10.51,10.05,10.43,1683100
2025-11-25 10:00:00,10.36,10.82,10.36,10.82,2193300
2025-11-26 10:00:00,10.8,11.6,10.78,11.6,3763000
2025-11-27 10:00:00,11.54,11.63,11.15,11.47,3620800
2025-11-28 10:00:00,11.51,11.99,11.41,11.73,3590200
2025-12-01 10:00:00,11.66,12.21,11.45,12.16,4417800
2025-12-02 10:00:00,12.16,12.86,11.98,12.63,4201100
2025-12-03 10:00:00,12.64,13.05,12.64,13.04,3978800
2025-12-04 10:00:00,13.12,13.88,13.12,13.64,5065800
2025-12-05 10:00:00,13.54,13.7,11.69,12.06,10637200
2025-12-08 10:00:00,12.41,12.73,11.98,12.05,5596500
2025-12-09 10:00:00,11.82,11.96,11.25,11.25,8002100
2025-12-10 10:00:00,11.26,11.42,11.01,11.39,3345100
2025-12-11 10:00:00,11.31,11.61,11.06,11.21,3521200
2025-12-12 10:00:00,11.18,11.74,11.08,11.28,3325800
2025-12-15 10:00:00,11.42,11.58,11.19,11.19,2748600
2025-12-16 10:00:00,11.04,11.04,10.42,10.62,5206300
2025-12-17 10:00:00,10.59,10.63,10.19,10.49,10387200
2025-12-18 10:00:00,10.45,10.47,10.11,10.29,3789700
2025-12-19 10:00:00,10.35,10.49,10.0,10.0,7800200
2025-12-22 10:00:00,9.69,9.69,9.25,9.38,5409400
2025-12-23 10:00:00,9.4,9.63,9.36,9.57,2359600
2025-12-26 10:00:00,9.61,9.61,9.36,9.46,1943400
2025-12-29 10:00:00,9.46,9.77,9.42,9.77,6103000
2025-12-30 10:00:00,9.86,9.96,9.69,9.76,2565400
2026-01-02 10:00:00,9.8,10.1,9.7,9.9,3857000
2026-01-05 10:00:00,9.95,9.99,9.5,9.51,3691900
2026-01-06 10:00:00,9.59,10.29,9.59,10.28,5628100
2026-01-07 10:00:00,10.3,10.3,9.45,9.8,5798500
2026-01-08 10:00:00,9.76,10.24,9.76,10.0,3899800
2026-01-09 10:00:00,10.0,10.1,9.86,9.9,2118000
2026-01-12 10:00:00,9.85,10.01,9.36,9.8,6824900
2026-01-13 12:18:02,9.65,9.86,9.5,9.56,1345000
