date,open,high,low,close,volume
2025-10-14 10:00:00,6.17,6.26,6.11,6.24,5578100
2025-10-15 10:00:00,6.21,6.55,6.19,6.54,11085100
2025-10-16 10:00:00,6.5,6.54,6.36,6.41,8315400
2025-10-17 10:00:00,6.37,6.46,6.33,6.45,6066400
2025-10-20 10:00:00,6.49,6.7,6.38,6.55,9633400
2025-10-21 10:00:00,6.52,6.7,6.46,6.64,5391200
2025-10-22 10:00:00,6.7,6.93,6.63,6.87,8854300
2025-10-23 10:00:00,6.9,7.12,6.86,7.02,7137800
2025-10-24 10:00:00,7.09,7.18,7.0,7.12,4930500
2025-10-27 10:00:00,7.21,7.34,7.11,7.24,5222100
2025-10-28 10:00:00,7.26,7.27,6.96,7.03,7589200
2025-10-29 10:00:00,7.06,7.14,7.0,7.11,5515800
2025-10-30 10:00:00,7.06,7.44,7.01,7.41,12157600
2025-10-31 10:00:00,7.46,7.73,7.43,7.56,11929800
2025-11-03 10:00:00,7.59,7.63,7.49,7.59,4442700
2025-11-04 10:00:00,7.56,7.65,7.53,7.62,3171600
2025-11-05 10:00:00,7.62,7.82,7.58,7.76,5727300
2025-11-06 10:00:00,7.74,7.82,7.56,7.63,5815100
2025-11-07 10:00:00,7.61,7.78,7.58,7.69,4769300
2025-11-10 10:00:00,7.76,7.79,7.65,7.66,3299600
2025-11-11 10:00:00,7.82,8.15,7.82,8.06,11381900
2025-11-12 10:00:00,8.05,8.25,8.04,8.14,9350500
2025-11-13 10:00:00,8.25,8.83,8.1,8.56,17215700
2025-11-14 10:00:00,8.58,8.92,8.42,8.42,13785600
2025-11-17 10:00:00,8.41,8.59,8.35,8.54,8105300
2025-11-18 10:00:00,8.45,8.54,8.32,8.37,6767100
2025-11-19 10:00:00,8.31,8.47,8.2,8.25,7182600
2025-11-21 10:00:00,8.21,8.44,8.18,8.38,5351000
2025-11-24 10:00:00,8.4,8.8,8.35,8.71,6105300
2025-11-25 10:00:00,8.7,9.0,8.7,8.9,7264300
2025-11-26 10:00:00,8.95,8.99,8.7,8.89,8137700
2025-11-27 10:00:00,8.89,9.04,8.78,9.0,6036400
2025-11-28 10:00:00,9.01,9.38,8.95,9.3,6992200
2025-12-01 10:00:00,9.29,9.43,9.13,9.27,5464200
2025-12-02 10:00:00,9.34,9.44,9.27,9.36,4311700
2025-12-03 10:00:00,9.42,9.5,9.23,9.31,6612600
2025-12-04 10:00:00,9.41,9.5,9.08,9.23,11678800
2025-12-05 10:00:00,9.23,9.4,8.38,8.47,15855200
2025-12-08 10:00:00,8.55,8.63,8.24,8.34,8309200
2025-12-09 10:00:00,8.26,8.41,8.0,8.3,7167600
2025-12-10 10:00:00,8.3,8.39,8.24,8.35,3574100
2025-12-11 10:00:00,8.39,8.55,8.22,8.22,7790200
2025-12-12 10:00:00,8.22,8.43,8.05,8.3,8940100
2025-12-15 10:00:00,8.4,8.46,8.27,8.34,5597900
2025-12-16 10:00:00,8.24,8.24,7.96,8.01,6411100
2025-12-17 10:00:00,8.16,8.28,7.91,8.04,10256500
2025-12-18 10:00:00,8.0,8.13,7.88,7.9,8874000
2025-12-19 10:00:00,7.9,7.98,7.77,7.81,5577000
2025-12-22 10:00:00,7.81,7.81,7.59,7.61,5510100
2025-12-23 10:00:00,7.64,7.75,7.6,7.74,5802100
2025-12-26 10:00:00,7.73,7.73,7.6,7.69,4660000
2025-12-29 10:00:00,7.69,7.75,7.63,7.69,4328100
2025-12-30 10:00:00,7.78,7.86,7.72,7.79,5194200
2026-01-02 10:00:00,7.84,7.85,7.63,7.72,4902600
2026-01-05 10:00:00,7.72,8.27,7.66,8.19,7619500
2026-01-06 10:00:00,8.26,8.48,8.21,8.41,6296300
2026-01-07 10:00:00,8.36,8.41,7.96,8.01,6538700
2026-01-08 10:00:00,8.04,8.16,7.96,8.09,4954700
2026-01-09 10:00:00,8.14,8.34,8.05,8.17,4043000
2026-01-12 16:45:08,8.16,8.18,7.95,8.01,4332100
