date,open,high,low,close,volume
2025-10-20 10:00:00,27.3,27.68,27.15,27.49,2560000
2025-10-21 10:00:00,27.54,27.68,27.4,27.47,1991700
2025-10-22 10:00:00,27.46,27.63,27.15,27.54,2094000
2025-10-23 10:00:00,27.85,28.0,27.35,27.63,2657100
2025-10-24 10:00:00,27.71,28.06,27.6,27.69,2577000
2025-10-27 10:00:00,28.07,28.28,27.69,27.91,2687800
2025-10-28 10:00:00,27.86,27.93,27.6,27.64,2156100
2025-10-29 10:00:00,27.81,28.01,27.71,27.78,2230600
2025-10-30 10:00:00,27.72,28.0,27.45,27.86,1616900
2025-10-31 10:00:00,26.98,27.77,26.69,27.49,9463700
2025-11-03 10:00:00,27.69,27.9,27.46,27.77,4140700
2025-11-04 10:00:00,27.83,27.87,27.53,27.78,2920000
2025-11-05 10:00:00,27.78,28.83,27.66,28.67,5531700
2025-11-06 10:00:00,28.77,28.81,28.42,28.44,3135300
2025-11-07 10:00:00,28.42,28.67,28.17,28.67,2720400
2025-11-10 10:00:00,28.89,29.06,28.58,29.06,5455200
2025-11-11 10:00:00,29.2,29.63,29.03,29.37,4778500
2025-11-12 10:00:00,29.37,29.47,29.09,29.26,3214400
2025-11-13 10:00:00,29.36,29.93,29.16,29.45,7199500
2025-11-14 10:00:00,29.53,30.0,29.43,29.75,3942500
2025-11-17 10:00:00,29.77,29.83,29.36,29.58,2975700
2025-11-18 10:00:00,29.37,29.9,29.21,29.83,2546000
2025-11-19 10:00:00,29.83,29.89,29.55,29.65,2077800
2025-11-21 10:00:00,29.65,29.65,29.1,29.2,3047000
2025-11-24 10:00:00,29.16,29.48,29.08,29.35,3113500
2025-11-25 10:00:00,29.49,29.7,29.14,29.52,2646200
2025-11-26 10:00:00,29.63,30.0,29.49,29.86,1958500
2025-11-27 10:00:00,29.8,30.06,29.77,29.93,893500
2025-11-28 10:00:00,30.0,30.36,29.87,30.16,2239900
2025-12-01 10:00:00,30.19,30.2,29.75,29.78,2792900
2025-12-02 10:00:00,29.88,30.41,29.79,30.41,2107300
2025-12-03 10:00:00,30.48,30.66,30.17,30.29,1646900
2025-12-04 10:00:00,30.4,30.78,30.27,30.71,2873800
2025-12-05 10:00:00,30.56,30.63,27.98,27.98,11276200
2025-12-08 10:00:00,28.28,28.58,28.02,28.3,3201800
2025-12-09 10:00:00,27.94,28.77,27.52,28.48,4441700
2025-12-10 10:00:00,28.55,29.29,28.4,28.93,4535100
2025-12-11 10:00:00,28.81,29.27,28.79,28.79,3330000
2025-12-12 10:00:00,28.86,29.2,28.61,28.69,2980000
2025-12-15 10:00:00,28.97,29.04,28.69,28.75,1842100
2025-12-16 10:00:00,28.4,28.4,27.65,27.66,4624600
2025-12-17 10:00:00,27.35,27.49,27.01,27.23,4648100
2025-12-18 10:00:00,27.1,27.45,27.02,27.29,2969400
2025-12-19 10:00:00,27.29,27.66,27.08,27.44,3273600
2025-12-22 10:00:00,27.44,27.51,26.56,26.68,6350200
2025-12-23 10:00:00,26.89,27.66,26.75,27.5,3801700
2025-12-26 10:00:00,27.47,27.58,27.19,27.54,1652400
2025-12-29 10:00:00,27.37,27.54,27.23,27.3,1635100
2025-12-30 10:00:00,27.35,27.48,27.08,27.25,2771200
2026-01-02 10:00:00,27.3,27.49,27.0,27.04,1762300
2026-01-05 10:00:00,27.04,27.6,26.88,27.33,4214800
2026-01-06 10:00:00,27.58,28.2,27.49,27.71,3807100
2026-01-07 10:00:00,27.67,27.8,27.3,27.3,3086700
2026-01-08 10:00:00,27.3,27.78,27.3,27.52,2076400
2026-01-09 10:00:00,27.39,28.71,27.38,28.69,10477900
2026-01-12 10:00:00,28.55,29.0,28.43,28.82,4355000
2026-01-13 10:00:00,28.6,28.83,28.26,28.69,4629600
2026-01-14 10:00:00,29.0,29.0,28.27,28.64,3428300
2026-01-15 18:07:31,0.0,0.0,0.0,29.45,0
