date,open,high,low,close,volume
2025-10-15 10:00:00,27.67,28.04,27.46,27.71,1886900
2025-10-16 10:00:00,27.68,28.18,27.42,28.18,2066000
2025-10-17 10:00:00,27.9,29.35,27.9,29.2,2756300
2025-10-20 10:00:00,29.24,29.32,28.69,28.69,1315800
2025-10-21 10:00:00,28.6,28.88,28.44,28.54,1796300
2025-10-22 10:00:00,28.55,28.6,27.99,28.13,2267700
2025-10-23 10:00:00,28.22,28.55,28.17,28.3,3772900
2025-10-24 10:00:00,28.37,28.5,28.26,28.39,1226500
2025-10-27 10:00:00,28.51,28.65,28.14,28.4,1272300
2025-10-28 10:00:00,28.5,29.49,26.58,27.82,3465300
2025-10-29 10:00:00,27.82,28.68,27.71,28.55,1360200
2025-10-30 10:00:00,28.33,29.03,28.05,28.92,2039500
2025-10-31 10:00:00,28.89,29.44,28.38,29.18,2486300
2025-11-03 10:00:00,29.0,29.57,28.81,29.5,2127400
2025-11-04 10:00:00,29.41,29.96,29.08,29.85,2605500
2025-11-05 10:00:00,29.85,30.6,29.61,30.22,3631600
2025-11-06 10:00:00,30.09,30.3,29.8,30.3,2420100
2025-11-07 10:00:00,30.22,30.23,29.85,30.05,1066900
2025-11-10 10:00:00,30.16,30.44,29.91,30.2,2753200
2025-11-11 10:00:00,30.17,30.63,30.08,30.18,2580600
2025-11-12 10:00:00,30.3,30.49,29.77,30.29,1273400
2025-11-13 10:00:00,30.17,30.6,30.16,30.45,1950400
2025-11-14 10:00:00,30.33,30.49,30.14,30.15,2894100
2025-11-17 10:00:00,29.89,30.45,29.88,30.0,2641400
2025-11-18 10:00:00,29.81,30.29,29.69,30.15,2539100
2025-11-19 10:00:00,29.81,30.53,29.81,30.45,1719600
2025-11-21 10:00:00,30.49,30.49,29.9,30.1,2510800
2025-11-24 10:00:00,32.41,32.47,32.2,32.22,41576900
2025-11-25 10:00:00,32.22,32.28,32.08,32.22,3877400
2025-11-26 10:00:00,32.22,32.29,32.22,32.27,8980000
2025-11-27 10:00:00,32.25,32.35,32.25,32.31,2737200
2025-11-28 10:00:00,32.31,32.35,32.29,32.29,9118500
2025-12-01 10:00:00,32.3,32.36,32.23,32.3,5369500
2025-12-02 10:00:00,32.3,32.35,32.29,32.3,3652300
2025-12-03 10:00:00,32.29,32.35,32.29,32.32,5188300
2025-12-04 10:00:00,32.31,32.35,32.31,32.34,3009000
2025-12-05 10:00:00,32.34,32.37,32.25,32.29,9017300
2025-12-08 10:00:00,32.3,32.39,32.12,32.25,7031600
2025-12-09 10:00:00,32.19,32.19,32.11,32.17,2739300
2025-12-10 10:00:00,32.18,32.23,32.13,32.22,2587800
2025-12-11 10:00:00,32.16,32.28,32.16,32.28,4242900
2025-12-12 10:00:00,32.27,32.29,32.22,32.28,1265200
2025-12-15 10:00:00,32.26,32.3,32.23,32.3,1427300
2025-12-16 10:00:00,32.25,32.31,32.25,32.27,3166300
2025-12-17 10:00:00,32.24,32.3,32.22,32.3,947200
2025-12-18 10:00:00,32.27,32.31,32.25,32.3,2424200
2025-12-19 10:00:00,32.27,32.32,32.26,32.32,1548800
2025-12-22 10:00:00,32.27,32.34,32.26,32.32,1225800
2025-12-23 10:00:00,32.3,32.34,32.28,32.32,3471400
2025-12-26 10:00:00,32.33,32.4,32.28,32.35,644400
2025-12-29 10:00:00,32.36,32.41,32.31,32.36,2457200
2025-12-30 10:00:00,32.34,32.46,32.34,32.38,2399000
2026-01-02 10:00:00,31.5,32.09,31.37,31.7,1982700
2026-01-05 10:00:00,31.7,31.85,31.66,31.74,1295600
2026-01-06 10:00:00,31.74,31.9,31.7,31.85,1310300
2026-01-07 10:00:00,31.82,31.95,31.77,31.95,1002100
2026-01-08 10:00:00,31.94,31.99,31.87,31.97,732200
2026-01-09 10:00:00,31.97,32.06,31.95,32.03,1146500
2026-01-12 10:00:00,32.0,32.03,31.97,32.0,2156900
