date,open,high,low,close,volume
2025-10-14 10:00:00,29.95,30.46,29.88,30.02,28138200
2025-10-15 10:00:00,30.05,30.17,29.67,29.75,40261000
2025-10-16 10:00:00,29.74,29.81,29.41,29.45,28660900
2025-10-17 10:00:00,29.5,29.95,29.31,29.73,36238600
2025-10-20 10:00:00,29.7,29.9,29.48,29.75,31442800
2025-10-21 10:00:00,29.96,29.99,29.47,29.51,25509900
2025-10-22 10:00:00,29.76,30.03,29.62,29.85,27088800
2025-10-23 10:00:00,30.52,30.72,30.11,30.19,40060800
2025-10-24 10:00:00,30.3,30.45,29.81,29.84,24370300
2025-10-27 10:00:00,30.16,30.16,29.69,30.0,24771400
2025-10-28 10:00:00,29.9,30.35,29.76,29.99,25324800
2025-10-29 10:00:00,30.09,30.16,29.8,30.02,24854900
2025-10-30 10:00:00,29.92,30.16,29.76,29.89,22657200
2025-10-31 10:00:00,30.0,30.09,29.55,29.75,29516300
2025-11-03 10:00:00,29.88,30.47,29.8,30.1,54977300
2025-11-04 10:00:00,30.0,30.26,29.91,30.25,35035200
2025-11-05 10:00:00,30.25,30.95,30.21,30.85,40375900
2025-11-06 10:00:00,30.98,31.28,30.9,31.01,43435700
2025-11-07 10:00:00,31.22,32.18,30.85,32.18,97315600
2025-11-10 10:00:00,32.3,32.55,31.93,32.36,41064200
2025-11-11 10:00:00,32.54,33.44,32.45,33.2,68221300
2025-11-12 10:00:00,33.26,33.26,32.08,32.35,67646400
2025-11-13 10:00:00,32.36,32.94,32.32,32.49,38517200
2025-11-14 10:00:00,32.6,33.17,32.58,32.7,27371300
2025-11-17 10:00:00,32.76,33.08,32.73,32.88,63708200
2025-11-18 10:00:00,32.7,33.17,32.67,32.99,26520500
2025-11-19 10:00:00,32.8,32.98,32.54,32.82,48719300
2025-11-21 10:00:00,32.56,32.74,32.36,32.57,40869300
2025-11-24 10:00:00,32.56,32.75,32.36,32.54,38665600
2025-11-25 10:00:00,32.35,32.44,32.09,32.28,28431100
2025-11-26 10:00:00,32.38,32.41,32.1,32.23,25042100
2025-11-27 10:00:00,32.28,32.4,32.2,32.4,16087400
2025-11-28 10:00:00,32.27,32.31,31.29,31.79,60420500
2025-12-01 10:00:00,31.95,32.17,31.57,31.85,29489100
2025-12-02 10:00:00,31.93,32.07,31.44,32.07,25574100
2025-12-03 10:00:00,32.15,32.5,32.15,32.31,36630000
2025-12-04 10:00:00,32.49,32.75,32.45,32.52,33009700
2025-12-05 10:00:00,32.5,32.91,31.37,31.37,74495100
2025-12-08 10:00:00,31.57,31.99,31.49,31.66,30271600
2025-12-09 10:00:00,31.61,31.9,31.33,31.86,23863000
2025-12-10 10:00:00,31.88,31.99,31.54,31.94,22123700
2025-12-11 10:00:00,31.88,31.9,31.25,31.41,64927900
2025-12-12 10:00:00,31.41,31.72,31.34,31.59,39659900
2025-12-15 10:00:00,31.68,31.9,31.59,31.7,31898900
2025-12-16 10:00:00,31.53,31.53,30.61,30.74,52661900
2025-12-17 10:00:00,30.86,31.08,30.82,31.08,39337100
2025-12-18 10:00:00,31.2,31.28,30.83,30.9,34311000
2025-12-19 10:00:00,31.07,31.24,30.97,31.01,45807700
2025-12-22 10:00:00,31.25,31.53,31.1,31.1,35896900
2025-12-23 10:00:00,30.55,30.57,30.2,30.31,35703900
2025-12-26 10:00:00,30.31,30.43,30.12,30.41,20178600
2025-12-29 10:00:00,30.56,30.81,30.52,30.73,20588100
2025-12-30 10:00:00,30.8,30.96,30.65,30.82,16880600
2026-01-02 10:00:00,30.96,30.96,30.36,30.71,21625200
2026-01-05 10:00:00,30.7,30.77,29.73,30.2,48211400
2026-01-06 10:00:00,30.37,30.43,29.62,29.64,38095000
2026-01-07 10:00:00,29.67,29.83,29.53,29.83,28132900
2026-01-08 10:00:00,29.91,30.34,29.79,30.2,34125800
2026-01-09 10:00:00,30.17,30.74,30.14,30.3,27982800
2026-01-12 14:48:49,30.3,30.57,30.21,30.41,10903900
