date,open,high,low,close,volume
2025-10-17 10:00:00,3.7,3.75,3.67,3.67,2812900.0
2025-10-20 10:00:00,3.68,3.73,3.66,3.66,2390900.0
2025-10-21 10:00:00,3.68,3.73,3.61,3.61,2314900.0
2025-10-22 10:00:00,3.62,3.65,3.61,3.65,2060700.0
2025-10-23 10:00:00,3.75,3.75,3.68,3.72,2712800.0
2025-10-24 10:00:00,3.71,3.74,3.7,3.7,1871100.0
2025-10-27 10:00:00,3.75,3.76,3.69,3.69,2192800.0
2025-10-28 10:00:00,3.69,3.72,3.67,3.7,2579100.0
2025-10-29 10:00:00,3.69,3.74,3.68,3.7,2321500.0
2025-10-30 10:00:00,3.68,3.72,3.67,3.71,1347900.0
2025-10-31 10:00:00,3.7,3.72,3.67,3.72,3059400.0
2025-11-03 10:00:00,3.73,3.82,3.72,3.8,2999900.0
2025-11-04 10:00:00,3.77,3.8,3.76,3.77,1070600.0
2025-11-05 10:00:00,3.77,3.82,3.76,3.78,2028000.0
2025-11-06 10:00:00,3.83,4.0,3.8,3.95,7794700.0
2025-11-07 10:00:00,3.97,3.97,3.89,3.95,2250900.0
2025-11-10 10:00:00,3.97,4.1,3.94,4.07,6549800.0
2025-11-11 10:00:00,4.09,4.15,4.08,4.1,3998900.0
2025-11-12 10:00:00,4.08,4.11,4.02,4.07,2609900.0
2025-11-13 10:00:00,4.09,4.09,3.98,4.02,2475000.0
2025-11-14 10:00:00,3.97,4.08,3.97,4.03,2276300.0
2025-11-17 10:00:00,4.01,4.08,3.98,4.01,2693900.0
2025-11-18 10:00:00,4.0,4.07,3.96,4.04,4066300.0
2025-11-19 10:00:00,4.0,4.05,3.98,4.0,1256300.0
2025-11-21 10:00:00,4.0,4.02,3.95,4.01,2647700.0
2025-11-24 10:00:00,3.99,4.04,3.98,4.02,1569800.0
2025-11-25 10:00:00,4.02,4.24,4.0,4.24,3870400.0
2025-11-26 10:00:00,4.2,4.33,4.18,4.3,7496400.0
2025-11-27 10:00:00,4.3,4.33,4.25,4.3,6612800.0
2025-11-28 10:00:00,4.29,4.45,4.27,4.45,3628200.0
2025-12-01 10:00:00,4.45,4.66,4.36,4.66,5759000.0
2025-12-02 10:00:00,4.6,4.65,4.55,4.57,7897900.0
2025-12-03 10:00:00,4.62,4.95,4.6,4.88,7947300.0
2025-12-04 10:00:00,4.94,4.94,4.71,4.71,5691200.0
2025-12-05 10:00:00,4.72,4.75,4.1,4.1,21291200.0
2025-12-08 10:00:00,4.2,4.26,4.08,4.13,5726200.0
2025-12-09 10:00:00,4.13,4.29,3.98,4.17,7402700.0
2025-12-10 10:00:00,4.23,4.47,4.18,4.35,12163600.0
2025-12-11 10:00:00,4.33,4.45,4.31,4.45,4867800.0
2025-12-12 10:00:00,4.33,4.52,4.31,4.48,5570200.0
2025-12-15 10:00:00,4.51,4.6,4.46,4.57,5169800.0
2025-12-16 10:00:00,4.58,4.6,4.4,4.6,8260000.0
2025-12-17 10:00:00,4.54,4.57,4.34,4.38,10181700.0
2025-12-18 10:00:00,4.4,4.52,4.35,4.36,5702900.0
2025-12-19 10:00:00,4.37,4.39,4.2,4.21,8045800.0
2025-12-22 10:00:00,4.2,4.25,4.04,4.11,67038600.0
2025-12-23 10:00:00,4.12,4.31,4.08,4.23,4510400.0
2025-12-26 10:00:00,4.17,4.26,4.15,4.18,2402000.0
2025-12-29 10:00:00,4.12,4.37,4.12,4.26,23159500.0
2025-12-30 10:00:00,4.32,4.38,4.28,4.34,2548600.0
2026-01-02 10:00:00,4.39,4.54,4.35,4.39,5318800.0
2026-01-05 10:00:00,4.39,4.39,4.39,4.39,0.0
2026-01-06 10:00:00,4.39,4.39,4.39,4.39,0.0
2026-01-07 10:00:00,,,,,
2026-01-08 10:00:00,,,,,
2026-01-09 10:00:00,,,,,
2026-01-12 10:00:00,,,,,
2026-01-13 10:00:00,,,,,
2026-01-14 10:00:00,,,,,
