date,open,high,low,close,volume
2025-10-15 10:00:00,3.98,4.08,3.98,4.08,1192400
2025-10-16 10:00:00,4.04,4.1,3.97,4.01,1209200
2025-10-17 10:00:00,3.97,4.0,3.89,3.98,1225000
2025-10-20 10:00:00,3.98,4.07,3.96,4.03,1437100
2025-10-21 10:00:00,3.99,4.04,3.93,4.04,1329300
2025-10-22 10:00:00,4.01,4.1,3.99,4.1,1312300
2025-10-23 10:00:00,4.06,4.17,4.04,4.13,1043200
2025-10-24 10:00:00,4.12,4.26,4.12,4.19,1528000
2025-10-27 10:00:00,4.18,4.26,4.15,4.18,1249300
2025-10-28 10:00:00,4.17,4.18,4.01,4.03,1858300
2025-10-29 10:00:00,4.07,4.1,4.03,4.06,737600
2025-10-30 10:00:00,4.02,4.15,4.0,4.09,821600
2025-10-31 10:00:00,4.09,4.15,4.09,4.11,446000
2025-11-03 10:00:00,4.1,4.12,4.04,4.04,536700
2025-11-04 10:00:00,4.04,4.06,4.01,4.06,417900
2025-11-05 10:00:00,4.06,4.15,4.03,4.14,961800
2025-11-06 10:00:00,4.1,4.19,4.05,4.06,658900
2025-11-07 10:00:00,4.05,4.09,4.01,4.01,582400
2025-11-10 10:00:00,4.02,4.08,3.99,4.06,601800
2025-11-11 10:00:00,4.06,4.29,4.06,4.28,1657000
2025-11-12 10:00:00,4.38,4.46,4.25,4.31,1667000
2025-11-13 10:00:00,4.21,4.31,4.07,4.21,1727200
2025-11-14 10:00:00,4.18,4.42,4.17,4.33,1385100
2025-11-17 10:00:00,4.34,4.48,4.34,4.43,1156400
2025-11-18 10:00:00,4.4,4.45,4.3,4.3,1284300
2025-11-19 10:00:00,4.25,4.32,4.22,4.31,710000
2025-11-21 10:00:00,4.24,4.27,4.13,4.17,1086100
2025-11-24 10:00:00,4.17,4.22,4.12,4.15,502600
2025-11-25 10:00:00,4.15,4.2,4.07,4.11,851200
2025-11-26 10:00:00,4.11,4.21,4.1,4.12,642200
2025-11-27 10:00:00,4.13,4.25,4.09,4.25,1043700
2025-11-28 10:00:00,4.26,4.34,4.16,4.23,1462700
2025-12-01 10:00:00,4.21,4.29,4.17,4.25,767800
2025-12-02 10:00:00,4.22,4.49,4.22,4.45,1354300
2025-12-03 10:00:00,4.42,4.63,4.4,4.6,1405600
2025-12-04 10:00:00,4.6,4.75,4.53,4.66,1087300
2025-12-05 10:00:00,4.74,4.8,4.43,4.46,2202300
2025-12-08 10:00:00,4.47,4.55,4.31,4.39,959400
2025-12-09 10:00:00,4.38,4.4,4.18,4.35,1084400
2025-12-10 10:00:00,4.36,4.38,4.25,4.35,631300
2025-12-11 10:00:00,4.25,4.4,4.25,4.36,588900
2025-12-12 10:00:00,4.3,4.51,4.28,4.43,1055100
2025-12-15 10:00:00,4.44,4.57,4.43,4.53,756400
2025-12-16 10:00:00,4.49,4.49,4.36,4.45,933500
2025-12-17 10:00:00,4.45,4.45,4.3,4.36,474900
2025-12-18 10:00:00,4.37,4.41,4.3,4.3,493300
2025-12-19 10:00:00,4.3,4.32,4.22,4.31,404000
2025-12-22 10:00:00,4.3,4.31,4.09,4.09,888400
2025-12-23 10:00:00,4.11,4.17,4.06,4.13,1058200
2025-12-26 10:00:00,4.15,4.15,4.0,4.04,2024900
2025-12-29 10:00:00,4.04,4.1,3.97,3.98,1168100
2025-12-30 10:00:00,4.04,4.05,3.98,4.0,660500
2026-01-02 10:00:00,4.15,4.24,4.11,4.11,2041800
2026-01-05 10:00:00,4.11,4.24,4.11,4.19,1450100
2026-01-06 10:00:00,4.23,4.3,4.19,4.29,1850600
2026-01-07 10:00:00,4.1,4.1,4.02,4.09,1409500
2026-01-08 10:00:00,4.09,4.14,4.05,4.08,840100
2026-01-09 10:00:00,4.06,4.1,4.03,4.07,722600
2026-01-12 10:00:00,4.09,4.11,4.0,4.1,895400
