date,open,high,low,close,volume
2025-10-14 10:00:00,36.0,36.05,35.13,35.32,10794100
2025-10-15 10:00:00,35.33,35.73,34.53,34.6,12796000
2025-10-16 10:00:00,34.63,34.86,34.18,34.2,8969900
2025-10-17 10:00:00,35.15,36.38,34.56,36.12,28201400
2025-10-20 10:00:00,35.9,35.9,35.26,35.41,6593700
2025-10-21 10:00:00,35.9,35.9,34.79,35.15,8054200
2025-10-22 10:00:00,35.46,36.35,35.29,36.21,8891900
2025-10-23 10:00:00,37.12,37.38,36.61,36.86,8136000
2025-10-24 10:00:00,37.0,37.26,36.8,37.05,5339200
2025-10-27 10:00:00,37.25,37.26,36.73,37.0,4374200
2025-10-28 10:00:00,36.79,36.79,36.2,36.43,7011700
2025-10-29 10:00:00,36.65,36.67,35.88,36.0,7723500
2025-10-30 10:00:00,35.69,36.08,35.57,35.77,5324800
2025-10-31 10:00:00,35.99,36.03,35.65,36.03,7234300
2025-11-03 10:00:00,36.1,37.02,35.87,36.44,12814100
2025-11-04 10:00:00,36.18,36.8,36.08,36.75,6146600
2025-11-05 10:00:00,36.75,38.05,36.23,37.81,13106700
2025-11-06 10:00:00,38.05,38.87,37.81,38.46,10371600
2025-11-07 10:00:00,38.7,39.17,38.54,38.85,7737000
2025-11-10 10:00:00,39.16,39.37,38.81,39.23,8183000
2025-11-11 10:00:00,39.52,40.48,39.3,40.3,11941800
2025-11-12 10:00:00,40.42,40.5,39.25,40.01,10812200
2025-11-13 10:00:00,40.01,40.35,39.44,39.83,10361400
2025-11-14 10:00:00,40.0,40.74,39.68,39.79,7308900
2025-11-17 10:00:00,39.79,40.54,39.74,39.85,8131600
2025-11-18 10:00:00,39.6,40.42,39.5,40.04,6485800
2025-11-19 10:00:00,39.7,39.82,39.31,39.41,7753400
2025-11-21 10:00:00,39.0,39.27,38.41,38.8,11583400
2025-11-24 10:00:00,38.66,38.9,38.32,38.54,9987100
2025-11-25 10:00:00,38.2,38.3,37.4,37.52,8658500
2025-11-26 10:00:00,37.52,38.0,37.22,37.99,7332100
2025-11-27 10:00:00,37.85,37.96,37.36,37.71,4959900
2025-11-28 10:00:00,37.6,37.83,37.16,37.21,5622500
2025-12-01 10:00:00,37.45,37.85,37.18,37.56,4916200
2025-12-02 10:00:00,37.56,38.1,37.11,37.58,6006100
2025-12-03 10:00:00,37.96,39.34,37.96,39.33,11462600
2025-12-04 10:00:00,39.44,40.14,39.09,39.59,8878000
2025-12-05 10:00:00,39.54,40.15,38.92,39.26,9137700
2025-12-08 10:00:00,39.33,39.85,39.17,39.35,8654300
2025-12-09 10:00:00,39.35,39.93,39.19,39.8,5983700
2025-12-10 10:00:00,39.84,40.05,39.34,39.6,4371000
2025-12-11 10:00:00,39.41,39.53,38.59,38.93,6171000
2025-12-12 10:00:00,39.41,39.53,38.59,39.41,3910400
2025-12-15 10:00:00,39.5,39.75,39.27,39.5,4717300
2025-12-16 10:00:00,39.05,39.05,38.1,38.55,7935100
2025-12-17 10:00:00,38.89,39.28,38.42,38.57,10746700
2025-12-18 10:00:00,38.81,39.54,38.47,38.55,7811400
2025-12-19 10:00:00,38.6,38.96,38.21,38.21,8944400
2025-12-22 10:00:00,38.55,39.79,38.55,39.41,17065300
2025-12-23 10:00:00,39.5,40.45,39.38,40.42,8875000
2025-12-26 10:00:00,40.16,40.6,39.74,40.6,4904900
2025-12-29 10:00:00,41.06,41.5,40.62,41.14,7847500
2025-12-30 10:00:00,41.25,41.58,40.9,41.42,4692600
2026-01-02 10:00:00,41.42,41.84,40.89,41.76,7574500
2026-01-05 10:00:00,41.61,41.89,40.59,41.15,9298900
2026-01-06 10:00:00,41.56,42.06,40.67,40.82,8455000
2026-01-07 10:00:00,40.65,41.4,40.19,41.07,10893600
2026-01-08 10:00:00,41.13,41.93,40.75,41.83,12723300
2026-01-09 10:00:00,41.71,43.07,41.52,42.68,10073100
2026-01-12 13:56:10,42.57,43.0,42.32,42.82,2071200
