date,open,high,low,close,volume
2025-10-14 10:00:00,46.77,47.03,46.2,46.61,1391600
2025-10-15 10:00:00,46.4,46.81,45.93,46.68,2712200
2025-10-16 10:00:00,46.41,46.69,46.3,46.36,1312000
2025-10-17 10:00:00,46.23,46.55,46.01,46.33,1141100
2025-10-20 10:00:00,46.23,47.34,46.23,47.19,1012800
2025-10-21 10:00:00,47.19,47.19,46.6,47.03,1182200
2025-10-22 10:00:00,46.93,47.63,46.83,47.22,1321700
2025-10-23 10:00:00,47.49,47.6,46.85,47.38,951500
2025-10-24 10:00:00,47.37,47.75,46.86,47.08,1178800
2025-10-27 10:00:00,47.33,47.62,46.96,47.59,795600
2025-10-28 10:00:00,47.58,48.26,47.48,48.0,1566700
2025-10-29 10:00:00,48.13,48.36,47.55,47.92,2083700
2025-10-30 10:00:00,47.91,48.83,47.47,48.56,825900
2025-10-31 10:00:00,48.55,48.9,47.96,48.05,1158000
2025-11-03 10:00:00,48.59,48.6,47.81,48.03,856800
2025-11-04 10:00:00,48.03,48.98,47.91,48.78,1268600
2025-11-05 10:00:00,48.78,49.33,48.47,48.93,1342800
2025-11-06 10:00:00,49.24,50.16,48.97,49.62,1743300
2025-11-07 10:00:00,49.54,49.83,49.23,49.59,703900
2025-11-10 10:00:00,49.59,50.01,49.33,49.89,1116000
2025-11-11 10:00:00,50.23,50.49,46.08,46.08,7637900
2025-11-12 10:00:00,46.44,46.76,45.38,45.8,3828100
2025-11-13 10:00:00,45.99,46.76,45.92,46.5,2099300
2025-11-14 10:00:00,46.63,46.73,46.3,46.52,1002900
2025-11-17 10:00:00,46.52,46.67,46.05,46.1,1176200
2025-11-18 10:00:00,46.0,46.2,45.73,45.91,1034400
2025-11-19 10:00:00,45.81,45.86,45.17,45.26,1807900
2025-11-21 10:00:00,45.3,45.73,45.09,45.7,1471300
2025-11-24 10:00:00,45.78,46.51,45.41,46.5,3330800
2025-11-25 10:00:00,46.69,46.74,46.04,46.59,916900
2025-11-26 10:00:00,46.59,47.7,46.31,47.51,1587600
2025-11-27 10:00:00,47.5,47.95,47.27,47.5,1937700
2025-11-28 10:00:00,47.6,47.61,46.6,47.19,1941100
2025-12-01 10:00:00,47.18,47.8,46.8,47.74,1881200
2025-12-02 10:00:00,47.8,48.19,47.45,48.05,1679400
2025-12-03 10:00:00,48.05,48.42,47.79,48.07,1207600
2025-12-04 10:00:00,48.13,49.43,48.06,48.59,2714300
2025-12-05 10:00:00,48.4,48.9,46.88,47.29,3941400
2025-12-08 10:00:00,47.66,48.13,46.95,48.05,2063100
2025-12-09 10:00:00,47.99,48.96,47.39,48.59,2205900
2025-12-10 10:00:00,48.61,48.71,47.8,48.23,1575100
2025-12-11 10:00:00,48.29,49.11,48.0,48.8,1507200
2025-12-12 10:00:00,48.29,49.75,48.0,49.44,1278500
2025-12-15 10:00:00,49.48,49.92,49.36,49.61,1280400
2025-12-16 10:00:00,49.45,50.22,49.18,49.18,3886600
2025-12-17 10:00:00,48.6,48.95,46.75,47.01,2825400
2025-12-18 10:00:00,47.01,47.66,46.66,47.52,2094700
2025-12-19 10:00:00,47.52,47.68,46.48,46.48,2939700
2025-12-22 10:00:00,46.26,46.65,46.02,46.5,1193900
2025-12-23 10:00:00,46.66,48.4,46.66,47.78,1315500
2025-12-26 10:00:00,47.66,48.06,47.3,47.91,821100
2025-12-29 10:00:00,47.67,47.83,47.19,47.54,1359500
2025-12-30 10:00:00,47.91,48.6,47.73,48.36,1182000
2026-01-02 10:00:00,48.7,48.7,48.08,48.13,1054100
2026-01-05 10:00:00,48.08,48.65,47.63,48.33,1241900
2026-01-06 10:00:00,48.6,50.0,47.4,50.0,3918400
2026-01-07 10:00:00,49.75,49.79,48.46,49.65,3322000
2026-01-08 10:00:00,49.5,50.0,47.12,47.39,2999600
2026-01-09 10:00:00,47.4,48.07,47.03,47.45,953100
2026-01-12 14:44:51,47.1,47.41,46.08,46.56,1226400
