date,open,high,low,close,volume
2025-10-17 10:00:00,2.38,2.49,2.35,2.49,1766400
2025-10-20 10:00:00,2.49,2.52,2.45,2.49,1545600
2025-10-21 10:00:00,2.47,2.57,2.47,2.53,1295900
2025-10-22 10:00:00,2.5,2.54,2.41,2.45,1716300
2025-10-23 10:00:00,2.45,2.6,2.41,2.6,2490400
2025-10-24 10:00:00,2.57,2.77,2.57,2.65,3950300
2025-10-27 10:00:00,2.69,2.69,2.52,2.69,2314900
2025-10-28 10:00:00,2.76,2.82,2.62,2.72,2583700
2025-10-29 10:00:00,2.7,2.71,2.63,2.68,1744200
2025-10-30 10:00:00,2.6,2.73,2.59,2.7,1697600
2025-10-31 10:00:00,2.65,2.73,2.64,2.71,1755000
2025-11-03 10:00:00,2.71,2.72,2.58,2.63,3085900
2025-11-04 10:00:00,2.61,2.68,2.57,2.65,3426000
2025-11-05 10:00:00,2.65,2.65,2.52,2.54,2978800
2025-11-06 10:00:00,2.57,2.57,2.48,2.53,1901300
2025-11-07 10:00:00,2.51,2.55,2.4,2.47,3660600
2025-11-10 10:00:00,2.52,2.6,2.45,2.49,5184300
2025-11-11 10:00:00,2.48,2.63,2.48,2.62,2534800
2025-11-12 10:00:00,2.64,2.64,2.46,2.47,4073500
2025-11-13 10:00:00,2.45,2.49,2.32,2.33,2384200
2025-11-14 10:00:00,2.34,2.4,2.17,2.29,4806800
2025-11-17 10:00:00,2.34,2.41,2.24,2.25,3062200
2025-11-18 10:00:00,2.22,2.25,2.14,2.21,4250700
2025-11-19 10:00:00,2.19,2.2,2.09,2.11,3307200
2025-11-21 10:00:00,2.11,2.14,2.05,2.12,4609600
2025-11-24 10:00:00,2.12,2.19,2.1,2.12,3025800
2025-11-25 10:00:00,2.16,2.17,2.11,2.11,2069600
2025-11-26 10:00:00,2.11,2.16,2.1,2.12,3049600
2025-11-27 10:00:00,2.11,2.16,2.09,2.16,2606200
2025-11-28 10:00:00,2.13,2.29,2.13,2.24,4086800
2025-12-01 10:00:00,2.19,2.39,2.19,2.37,4293300
2025-12-02 10:00:00,2.37,2.45,2.32,2.38,6123600
2025-12-03 10:00:00,2.4,2.48,2.38,2.38,3255200
2025-12-04 10:00:00,2.38,2.59,2.38,2.46,4546500
2025-12-05 10:00:00,2.46,2.46,2.19,2.19,5502000
2025-12-08 10:00:00,2.26,2.37,2.24,2.35,5291700
2025-12-09 10:00:00,2.32,2.32,2.15,2.22,7349700
2025-12-10 10:00:00,2.23,2.29,2.21,2.28,2613300
2025-12-11 10:00:00,2.25,2.31,2.25,2.27,1453400
2025-12-12 10:00:00,2.27,2.35,2.25,2.29,1459000
2025-12-15 10:00:00,2.28,2.31,2.26,2.29,1593800
2025-12-16 10:00:00,2.3,2.3,2.2,2.24,3197200
2025-12-17 10:00:00,2.24,2.24,2.15,2.19,2617700
2025-12-18 10:00:00,2.19,2.2,2.15,2.15,1447600
2025-12-19 10:00:00,2.14,2.2,2.12,2.18,1562800
2025-12-22 10:00:00,2.16,2.18,2.11,2.11,1101900
2025-12-23 10:00:00,2.11,2.22,2.11,2.17,1731200
2025-12-26 10:00:00,2.17,2.23,2.12,2.23,1861800
2025-12-29 10:00:00,2.25,2.25,2.17,2.19,1612100
2025-12-30 10:00:00,2.22,2.28,2.18,2.28,1083500
2026-01-02 10:00:00,2.28,2.34,2.27,2.31,3121900
2026-01-05 10:00:00,2.33,2.35,2.24,2.27,2398500
2026-01-06 10:00:00,2.27,2.43,2.27,2.4,3120900
2026-01-07 10:00:00,2.42,2.42,2.28,2.3,2367400
2026-01-08 10:00:00,2.33,2.34,2.26,2.26,1701400
2026-01-09 10:00:00,2.25,2.31,2.21,2.21,1847400
2026-01-12 10:00:00,2.21,2.26,2.2,2.24,1220100
2026-01-13 10:00:00,2.25,2.25,2.14,2.18,4397500
2026-01-14 10:00:00,2.18,2.34,2.18,2.28,3864700
2026-01-15 17:25:05,2.27,2.36,2.27,2.29,1871500
