date,open,high,low,close,volume
2025-10-20 10:00:00,12.33,12.37,12.24,12.25,1588200
2025-10-21 10:00:00,12.29,12.43,12.24,12.26,1499200
2025-10-22 10:00:00,12.43,12.45,12.24,12.45,2107600
2025-10-23 10:00:00,12.84,12.86,12.44,12.61,2771100
2025-10-24 10:00:00,12.61,12.75,12.48,12.48,1639800
2025-10-27 10:00:00,12.57,12.64,12.44,12.54,1503700
2025-10-28 10:00:00,12.54,12.67,12.5,12.57,1723100
2025-10-29 10:00:00,12.62,12.66,12.37,12.4,1492400
2025-10-30 10:00:00,12.31,12.58,12.31,12.38,1373200
2025-10-31 10:00:00,12.48,12.54,12.38,12.42,1874200
2025-11-03 10:00:00,12.44,12.67,12.44,12.63,2115700
2025-11-04 10:00:00,12.55,12.78,12.55,12.78,2042300
2025-11-05 10:00:00,12.78,12.82,12.63,12.65,4179200
2025-11-06 10:00:00,12.64,12.8,12.47,12.52,3567500
2025-11-07 10:00:00,12.14,12.15,11.72,11.72,11226700
2025-11-10 10:00:00,11.83,11.93,11.55,11.76,5059400
2025-11-11 10:00:00,11.81,12.01,11.68,12.01,5340300
2025-11-12 10:00:00,12.05,12.05,11.24,11.4,10505900
2025-11-13 10:00:00,11.38,11.48,11.26,11.26,5340400
2025-11-14 10:00:00,11.36,11.38,11.01,11.08,6465900
2025-11-17 10:00:00,11.14,11.14,11.0,11.05,2831800
2025-11-18 10:00:00,11.01,11.32,10.92,11.26,4722400
2025-11-19 10:00:00,11.15,11.17,11.0,11.02,2924800
2025-11-21 10:00:00,11.03,11.03,10.8,10.87,3061700
2025-11-24 10:00:00,10.85,10.95,10.76,10.76,3962400
2025-11-25 10:00:00,10.7,10.73,10.47,10.48,4770600
2025-11-26 10:00:00,10.49,10.73,10.49,10.73,3048900
2025-11-27 10:00:00,10.75,10.79,10.55,10.62,2682800
2025-11-28 10:00:00,10.62,10.75,10.53,10.7,2592400
2025-12-01 10:00:00,10.81,10.86,10.5,10.5,4454400
2025-12-02 10:00:00,10.55,10.67,10.44,10.65,5014600
2025-12-03 10:00:00,10.7,10.77,10.65,10.68,4117700
2025-12-04 10:00:00,10.73,11.14,10.69,11.06,8153700
2025-12-05 10:00:00,11.09,11.29,10.8,10.85,4971100
2025-12-08 10:00:00,10.85,11.25,10.83,10.83,4925800
2025-12-09 10:00:00,10.83,10.94,10.7,10.83,3642200
2025-12-10 10:00:00,10.83,10.91,10.63,10.86,3480100
2025-12-11 10:00:00,10.77,10.84,10.61,10.63,2281000
2025-12-12 10:00:00,10.67,10.85,10.67,10.71,1779600
2025-12-15 10:00:00,10.73,10.82,10.69,10.76,2201200
2025-12-16 10:00:00,10.69,10.69,10.4,10.41,3865900
2025-12-17 10:00:00,10.5,10.61,10.42,10.57,3845900
2025-12-18 10:00:00,10.6,10.98,10.59,10.79,3420300
2025-12-19 10:00:00,11.0,11.24,10.72,10.72,6340200
2025-12-22 10:00:00,10.92,11.1,10.73,10.99,3567900
2025-12-23 10:00:00,11.05,11.14,10.99,11.11,2386300
2025-12-26 10:00:00,11.09,11.16,10.99,11.12,2042200
2025-12-29 10:00:00,11.17,11.38,11.15,11.24,2020900
2025-12-30 10:00:00,11.31,11.4,11.27,11.32,2227000
2026-01-02 10:00:00,11.42,11.42,11.0,11.01,4043000
2026-01-05 10:00:00,11.05,11.09,10.8,11.08,4399600
2026-01-06 10:00:00,11.12,11.32,11.05,11.08,8714700
2026-01-07 10:00:00,11.09,11.12,10.78,11.0,6328600
2026-01-08 10:00:00,10.99,11.08,10.87,11.01,6200200
2026-01-09 10:00:00,10.11,10.32,10.07,10.22,6247300
2026-01-12 10:00:00,10.25,10.44,10.09,10.44,5883000
2026-01-13 10:00:00,10.55,10.55,10.32,10.34,7282300
2026-01-14 10:00:00,10.4,10.68,10.2,10.58,5760200
2026-01-15 10:00:00,10.41,10.63,10.34,10.57,3484000
