date,open,high,low,close,volume
2025-10-17 10:00:00,36.01,36.79,35.7,36.6,6161600
2025-10-20 10:00:00,36.84,37.6,36.62,36.97,4498900
2025-10-21 10:00:00,36.59,37.4,36.4,37.35,4260500
2025-10-22 10:00:00,37.45,38.64,37.25,37.79,5548500
2025-10-23 10:00:00,38.09,38.64,37.3,38.2,6749200
2025-10-24 10:00:00,38.72,39.08,38.26,38.75,12743600
2025-10-27 10:00:00,39.4,40.17,39.02,39.32,7078100
2025-10-28 10:00:00,39.33,39.49,38.3,39.17,5727800
2025-10-29 10:00:00,39.5,39.93,39.17,39.77,6632900
2025-10-30 10:00:00,39.53,39.97,39.04,39.24,4210900
2025-10-31 10:00:00,39.7,39.7,38.98,39.44,3973100
2025-11-03 10:00:00,39.6,40.08,39.37,39.65,5467600
2025-11-04 10:00:00,39.44,40.9,39.38,40.9,6858500
2025-11-05 10:00:00,40.9,42.05,40.29,41.57,8955000
2025-11-06 10:00:00,41.52,41.99,41.14,41.15,6800000
2025-11-07 10:00:00,41.17,41.43,40.61,40.89,4632000
2025-11-10 10:00:00,41.39,42.41,41.07,42.07,7527600
2025-11-11 10:00:00,42.61,44.9,42.2,43.25,17859500
2025-11-12 10:00:00,43.22,43.55,42.62,43.06,6089500
2025-11-13 10:00:00,43.03,43.55,41.74,42.04,7294900
2025-11-14 10:00:00,42.05,44.79,41.69,44.05,13642300
2025-11-17 10:00:00,43.96,44.79,43.13,43.17,6671800
2025-11-18 10:00:00,42.64,43.37,42.5,43.0,7280300
2025-11-19 10:00:00,42.69,43.92,42.66,42.75,6865000
2025-11-21 10:00:00,42.8,43.01,41.65,42.04,12102200
2025-11-24 10:00:00,41.98,43.58,41.87,42.97,10748300
2025-11-25 10:00:00,43.09,44.08,43.06,43.51,9174600
2025-11-26 10:00:00,43.79,44.82,43.42,44.76,11606700
2025-11-27 10:00:00,44.54,45.06,44.43,44.7,2165800
2025-11-28 10:00:00,44.5,45.56,44.5,45.25,5803800
2025-12-01 10:00:00,45.19,45.4,44.15,45.4,6446200
2025-12-02 10:00:00,45.4,47.55,45.38,47.55,15172900
2025-12-03 10:00:00,47.61,48.35,47.13,47.22,13969600
2025-12-04 10:00:00,47.71,49.85,47.47,49.6,19151100
2025-12-05 10:00:00,49.59,49.73,45.35,45.93,23510800
2025-12-08 10:00:00,47.5,47.5,45.01,46.02,15656600
2025-12-09 10:00:00,45.35,46.01,44.19,45.0,9391900
2025-12-10 10:00:00,45.36,46.45,44.87,45.99,8330700
2025-12-11 10:00:00,46.0,47.7,45.75,46.75,6279500
2025-12-12 10:00:00,46.84,48.1,46.84,47.49,6690200
2025-12-15 10:00:00,47.9,48.29,47.53,47.76,4284600
2025-12-16 10:00:00,47.05,47.24,45.0,45.3,12103800
2025-12-17 10:00:00,44.39,44.65,42.57,43.61,14494900
2025-12-18 10:00:00,42.97,43.59,42.55,43.32,6683900
2025-12-19 10:00:00,43.3,44.4,42.79,43.78,8116200
2025-12-22 10:00:00,43.5,43.73,43.08,43.43,8836400
2025-12-23 10:00:00,43.61,45.06,43.45,44.9,6524200
2025-12-26 10:00:00,44.33,45.04,44.27,44.89,4077300
2025-12-29 10:00:00,44.73,45.15,44.3,44.98,5738700
2025-12-30 10:00:00,44.59,45.1,43.37,43.57,7143200
2026-01-02 10:00:00,43.7,44.29,43.28,43.44,5341600
2026-01-05 10:00:00,43.54,44.17,43.02,43.74,7868600
2026-01-06 10:00:00,44.11,45.27,43.47,44.32,9868600
2026-01-07 10:00:00,44.09,44.4,43.2,43.96,8703900
2026-01-08 10:00:00,43.96,44.7,43.35,43.57,6789700
2026-01-09 10:00:00,43.68,44.41,42.93,43.21,6382000
2026-01-12 10:00:00,43.06,43.34,41.96,42.9,7569800
2026-01-13 10:00:00,42.32,42.78,41.41,41.87,6544900
2026-01-14 10:00:00,42.34,42.6,41.13,41.92,8764700
2026-01-15 13:58:44,42.41,42.44,41.78,41.86,2377400
