date,open,high,low,close,volume
2025-10-14 10:00:00,7.78,7.78,7.57,7.65,148000
2025-10-15 10:00:00,7.65,7.73,7.6,7.64,94800
2025-10-16 10:00:00,7.64,7.7,7.63,7.7,66500
2025-10-17 10:00:00,7.63,7.75,7.62,7.7,89100
2025-10-20 10:00:00,7.68,7.92,7.68,7.87,143000
2025-10-21 10:00:00,7.93,7.96,7.75,7.84,127700
2025-10-22 10:00:00,8.13,8.4,8.12,8.12,440000
2025-10-23 10:00:00,8.2,8.38,8.08,8.25,164600
2025-10-24 10:00:00,8.24,8.4,8.24,8.33,132900
2025-10-27 10:00:00,8.24,8.35,8.15,8.2,100700
2025-10-28 10:00:00,8.15,8.17,8.03,8.09,134900
2025-10-29 10:00:00,8.13,8.26,8.08,8.23,132500
2025-10-30 10:00:00,8.17,8.26,8.17,8.2,62500
2025-10-31 10:00:00,8.25,8.25,8.13,8.14,98100
2025-11-03 10:00:00,8.2,8.28,8.15,8.21,169100
2025-11-04 10:00:00,8.17,8.25,8.03,8.03,181900
2025-11-05 10:00:00,8.03,8.23,8.03,8.17,98000
2025-11-06 10:00:00,8.17,8.21,7.98,7.98,143300
2025-11-07 10:00:00,7.99,8.13,7.94,8.09,115300
2025-11-10 10:00:00,8.17,8.18,7.98,7.99,217200
2025-11-11 10:00:00,8.07,8.17,7.93,7.93,183900
2025-11-12 10:00:00,7.96,8.14,7.96,8.11,129400
2025-11-13 10:00:00,8.11,8.15,8.0,8.08,122700
2025-11-14 10:00:00,8.08,8.13,8.02,8.07,103500
2025-11-17 10:00:00,8.08,8.13,8.04,8.06,83600
2025-11-18 10:00:00,8.02,8.06,8.01,8.06,80500
2025-11-19 10:00:00,8.0,8.07,8.0,8.07,85600
2025-11-21 10:00:00,8.0,8.05,7.97,8.05,111900
2025-11-24 10:00:00,8.05,8.23,8.0,8.18,183600
2025-11-25 10:00:00,8.2,8.29,8.02,8.07,304200
2025-11-26 10:00:00,8.02,8.19,8.02,8.08,264600
2025-11-27 10:00:00,8.14,8.32,8.11,8.17,249600
2025-11-28 10:00:00,8.22,8.34,8.2,8.2,153300
2025-12-01 10:00:00,8.2,8.34,8.13,8.19,219700
2025-12-02 10:00:00,8.19,8.23,8.15,8.21,129200
2025-12-03 10:00:00,8.23,8.25,8.11,8.18,109500
2025-12-04 10:00:00,8.19,8.29,8.12,8.12,244300
2025-12-05 10:00:00,8.15,8.2,8.0,8.06,253600
2025-12-08 10:00:00,8.1,8.13,8.05,8.05,90300
2025-12-09 10:00:00,8.06,8.1,7.95,8.09,96700
2025-12-10 10:00:00,8.14,8.14,8.04,8.06,112800
2025-12-11 10:00:00,8.1,8.13,8.06,8.09,117200
2025-12-12 10:00:00,8.12,8.2,8.05,8.13,96000
2025-12-15 10:00:00,8.11,8.22,8.1,8.1,124300
2025-12-16 10:00:00,8.1,8.14,8.05,8.14,108700
2025-12-17 10:00:00,8.14,8.14,8.03,8.09,89900
2025-12-18 10:00:00,8.07,8.1,8.05,8.1,74700
2025-12-19 10:00:00,8.07,8.13,8.04,8.04,175400
2025-12-22 10:00:00,8.01,8.06,8.01,8.04,95400
2025-12-23 10:00:00,8.06,8.13,8.01,8.07,207200
2025-12-26 10:00:00,8.11,8.26,8.1,8.15,218400
2025-12-29 10:00:00,8.18,8.2,8.09,8.14,176400
2025-12-30 10:00:00,8.14,8.17,8.02,8.02,375500
2026-01-02 10:00:00,7.96,8.07,7.96,8.0,118200
2026-01-05 10:00:00,8.0,8.19,7.95,8.13,290200
2026-01-06 10:00:00,8.09,8.26,8.09,8.2,169400
2026-01-07 10:00:00,8.15,8.23,8.12,8.18,184700
2026-01-08 10:00:00,8.17,8.17,8.07,8.12,99500
2026-01-09 10:00:00,8.12,8.15,8.05,8.11,132300
2026-01-12 18:07:00,8.12,8.12,7.95,8.06,210000
