date,open,high,low,close,volume
2025-10-14 10:00:00,26.95,27.58,26.92,27.45,4012400
2025-10-15 10:00:00,27.27,27.94,27.11,27.93,4926100
2025-10-16 10:00:00,27.52,28.24,27.52,28.01,2165400
2025-10-17 10:00:00,27.84,28.28,27.68,28.2,3888400
2025-10-20 10:00:00,28.44,29.0,28.35,28.9,3977900
2025-10-21 10:00:00,28.9,29.33,28.76,28.76,2717200
2025-10-22 10:00:00,28.38,28.56,28.11,28.45,2489900
2025-10-23 10:00:00,28.61,28.74,28.45,28.68,2418200
2025-10-24 10:00:00,28.68,29.27,28.67,29.11,2547500
2025-10-27 10:00:00,29.39,29.49,29.07,29.4,1705400
2025-10-28 10:00:00,29.43,29.61,29.13,29.36,3864200
2025-10-29 10:00:00,29.85,30.38,29.7,29.83,10859900
2025-10-30 10:00:00,29.54,30.69,29.47,30.61,3539300
2025-10-31 10:00:00,30.61,31.3,30.45,31.14,5440000
2025-11-03 10:00:00,31.14,31.72,31.03,31.52,5955200
2025-11-04 10:00:00,31.55,32.0,31.4,31.63,4091500
2025-11-05 10:00:00,31.63,32.54,31.55,32.5,4294800
2025-11-06 10:00:00,32.5,32.9,32.21,32.21,3769700
2025-11-07 10:00:00,32.2,32.39,31.88,32.39,7830000
2025-11-10 10:00:00,32.4,32.92,32.4,32.65,4780700
2025-11-11 10:00:00,32.65,33.48,32.52,33.41,4087700
2025-11-12 10:00:00,33.41,33.6,33.18,33.4,3586600
2025-11-13 10:00:00,33.4,33.78,33.3,33.58,4024400
2025-11-14 10:00:00,33.5,33.92,33.37,33.78,1422900
2025-11-17 10:00:00,33.45,33.78,33.34,33.49,1813800
2025-11-18 10:00:00,33.46,33.62,33.28,33.42,1528400
2025-11-19 10:00:00,33.32,33.41,32.95,33.18,2388300
2025-11-21 10:00:00,33.01,33.21,32.72,33.08,1682800
2025-11-24 10:00:00,33.21,33.42,33.0,33.09,1798300
2025-11-25 10:00:00,33.0,33.59,32.96,33.59,1965500
2025-11-26 10:00:00,33.57,34.35,33.46,34.19,2254100
2025-11-27 10:00:00,34.19,34.34,34.01,34.22,616400
2025-11-28 10:00:00,34.25,34.66,34.13,34.2,3365900
2025-12-01 10:00:00,34.15,34.15,33.75,33.91,3790400
2025-12-02 10:00:00,34.07,34.89,33.99,34.8,3242600
2025-12-03 10:00:00,35.0,35.03,34.13,34.35,3247700
2025-12-04 10:00:00,34.45,35.16,34.43,34.7,3504000
2025-12-05 10:00:00,34.79,34.79,33.01,33.17,3577800
2025-12-08 10:00:00,33.47,33.69,32.63,32.85,1986300
2025-12-09 10:00:00,32.85,32.85,31.86,32.15,5166600
2025-12-10 10:00:00,32.17,32.36,31.74,31.85,3439800
2025-12-11 10:00:00,31.88,32.24,31.72,31.98,1684700
2025-12-12 10:00:00,32.0,32.33,31.87,31.95,2437500
2025-12-15 10:00:00,32.36,33.03,32.07,32.94,4187000
2025-12-16 10:00:00,32.59,32.69,31.76,31.76,2232700
2025-12-17 10:00:00,31.6,31.75,31.16,31.57,2804400
2025-12-18 10:00:00,31.57,32.21,31.4,32.05,1914400
2025-12-19 10:00:00,32.05,32.64,31.93,32.32,4316200
2025-12-22 10:00:00,32.38,32.68,32.16,32.66,1724400
2025-12-23 10:00:00,32.75,34.21,32.56,34.1,4361500
2025-12-26 10:00:00,33.71,34.28,33.63,34.28,1674700
2025-12-29 10:00:00,34.45,34.45,33.33,33.36,3051100
2025-12-30 10:00:00,33.53,34.09,33.52,34.06,2573600
2026-01-02 10:00:00,34.29,34.29,33.66,33.73,2535100
2026-01-05 10:00:00,33.34,34.09,33.34,33.94,2542500
2026-01-06 10:00:00,34.2,34.5,33.92,33.92,2320300
2026-01-07 10:00:00,33.87,33.87,32.91,33.15,4936300
2026-01-08 10:00:00,33.14,33.74,33.03,33.73,3071000
2026-01-09 10:00:00,33.73,34.26,33.61,34.12,2899100
2026-01-12 13:50:46,34.13,34.24,33.69,33.89,901400
