date,open,high,low,close,volume
2025-10-15 10:00:00,36.09,36.55,35.56,36.44,3507700
2025-10-16 10:00:00,36.44,36.77,36.19,36.31,884100
2025-10-17 10:00:00,36.1,36.12,35.6,35.77,2136100
2025-10-20 10:00:00,35.57,35.95,35.41,35.93,721900
2025-10-21 10:00:00,35.73,36.11,35.6,35.85,550400
2025-10-22 10:00:00,35.49,35.83,34.16,34.16,1998600
2025-10-23 10:00:00,34.22,34.72,33.95,34.08,770000
2025-10-24 10:00:00,34.0,34.45,33.99,34.45,992600
2025-10-27 10:00:00,34.45,34.59,33.6,33.78,1101500
2025-10-28 10:00:00,33.75,34.15,33.48,34.1,1394300
2025-10-29 10:00:00,34.44,34.44,33.76,33.95,916100
2025-10-30 10:00:00,33.97,34.29,33.71,34.01,1248000
2025-10-31 10:00:00,34.01,34.53,33.93,34.48,1451500
2025-11-03 10:00:00,34.51,34.54,33.82,34.5,1627500
2025-11-04 10:00:00,34.18,35.0,34.13,34.82,1470300
2025-11-05 10:00:00,34.82,35.17,34.69,35.1,1019700
2025-11-06 10:00:00,35.21,35.98,35.05,35.73,1443300
2025-11-07 10:00:00,35.12,35.8,34.45,35.25,1676200
2025-11-10 10:00:00,35.25,36.01,35.2,35.41,1878600
2025-11-11 10:00:00,35.34,36.37,35.3,35.99,1933600
2025-11-12 10:00:00,35.74,36.17,35.65,35.94,876500
2025-11-13 10:00:00,36.15,36.16,35.1,35.81,1087700
2025-11-14 10:00:00,35.81,36.29,35.59,36.01,885500
2025-11-17 10:00:00,36.0,36.19,35.47,35.69,1202300
2025-11-18 10:00:00,35.6,35.6,35.06,35.06,1151200
2025-11-19 10:00:00,35.06,35.45,34.09,34.68,1529600
2025-11-21 10:00:00,34.91,34.93,33.82,34.15,2320000
2025-11-24 10:00:00,34.1,35.0,33.93,35.0,1793900
2025-11-25 10:00:00,35.17,35.83,35.0,35.59,2084800
2025-11-26 10:00:00,35.59,35.98,35.44,35.97,1942900
2025-11-27 10:00:00,35.97,36.38,35.74,36.14,776100
2025-11-28 10:00:00,36.0,37.37,35.71,37.37,1527500
2025-12-01 10:00:00,37.83,37.83,36.19,36.5,1877300
2025-12-02 10:00:00,36.65,38.53,36.5,38.53,2416600
2025-12-03 10:00:00,38.54,39.22,38.1,38.73,3054600
2025-12-04 10:00:00,38.61,39.61,38.6,39.39,1122400
2025-12-05 10:00:00,39.4,39.7,37.74,38.03,1736400
2025-12-08 10:00:00,38.31,38.37,36.11,36.33,2918900
2025-12-09 10:00:00,36.31,36.75,35.15,36.65,1583600
2025-12-10 10:00:00,36.8,37.0,36.32,36.7,1370100
2025-12-11 10:00:00,36.77,36.77,36.28,36.51,963000
2025-12-12 10:00:00,36.48,37.36,36.47,37.19,938800
2025-12-15 10:00:00,37.41,37.61,36.92,37.0,807400
2025-12-16 10:00:00,37.0,37.28,36.28,36.65,1470400
2025-12-17 10:00:00,36.55,36.89,35.92,36.5,1601500
2025-12-18 10:00:00,36.21,37.95,36.2,37.73,1967400
2025-12-19 10:00:00,37.79,39.84,37.52,38.97,2884500
2025-12-22 10:00:00,39.05,39.38,37.69,38.42,1168100
2025-12-23 10:00:00,38.89,39.86,38.36,39.86,1069900
2025-12-26 10:00:00,39.7,39.81,39.22,39.53,473400
2025-12-29 10:00:00,39.5,39.86,39.05,39.6,692600
2025-12-30 10:00:00,39.65,40.36,39.32,40.18,801900
2026-01-02 10:00:00,40.65,41.43,39.97,40.19,1763700
2026-01-05 10:00:00,40.49,41.0,40.06,40.35,1508300
2026-01-06 10:00:00,40.4,41.55,40.04,40.93,1406200
2026-01-07 10:00:00,40.51,41.17,40.45,41.03,1001200
2026-01-08 10:00:00,41.03,42.7,40.94,42.67,1716300
2026-01-09 10:00:00,42.66,43.7,42.17,43.6,3720200
2026-01-12 10:00:00,43.6,44.33,43.34,43.98,1858000
