date,open,high,low,close,volume
2025-10-14 10:00:00,10.15,10.52,10.0,10.37,704700
2025-10-15 10:00:00,10.25,10.6,10.25,10.43,380600
2025-10-16 10:00:00,10.26,10.56,10.26,10.39,549900
2025-10-17 10:00:00,10.27,10.66,10.23,10.51,358300
2025-10-20 10:00:00,10.4,10.69,10.4,10.63,365700
2025-10-21 10:00:00,10.59,10.59,10.29,10.29,509800
2025-10-22 10:00:00,10.34,10.48,10.26,10.4,598700
2025-10-23 10:00:00,10.42,10.71,10.42,10.71,500600
2025-10-24 10:00:00,10.75,10.95,10.68,10.69,419100
2025-10-27 10:00:00,10.71,10.96,10.6,10.64,481900
2025-10-28 10:00:00,10.64,10.68,10.28,10.39,653900
2025-10-29 10:00:00,10.56,10.56,10.15,10.16,828700
2025-10-30 10:00:00,10.1,10.23,9.89,10.12,597700
2025-10-31 10:00:00,10.15,10.39,10.03,10.18,1338600
2025-11-03 10:00:00,10.25,10.39,10.17,10.31,690500
2025-11-04 10:00:00,10.31,10.39,9.97,10.37,591300
2025-11-05 10:00:00,10.37,10.68,10.29,10.5,724200
2025-11-06 10:00:00,10.53,10.58,10.18,10.42,809700
2025-11-07 10:00:00,10.42,10.82,10.25,10.76,805200
2025-11-10 10:00:00,10.85,11.0,10.65,10.81,798600
2025-11-11 10:00:00,10.96,11.32,10.84,11.01,888100
2025-11-12 10:00:00,11.01,11.03,10.49,10.67,935100
2025-11-13 10:00:00,10.75,10.82,10.6,10.77,488800
2025-11-14 10:00:00,10.5,10.56,10.0,10.32,1281000
2025-11-17 10:00:00,10.4,10.41,8.57,8.57,5069400
2025-11-18 10:00:00,8.5,9.26,8.41,9.08,2177800
2025-11-19 10:00:00,9.1,9.22,8.93,8.93,1005200
2025-11-21 10:00:00,8.92,8.96,8.46,8.61,1711900
2025-11-24 10:00:00,8.6,8.86,8.54,8.71,828300
2025-11-25 10:00:00,8.7,9.52,8.7,9.26,2870200
2025-11-26 10:00:00,9.43,9.67,9.28,9.46,1667500
2025-11-27 10:00:00,9.51,9.51,9.35,9.42,695400
2025-11-28 10:00:00,9.42,9.65,9.2,9.2,1423400
2025-12-01 10:00:00,9.25,9.53,9.12,9.25,1627000
2025-12-02 10:00:00,9.35,9.56,9.31,9.49,1438600
2025-12-03 10:00:00,9.46,9.64,9.38,9.6,1363700
2025-12-04 10:00:00,9.65,10.09,9.65,10.05,1713500
2025-12-05 10:00:00,10.04,10.08,8.57,8.58,4609400
2025-12-08 10:00:00,8.79,8.97,8.51,8.7,1612500
2025-12-09 10:00:00,8.63,9.11,8.35,9.07,1963900
2025-12-10 10:00:00,9.07,9.31,8.91,9.13,1176700
2025-12-11 10:00:00,9.16,9.45,9.12,9.42,1063200
2025-12-12 10:00:00,9.48,9.67,9.36,9.56,1346500
2025-12-15 10:00:00,9.69,9.79,9.54,9.63,665600
2025-12-16 10:00:00,9.42,9.6,9.29,9.31,934700
2025-12-17 10:00:00,9.53,9.53,8.95,9.34,938100
2025-12-18 10:00:00,9.34,9.63,9.24,9.53,677800
2025-12-19 10:00:00,9.54,9.59,9.24,9.32,654100
2025-12-22 10:00:00,9.41,9.41,9.01,9.03,670600
2025-12-23 10:00:00,9.06,9.36,9.06,9.24,644600
2025-12-26 10:00:00,9.18,9.53,9.13,9.53,423400
2025-12-29 10:00:00,9.4,9.62,9.4,9.59,592700
2025-12-30 10:00:00,9.63,9.86,9.61,9.82,795300
2026-01-02 10:00:00,9.82,9.92,9.49,9.61,952000
2026-01-05 10:00:00,9.68,9.69,9.36,9.52,1347500
2026-01-06 10:00:00,9.59,9.8,9.48,9.6,1213400
2026-01-07 10:00:00,9.68,9.99,9.53,9.95,1737200
2026-01-08 10:00:00,10.0,10.22,9.69,10.22,1987400
2026-01-09 10:00:00,10.13,10.64,10.13,10.37,1864400
2026-01-12 18:07:00,10.44,10.99,10.41,10.81,1861100
