date,open,high,low,close,volume
2025-10-14 10:00:00,5.45,5.88,5.42,5.87,60700
2025-10-15 10:00:00,5.88,6.0,5.69,5.98,55200
2025-10-16 10:00:00,6.0,6.0,5.53,5.64,78900
2025-10-17 10:00:00,5.65,5.89,5.56,5.7,28500
2025-10-20 10:00:00,5.7,6.0,5.35,5.88,210700
2025-10-21 10:00:00,5.7,6.0,5.35,5.68,137700
2025-10-22 10:00:00,5.78,5.87,5.5,5.74,201900
2025-10-23 10:00:00,5.7,5.88,5.63,5.88,78500
2025-10-24 10:00:00,5.89,6.26,5.85,6.22,83200
2025-10-27 10:00:00,6.24,6.29,6.01,6.06,56700
2025-10-28 10:00:00,6.2,6.26,6.13,6.23,34300
2025-10-29 10:00:00,6.2,6.24,6.0,6.0,35900
2025-10-30 10:00:00,6.06,6.19,6.01,6.18,23600
2025-10-31 10:00:00,6.11,6.17,5.93,5.93,36400
2025-11-03 10:00:00,6.0,6.0,5.71,5.97,70700
2025-11-04 10:00:00,5.86,5.99,5.8,5.93,47500
2025-11-05 10:00:00,5.93,5.97,5.9,5.92,16400
2025-11-06 10:00:00,5.93,5.96,5.78,5.78,22400
2025-11-07 10:00:00,5.71,5.88,5.71,5.87,29200
2025-11-10 10:00:00,5.89,5.99,5.87,5.88,26700
2025-11-11 10:00:00,5.91,6.17,5.91,6.16,34700
2025-11-12 10:00:00,6.19,6.25,6.07,6.11,32900
2025-11-13 10:00:00,6.0,6.03,5.63,5.95,133300
2025-11-14 10:00:00,5.95,6.09,5.91,6.08,31600
2025-11-17 10:00:00,6.09,6.28,6.04,6.21,82700
2025-11-18 10:00:00,6.26,6.26,6.05,6.1,42000
2025-11-19 10:00:00,6.14,6.72,5.91,6.7,148700
2025-11-21 10:00:00,6.52,6.58,6.1,6.1,48200
2025-11-24 10:00:00,6.11,6.16,5.95,5.95,51700
2025-11-25 10:00:00,5.93,6.11,5.83,5.96,179200
2025-11-26 10:00:00,5.91,5.92,5.75,5.84,100400
2025-11-27 10:00:00,5.82,5.94,5.79,5.82,38200
2025-11-28 10:00:00,5.79,5.99,5.75,5.81,48000
2025-12-01 10:00:00,5.79,5.82,5.7,5.7,32800
2025-12-02 10:00:00,5.65,5.85,5.65,5.85,40300
2025-12-03 10:00:00,5.77,5.96,5.7,5.92,131800
2025-12-04 10:00:00,5.89,6.08,5.89,5.95,135100
2025-12-05 10:00:00,5.91,6.03,5.65,5.74,78700
2025-12-08 10:00:00,5.7,5.91,5.7,5.91,21100
2025-12-09 10:00:00,5.86,5.9,5.74,5.9,45800
2025-12-10 10:00:00,5.86,6.03,5.75,5.78,87600
2025-12-11 10:00:00,5.76,5.89,5.76,5.8,20600
2025-12-12 10:00:00,5.75,5.83,5.74,5.8,19400
2025-12-15 10:00:00,5.84,5.95,5.75,5.85,104500
2025-12-16 10:00:00,5.87,5.87,5.74,5.74,44200
2025-12-17 10:00:00,5.75,5.79,5.67,5.72,37300
2025-12-18 10:00:00,5.74,5.85,5.73,5.84,24500
2025-12-19 10:00:00,5.76,5.88,5.65,5.65,29000
2025-12-22 10:00:00,5.6,5.68,5.55,5.68,28300
2025-12-23 10:00:00,5.69,5.73,5.65,5.71,22100
2025-12-26 10:00:00,5.66,5.84,5.65,5.76,38900
2025-12-29 10:00:00,5.71,5.91,5.71,5.77,27600
2025-12-30 10:00:00,5.77,6.06,5.71,5.78,164300
2026-01-02 10:00:00,5.79,6.11,5.79,6.09,104900
2026-01-05 10:00:00,6.07,6.7,5.99,6.51,130700
2026-01-06 10:00:00,6.67,6.7,6.31,6.48,49800
2026-01-07 10:00:00,6.5,6.67,6.38,6.67,24200
2026-01-08 10:00:00,6.7,6.91,6.2,6.35,59300
2026-01-09 10:00:00,6.35,6.39,6.11,6.24,71600
2026-01-12 18:06:00,6.3,6.36,6.15,6.2,19600
