date,open,high,low,close,volume
2025-10-15 10:00:00,9.5744,9.7175,9.5649,9.6221,1131784
2025-10-16 10:00:00,9.6316,9.7556,9.5458,9.6602,351290
2025-10-17 10:00:00,9.6602,9.6984,9.5935,9.6507,181307
2025-10-20 10:00:00,9.7175,9.7175,9.5839,9.5839,267714
2025-10-21 10:00:00,9.5839,9.6507,9.5363,9.5839,192737
2025-10-22 10:00:00,9.6221,9.6221,9.479,9.5649,263520
2025-10-23 10:00:00,9.603,9.6507,9.479,9.5172,232795
2025-10-24 10:00:00,9.5267,9.6888,9.5077,9.6126,420814
2025-10-27 10:00:00,9.727,9.7842,9.6602,9.6602,168514
2025-10-28 10:00:00,9.6793,9.7079,9.5935,9.6507,165997
2025-10-29 10:00:00,9.6602,9.7461,9.6221,9.6602,235102
2025-10-30 10:00:00,9.6602,9.8986,9.6221,9.8796,333149
2025-10-31 10:00:00,9.87,10.0131,9.851,10.0131,317944
2025-11-03 10:00:00,10.0131,10.0131,9.8319,9.87,234158
2025-11-04 10:00:00,9.87,9.9559,9.8414,9.9368,259850
2025-11-05 10:00:00,9.9368,10.1275,9.8796,10.0703,389460
2025-11-06 10:00:00,10.0703,10.1084,9.851,9.851,311128
2025-11-07 10:00:00,9.851,10.1084,9.7842,10.1084,262786
2025-11-10 10:00:00,10.118,10.3945,10.118,10.3659,498413
2025-11-11 10:00:00,10.4422,10.8332,10.3564,10.8332,764764
2025-11-12 10:00:00,10.2515,10.2992,9.0976,9.212,5964495
2025-11-13 10:00:00,9.2692,9.3837,8.5159,8.5826,3502315
2025-11-14 10:00:00,8.6399,8.7734,8.5254,8.535,1637748
2025-11-17 10:00:00,8.554,8.678,8.2965,8.2965,2006341
2025-11-18 10:00:00,8.2965,8.5063,8.1821,8.3442,1302396
2025-11-19 10:00:00,8.3442,8.4301,8.2489,8.2489,971659
2025-11-21 10:00:00,8.2679,8.2965,8.1917,8.2012,1013289
2025-11-24 10:00:00,8.2012,8.3538,8.1535,8.1917,968408
2025-11-25 10:00:00,8.1917,8.287,8.0868,8.163,1189354
2025-11-26 10:00:00,8.163,8.287,8.1535,8.1917,1100116
2025-11-27 10:00:00,8.1917,8.2775,8.163,8.2679,1074844
2025-11-28 10:00:00,8.2679,8.4682,8.2679,8.4205,836491
2025-12-01 10:00:00,8.4396,8.4873,8.2489,8.287,924785
2025-12-02 10:00:00,8.287,8.3252,8.2012,8.2107,1269574
2025-12-03 10:00:00,8.2107,8.4014,8.2107,8.3728,1053871
2025-12-04 10:00:00,8.4301,8.5826,8.3919,8.5159,855890
2025-12-05 10:00:00,8.5731,8.7066,8.2012,8.2012,1456230
2025-12-08 10:00:00,8.3252,8.3728,8.2012,8.3728,759416
2025-12-09 10:00:00,8.3824,8.7161,8.3061,8.6303,1283206
2025-12-10 10:00:00,8.6399,8.7448,8.5445,8.7161,598137
2025-12-11 10:00:00,8.7448,8.7448,8.4301,8.4777,959600
2025-12-12 10:00:00,8.5636,8.6208,8.5063,8.5826,926358
2025-12-15 10:00:00,8.6685,8.821,8.6303,8.7257,650883
2025-12-16 10:00:00,8.821,8.9069,8.7352,8.8783,992107
2025-12-17 10:00:00,8.7257,8.802,8.3633,8.4968,1588253
2025-12-18 10:00:00,8.5254,8.6208,8.411,8.535,821390
2025-12-19 10:00:00,8.7,8.74,8.32,8.57,1408900
2025-12-22 10:00:00,8.72,8.78,8.43,8.77,776800
2025-12-23 10:00:00,8.82,8.84,8.75,8.83,463400
2025-12-26 10:00:00,8.86,9.0,8.77,8.98,402700
2025-12-29 10:00:00,8.97,9.1,8.92,9.1,352000
2025-12-30 10:00:00,9.1,9.18,9.04,9.04,331600
2026-01-02 10:00:00,9.1,9.13,8.89,8.94,549800
2026-01-05 10:00:00,8.93,9.0,8.89,8.95,292200
2026-01-06 10:00:00,8.95,9.04,8.9,8.99,335500
2026-01-07 10:00:00,8.99,8.99,8.57,8.57,1069000
2026-01-08 10:00:00,8.68,8.68,8.48,8.48,956400
2026-01-09 10:00:00,8.5,8.62,8.5,8.61,438200
2026-01-12 10:00:00,8.67,8.67,8.44,8.52,640900
