date,open,high,low,close,volume
2025-10-14 10:00:00,48.1,48.42,47.95,47.99,3933100
2025-10-15 10:00:00,47.99,48.16,47.23,47.63,8159100
2025-10-16 10:00:00,47.41,47.93,47.25,47.8,3663700
2025-10-17 10:00:00,48.05,48.06,47.5,47.63,4198600
2025-10-20 10:00:00,47.6,48.0,47.46,47.71,3992100
2025-10-21 10:00:00,47.77,47.85,47.27,47.48,3010100
2025-10-22 10:00:00,47.44,48.34,47.44,48.22,3648800
2025-10-23 10:00:00,48.34,48.74,48.21,48.67,2825900
2025-10-24 10:00:00,48.86,49.45,48.69,49.1,4135300
2025-10-27 10:00:00,49.2,49.43,48.68,49.11,3245700
2025-10-28 10:00:00,49.22,49.72,48.87,49.47,3496900
2025-10-29 10:00:00,49.53,49.53,48.81,49.1,4542100
2025-10-30 10:00:00,48.85,49.42,48.69,48.69,3990900
2025-10-31 10:00:00,48.88,49.09,48.21,48.89,4902400
2025-11-03 10:00:00,48.99,48.99,48.37,48.55,3806500
2025-11-04 10:00:00,48.55,49.68,48.47,49.41,4515200
2025-11-05 10:00:00,49.41,49.76,48.82,48.9,4568500
2025-11-06 10:00:00,48.92,49.2,48.24,48.65,5485600
2025-11-07 10:00:00,48.01,48.48,47.35,47.62,7965500
2025-11-10 10:00:00,47.91,47.95,46.48,46.7,10687100
2025-11-11 10:00:00,46.7,46.99,46.49,46.55,6817600
2025-11-12 10:00:00,46.56,48.22,46.47,48.07,10555800
2025-11-13 10:00:00,48.15,48.37,47.3,47.66,6230700
2025-11-14 10:00:00,47.69,47.92,47.15,47.36,5721700
2025-11-17 10:00:00,47.36,48.5,47.14,48.5,10502800
2025-11-18 10:00:00,48.37,48.57,48.1,48.53,4257100
2025-11-19 10:00:00,48.35,49.01,48.3,48.33,5621100
2025-11-21 10:00:00,48.33,48.7,48.1,48.31,7107700
2025-11-24 10:00:00,48.38,48.4,47.78,47.98,5621600
2025-11-25 10:00:00,48.15,48.15,47.44,47.8,3589100
2025-11-26 10:00:00,47.8,48.48,47.7,47.86,6595400
2025-11-27 10:00:00,47.77,48.2,47.77,48.2,2157700
2025-11-28 10:00:00,48.19,48.19,47.54,47.58,4286300
2025-12-01 10:00:00,47.59,47.71,47.32,47.48,3695500
2025-12-02 10:00:00,47.57,48.4,47.54,48.2,4973900
2025-12-03 10:00:00,48.39,49.04,48.27,48.95,5420400
2025-12-04 10:00:00,49.1,49.59,48.92,49.54,6693600
2025-12-05 10:00:00,49.79,51.51,49.51,50.5,13131800
2025-12-08 10:00:00,50.5,50.85,49.91,50.39,5010700
2025-12-09 10:00:00,50.4,51.72,50.12,50.45,8909400
2025-12-10 10:00:00,50.55,51.67,50.02,51.67,6366100
2025-12-11 10:00:00,51.28,51.7,48.91,49.47,21574100
2025-12-12 10:00:00,51.28,51.7,48.68,49.06,5822700
2025-12-15 10:00:00,49.24,49.24,48.1,48.71,5696600
2025-12-16 10:00:00,48.71,49.37,48.5,48.92,5795200
2025-12-17 10:00:00,48.84,49.84,48.84,49.79,9610900
2025-12-18 10:00:00,50.14,53.01,49.87,52.65,15098200
2025-12-19 10:00:00,51.29,52.51,51.29,51.32,13244300
2025-12-22 10:00:00,51.2,52.06,50.99,51.2,9456900
2025-12-23 10:00:00,51.0,51.75,49.94,51.5,12965900
2025-12-26 10:00:00,51.53,51.85,51.24,51.68,2858800
2025-12-29 10:00:00,51.61,51.85,51.36,51.55,3315700
2025-12-30 10:00:00,51.44,51.67,51.24,51.45,4309500
2026-01-02 10:00:00,51.41,52.11,51.29,51.87,5570600
2026-01-05 10:00:00,51.94,52.24,50.43,50.43,4947400
2026-01-06 10:00:00,50.56,51.0,49.94,50.23,5153600
2026-01-07 10:00:00,50.16,50.63,49.88,49.94,8357300
2026-01-08 10:00:00,49.84,49.88,49.03,49.57,5838000
2026-01-09 10:00:00,49.82,51.2,49.55,50.99,5611100
2026-01-12 13:45:24,50.95,51.88,50.81,51.67,1076900
