date,open,high,low,close,volume
2025-10-17 10:00:00,36.42,36.67,36.19,36.67,1597300
2025-10-20 10:00:00,36.55,36.97,36.47,36.47,2259200
2025-10-21 10:00:00,36.61,36.69,36.37,36.49,1605900
2025-10-22 10:00:00,36.37,36.6,36.21,36.54,1352100
2025-10-23 10:00:00,36.45,37.03,36.45,36.8,1523600
2025-10-24 10:00:00,36.84,37.15,36.7,36.97,1084400
2025-10-27 10:00:00,37.02,37.49,37.02,37.32,1283200
2025-10-28 10:00:00,37.53,37.83,37.36,37.66,2595300
2025-10-29 10:00:00,37.71,38.13,37.65,37.65,1576100
2025-10-30 10:00:00,37.65,38.24,37.63,38.12,2049100
2025-10-31 10:00:00,38.26,38.35,37.8,38.1,2571300
2025-11-03 10:00:00,38.13,38.61,37.89,38.61,1683200
2025-11-04 10:00:00,38.58,39.48,38.51,39.48,2780200
2025-11-05 10:00:00,39.48,40.03,39.41,40.02,3756500
2025-11-06 10:00:00,40.03,40.44,39.98,40.24,2389600
2025-11-07 10:00:00,40.29,40.63,39.79,40.55,1404400
2025-11-10 10:00:00,40.55,41.07,40.32,40.95,2450700
2025-11-11 10:00:00,41.16,42.83,41.0,42.44,6207600
2025-11-12 10:00:00,42.65,45.0,42.55,44.89,7080900
2025-11-13 10:00:00,44.85,45.3,44.51,44.95,4314900
2025-11-14 10:00:00,44.95,45.85,44.81,45.0,2561400
2025-11-17 10:00:00,44.22,45.33,43.94,45.0,3407900
2025-11-18 10:00:00,44.8,45.45,44.26,44.41,2666900
2025-11-19 10:00:00,44.33,44.33,42.97,43.19,3187700
2025-11-21 10:00:00,42.82,43.1,41.8,42.43,2824200
2025-11-24 10:00:00,41.97,43.15,41.91,42.94,2305800
2025-11-25 10:00:00,43.0,43.3,42.7,42.89,1449600
2025-11-26 10:00:00,42.9,43.71,42.9,43.48,1855700
2025-11-27 10:00:00,43.44,43.49,43.31,43.49,694300
2025-11-28 10:00:00,43.5,44.09,43.38,43.52,1772800
2025-12-01 10:00:00,43.52,43.82,42.46,42.5,2519900
2025-12-02 10:00:00,42.6,42.69,42.23,42.5,3008200
2025-12-03 10:00:00,42.67,42.67,41.62,41.99,2732800
2025-12-04 10:00:00,42.02,42.55,41.99,42.3,2513600
2025-12-05 10:00:00,42.3,42.48,40.11,41.21,4320900
2025-12-08 10:00:00,41.6,42.13,41.0,41.52,2587800
2025-12-09 10:00:00,41.43,41.68,40.72,41.33,1906600
2025-12-10 10:00:00,41.33,42.19,41.12,41.83,2394900
2025-12-11 10:00:00,41.61,42.14,41.48,41.54,1689500
2025-12-12 10:00:00,41.82,42.12,41.6,41.77,1037600
2025-12-15 10:00:00,41.77,43.06,41.77,42.5,3308000
2025-12-16 10:00:00,42.1,42.1,41.29,41.31,2580000
2025-12-17 10:00:00,41.25,41.27,40.15,40.6,4514100
2025-12-18 10:00:00,40.56,40.56,40.13,40.34,2927700
2025-12-19 10:00:00,40.4,41.16,40.21,40.88,1682800
2025-12-22 10:00:00,40.87,41.01,40.01,40.31,1478500
2025-12-23 10:00:00,40.4,41.11,40.3,40.77,1327000
2025-12-26 10:00:00,40.77,41.5,40.5,41.36,1562900
2025-12-29 10:00:00,41.35,41.55,40.96,41.49,1749200
2025-12-30 10:00:00,41.49,42.73,41.49,42.11,2970000
2026-01-02 10:00:00,42.2,42.5,41.97,41.97,1403100
2026-01-05 10:00:00,41.97,42.59,41.97,42.24,1804100
2026-01-06 10:00:00,42.24,43.02,42.08,42.08,1445400
2026-01-07 10:00:00,42.08,42.48,41.33,41.35,1710400
2026-01-08 10:00:00,41.56,41.87,40.32,40.54,3521700
2026-01-09 10:00:00,40.54,40.82,39.91,40.07,2397400
2026-01-12 10:00:00,40.08,40.35,39.68,40.1,1752300
2026-01-13 10:00:00,40.09,40.09,39.42,39.65,2253900
2026-01-14 10:00:00,39.7,39.98,39.31,39.78,1794100
2026-01-15 13:33:42,39.78,40.11,39.73,40.03,733000
