date,open,high,low,close,volume
2025-10-20 10:00:00,23.4,24.05,23.39,23.57,1339200
2025-10-21 10:00:00,23.49,23.52,22.73,23.15,1596400
2025-10-22 10:00:00,23.26,23.5,22.93,23.28,955900
2025-10-23 10:00:00,23.27,23.78,23.06,23.59,1121900
2025-10-24 10:00:00,23.56,23.83,23.04,23.15,1410300
2025-10-27 10:00:00,23.6,23.66,22.92,23.39,2262400
2025-10-28 10:00:00,23.42,23.42,21.64,21.96,6781300
2025-10-29 10:00:00,22.05,22.96,21.85,22.94,4427000
2025-10-30 10:00:00,22.6,23.41,22.6,23.0,1942800
2025-10-31 10:00:00,23.12,23.87,23.12,23.57,3906600
2025-11-03 10:00:00,23.7,23.97,23.12,23.18,3776700
2025-11-04 10:00:00,23.3,23.39,22.9,23.05,1783900
2025-11-05 10:00:00,23.05,23.63,22.9,23.5,2031100
2025-11-06 10:00:00,23.42,23.51,22.27,22.7,3327800
2025-11-07 10:00:00,23.7,24.77,23.37,24.73,5012000
2025-11-10 10:00:00,24.9,26.27,24.82,25.58,2646600
2025-11-11 10:00:00,25.7,26.69,25.7,26.67,2051900
2025-11-12 10:00:00,26.75,26.96,25.88,25.88,1704400
2025-11-13 10:00:00,25.6,26.2,25.28,25.3,1664100
2025-11-14 10:00:00,25.16,25.63,24.82,25.05,2287400
2025-11-17 10:00:00,25.0,25.15,24.24,24.4,1080300
2025-11-18 10:00:00,24.27,25.05,23.79,24.67,1521800
2025-11-19 10:00:00,24.67,25.24,24.33,24.91,1433400
2025-11-21 10:00:00,24.78,24.95,24.33,24.85,1057700
2025-11-24 10:00:00,24.85,25.18,24.56,24.82,1316700
2025-11-25 10:00:00,24.82,25.44,24.73,24.84,927700
2025-11-26 10:00:00,24.8,26.12,24.8,26.06,2118800
2025-11-27 10:00:00,26.16,26.9,25.78,26.63,1347300
2025-11-28 10:00:00,26.63,27.75,26.28,27.45,2086900
2025-12-01 10:00:00,27.5,28.28,26.78,28.25,3513400
2025-12-02 10:00:00,28.24,28.59,27.91,28.02,3010300
2025-12-03 10:00:00,28.01,28.3,26.55,26.55,3246400
2025-12-04 10:00:00,26.77,27.57,26.64,27.2,2330700
2025-12-05 10:00:00,27.03,27.44,24.72,24.76,2894500
2025-12-08 10:00:00,25.37,25.65,24.25,24.86,1936000
2025-12-09 10:00:00,24.55,25.0,23.91,24.61,2659300
2025-12-10 10:00:00,24.59,25.44,24.59,25.21,2541600
2025-12-11 10:00:00,25.12,25.58,24.69,24.73,3068000
2025-12-12 10:00:00,23.38,25.46,22.92,24.8,7280100
2025-12-15 10:00:00,25.23,25.92,25.08,25.6,2547800
2025-12-16 10:00:00,25.53,25.53,23.61,23.78,3266400
2025-12-17 10:00:00,23.65,23.94,23.15,23.84,2785200
2025-12-18 10:00:00,23.61,24.03,23.35,23.69,1846100
2025-12-19 10:00:00,23.9,24.54,23.74,23.89,2084400
2025-12-22 10:00:00,24.2,24.2,23.52,23.89,1747200
2025-12-23 10:00:00,23.95,25.06,23.95,24.95,1651300
2025-12-26 10:00:00,23.97,24.24,23.84,24.21,1008800
2025-12-29 10:00:00,24.21,24.28,23.76,24.0,882300
2025-12-30 10:00:00,24.2,24.6,24.07,24.56,1286600
2026-01-02 10:00:00,24.86,24.86,23.21,23.22,3522200
2026-01-05 10:00:00,23.31,25.08,23.16,24.96,1950200
2026-01-06 10:00:00,24.94,25.89,24.94,25.84,2613500
2026-01-07 10:00:00,26.0,26.0,24.33,24.57,2266800
2026-01-08 10:00:00,24.77,25.75,24.5,25.39,1773700
2026-01-09 10:00:00,25.54,26.22,25.19,25.19,1730700
2026-01-12 10:00:00,25.05,25.19,23.74,23.99,3090100
2026-01-13 10:00:00,23.9,24.23,23.39,23.63,1886900
2026-01-14 10:00:00,23.94,24.15,23.31,23.89,1885000
2026-01-15 18:07:55,0.0,0.0,0.0,23.76,0
