date,open,high,low,close,volume
2025-10-15 10:00:00,22.51,23.35,22.47,23.11,8888900
2025-10-16 10:00:00,22.88,23.33,22.88,23.2,4443700
2025-10-17 10:00:00,23.19,23.76,23.19,23.64,5379200
2025-10-20 10:00:00,23.65,23.93,23.64,23.76,4510600
2025-10-21 10:00:00,23.64,23.82,23.46,23.52,6367000
2025-10-22 10:00:00,23.54,23.78,23.42,23.72,5537000
2025-10-23 10:00:00,23.85,24.19,23.6,24.09,7027700
2025-10-24 10:00:00,24.2,24.75,24.16,24.53,7341100
2025-10-27 10:00:00,24.61,25.17,24.61,24.97,6204000
2025-10-28 10:00:00,25.06,25.39,24.94,25.1,5928300
2025-10-29 10:00:00,25.29,25.3,24.86,24.95,7387700
2025-10-30 10:00:00,24.9,25.12,24.89,24.98,4248700
2025-10-31 10:00:00,25.14,25.18,24.26,24.29,5925700
2025-11-03 10:00:00,24.33,24.35,23.94,24.25,6284600
2025-11-04 10:00:00,24.8,24.85,24.02,24.54,10760700
2025-11-05 10:00:00,24.54,25.48,24.48,25.01,11741500
2025-11-06 10:00:00,24.93,25.09,24.38,24.48,7396500
2025-11-07 10:00:00,24.32,24.73,24.32,24.54,3450800
2025-11-10 10:00:00,24.83,24.89,24.38,24.58,4656800
2025-11-11 10:00:00,24.89,25.22,24.51,25.03,7026900
2025-11-12 10:00:00,25.03,25.17,24.57,24.81,5595500
2025-11-13 10:00:00,24.57,24.77,24.08,24.61,8267900
2025-11-14 10:00:00,24.69,24.96,24.49,24.88,4062700
2025-11-17 10:00:00,24.7,25.02,24.62,24.72,3171400
2025-11-18 10:00:00,24.67,25.12,24.53,25.02,4284100
2025-11-19 10:00:00,24.98,24.98,24.24,24.27,8895800
2025-11-21 10:00:00,24.45,24.87,24.33,24.72,5764600
2025-11-24 10:00:00,24.72,25.07,24.61,24.8,6016600
2025-11-25 10:00:00,24.98,24.98,24.63,24.91,5056800
2025-11-26 10:00:00,24.91,25.48,24.84,25.07,5520000
2025-11-27 10:00:00,25.15,25.2,25.0,25.04,1577500
2025-11-28 10:00:00,25.0,25.34,24.94,25.33,3842000
2025-12-01 10:00:00,25.23,25.32,24.33,24.4,5961400
2025-12-02 10:00:00,24.32,24.51,23.87,24.22,11497800
2025-12-03 10:00:00,24.35,24.38,23.55,23.82,10466200
2025-12-04 10:00:00,23.88,24.21,23.79,23.89,6382200
2025-12-05 10:00:00,23.88,24.01,23.15,23.27,7028800
2025-12-08 10:00:00,23.29,23.71,23.24,23.5,4767600
2025-12-09 10:00:00,23.45,23.55,23.28,23.44,4546200
2025-12-10 10:00:00,23.48,23.78,23.31,23.76,5748400
2025-12-11 10:00:00,23.74,24.0,23.29,23.43,4422100
2025-12-12 10:00:00,23.48,23.64,23.23,23.42,8138400
2025-12-15 10:00:00,23.5,23.6,23.33,23.52,4281800
2025-12-16 10:00:00,23.33,23.39,22.76,22.76,7477400
2025-12-17 10:00:00,22.7,23.07,22.57,22.75,8829900
2025-12-18 10:00:00,22.62,22.82,22.52,22.71,6379800
2025-12-19 10:00:00,22.71,22.87,22.56,22.82,7088200
2025-12-22 10:00:00,22.14,22.31,21.43,21.58,13404000
2025-12-23 10:00:00,21.66,21.95,21.35,21.48,5888200
2025-12-26 10:00:00,21.37,21.56,21.28,21.46,3930300
2025-12-29 10:00:00,21.51,21.66,21.29,21.64,6878900
2025-12-30 10:00:00,21.75,21.86,21.34,21.34,11013400
2026-01-02 10:00:00,21.4,21.64,21.32,21.64,5150400
2026-01-05 10:00:00,21.66,21.8,21.42,21.61,4949100
2026-01-06 10:00:00,21.71,21.8,21.46,21.69,7489000
2026-01-07 10:00:00,21.57,21.9,21.51,21.7,10583500
2026-01-08 10:00:00,21.71,21.95,21.48,21.95,6234900
2026-01-09 10:00:00,21.99,22.3,21.86,22.29,6594500
2026-01-12 10:00:00,22.22,22.54,22.15,22.49,6037100
