date,open,high,low,close,volume
2025-10-17 10:00:00,41.67,41.95,40.94,41.33,4547000
2025-10-20 10:00:00,41.71,41.88,41.03,41.34,5651000
2025-10-21 10:00:00,41.24,42.36,41.05,41.7,1828500
2025-10-22 10:00:00,41.93,42.33,41.42,41.5,3324100
2025-10-23 10:00:00,41.71,42.25,41.64,41.98,2291800
2025-10-24 10:00:00,42.15,42.77,42.14,42.34,1200000
2025-10-27 10:00:00,43.17,43.2,42.03,42.41,938100
2025-10-28 10:00:00,42.43,43.82,42.26,43.5,4027100
2025-10-29 10:00:00,43.7,43.8,42.67,43.21,2161700
2025-10-30 10:00:00,42.93,43.77,42.69,43.73,2250800
2025-10-31 10:00:00,43.95,45.02,43.76,44.37,2823600
2025-11-03 10:00:00,44.49,44.6,43.0,43.3,2645600
2025-11-04 10:00:00,43.4,43.87,43.07,43.45,1820300
2025-11-05 10:00:00,43.45,44.57,43.08,44.32,3076100
2025-11-06 10:00:00,45.0,46.1,44.02,45.65,3683800
2025-11-07 10:00:00,45.33,45.57,44.24,45.17,1681300
2025-11-10 10:00:00,45.37,46.45,45.16,46.1,2170500
2025-11-11 10:00:00,46.49,47.67,46.3,46.68,1976800
2025-11-12 10:00:00,46.78,47.62,46.65,47.5,1620700
2025-11-13 10:00:00,47.43,47.65,46.79,47.1,1970400
2025-11-14 10:00:00,46.91,48.31,46.87,48.14,1954600
2025-11-17 10:00:00,48.19,48.4,46.9,46.95,1706600
2025-11-18 10:00:00,46.37,47.29,46.12,47.07,2126800
2025-11-19 10:00:00,46.64,46.89,46.13,46.37,1532500
2025-11-21 10:00:00,46.71,46.79,43.28,43.28,5364300
2025-11-24 10:00:00,43.33,43.33,42.15,42.72,9106300
2025-11-25 10:00:00,42.74,43.65,42.74,43.3,2640500
2025-11-26 10:00:00,43.3,44.01,42.8,42.94,3107800
2025-11-27 10:00:00,42.9,43.09,41.68,42.52,2338700
2025-11-28 10:00:00,42.53,43.19,42.53,42.8,1835700
2025-12-01 10:00:00,42.92,43.42,42.13,43.32,2235400
2025-12-02 10:00:00,43.66,44.05,43.1,43.98,1740300
2025-12-03 10:00:00,44.36,44.55,43.87,44.32,2168900
2025-12-04 10:00:00,44.87,47.63,44.6,47.54,5610800
2025-12-05 10:00:00,47.14,47.9,45.62,45.91,6997200
2025-12-08 10:00:00,46.28,46.35,44.94,45.48,1990100
2025-12-09 10:00:00,45.42,45.42,44.1,45.2,3336200
2025-12-10 10:00:00,45.66,45.69,44.79,45.19,2110900
2025-12-11 10:00:00,45.16,45.86,44.65,45.46,1737700
2025-12-12 10:00:00,45.9,47.35,45.51,46.24,2037300
2025-12-15 10:00:00,46.95,47.12,46.31,46.69,1758900
2025-12-16 10:00:00,44.81,45.83,44.32,45.43,3543100
2025-12-17 10:00:00,44.4,45.48,44.35,44.92,3837100
2025-12-18 10:00:00,44.29,45.04,44.29,44.41,1824400
2025-12-19 10:00:00,44.12,44.63,43.13,43.45,4878100
2025-12-22 10:00:00,43.45,43.45,42.26,42.56,3347000
2025-12-23 10:00:00,42.69,43.15,42.33,42.77,1327800
2025-12-26 10:00:00,42.78,42.82,41.92,42.38,1337100
2025-12-29 10:00:00,42.5,42.5,41.37,41.8,2693700
2025-12-30 10:00:00,42.2,42.25,41.62,42.08,2626000
2026-01-02 10:00:00,42.07,42.35,40.36,40.98,3842600
2026-01-05 10:00:00,40.98,41.85,40.8,41.4,3435400
2026-01-06 10:00:00,41.83,42.51,41.21,42.28,6411700
2026-01-07 10:00:00,41.98,42.64,41.85,42.57,2353400
2026-01-08 10:00:00,42.58,43.56,42.06,43.36,2925900
2026-01-09 10:00:00,43.5,44.72,43.23,44.04,1674100
2026-01-12 10:00:00,43.75,44.4,43.27,44.03,1309100
2026-01-13 10:00:00,43.66,43.83,42.22,42.74,2965000
2026-01-14 10:00:00,43.25,43.74,42.44,43.58,2513300
2026-01-15 14:13:12,43.91,44.05,43.04,43.73,1349500
