date,open,high,low,close,volume
2025-10-20 10:00:00,21.0,21.15,20.78,20.9,6501500
2025-10-21 10:00:00,20.84,20.93,20.5,20.63,7411900
2025-10-22 10:00:00,20.6,20.62,19.93,20.4,9259300
2025-10-23 10:00:00,20.59,20.88,20.57,20.74,9602500
2025-10-24 10:00:00,20.88,21.25,20.68,21.18,6739700
2025-10-27 10:00:00,21.82,21.82,20.89,21.14,7666100
2025-10-28 10:00:00,21.24,21.42,20.92,21.01,4041000
2025-10-29 10:00:00,21.01,21.24,20.75,20.75,4018100
2025-10-30 10:00:00,20.61,21.3,20.56,21.25,4498200
2025-10-31 10:00:00,21.16,21.49,21.11,21.41,4744600
2025-11-03 10:00:00,21.63,21.73,21.21,21.39,3577200
2025-11-04 10:00:00,21.48,21.5,21.25,21.4,3277100
2025-11-05 10:00:00,21.4,22.1,21.26,22.1,5189400
2025-11-06 10:00:00,22.08,22.61,21.95,22.12,9313700
2025-11-07 10:00:00,22.09,22.41,21.99,22.41,6213400
2025-11-10 10:00:00,22.48,22.78,22.34,22.59,6125200
2025-11-11 10:00:00,22.88,23.28,22.71,23.05,9908200
2025-11-12 10:00:00,23.03,23.05,22.23,22.84,7854300
2025-11-13 10:00:00,23.4,23.82,21.36,21.75,16476500
2025-11-14 10:00:00,21.66,22.39,21.66,22.39,7118200
2025-11-17 10:00:00,22.26,22.41,21.77,21.97,8180000
2025-11-18 10:00:00,21.8,22.61,21.78,22.46,5500600
2025-11-19 10:00:00,22.46,22.48,22.0,22.25,9421300
2025-11-21 10:00:00,22.25,22.3,21.73,21.8,4935200
2025-11-24 10:00:00,21.8,22.07,21.7,22.01,11001300
2025-11-25 10:00:00,22.19,22.25,21.76,22.14,3132400
2025-11-26 10:00:00,22.14,22.68,21.72,22.05,12759400
2025-11-27 10:00:00,21.99,22.54,21.93,22.3,7437300
2025-11-28 10:00:00,22.2,22.31,21.91,21.99,2965200
2025-12-01 10:00:00,21.84,21.88,21.41,21.59,5667600
2025-12-02 10:00:00,22.02,22.38,21.95,22.31,15798700
2025-12-03 10:00:00,22.4,22.72,22.38,22.57,4317800
2025-12-04 10:00:00,22.75,23.47,22.63,23.47,8279800
2025-12-05 10:00:00,23.54,23.68,21.87,21.87,10619400
2025-12-08 10:00:00,20.77,21.2,20.29,20.75,8309300
2025-12-09 10:00:00,20.54,20.69,19.98,20.55,7070700
2025-12-10 10:00:00,20.79,20.79,20.42,20.76,4354000
2025-12-11 10:00:00,20.76,21.39,20.69,21.08,5442200
2025-12-12 10:00:00,21.08,21.61,21.07,21.5,8068500
2025-12-15 10:00:00,21.79,21.99,21.53,21.75,5562700
2025-12-16 10:00:00,21.36,21.59,20.54,20.56,10086800
2025-12-17 10:00:00,20.52,20.63,20.1,20.37,7707500
2025-12-18 10:00:00,20.16,20.57,20.16,20.34,3800900
2025-12-19 10:00:00,20.36,20.79,20.32,20.59,5581500
2025-12-22 10:00:00,20.41,20.58,20.12,20.44,5020300
2025-12-23 10:00:00,20.51,20.93,20.41,20.93,3104000
2025-12-26 10:00:00,20.63,20.86,20.63,20.86,2797000
2025-12-29 10:00:00,20.99,20.99,20.67,20.85,2065200
2025-12-30 10:00:00,21.0,21.12,20.9,20.9,1939000
2026-01-02 10:00:00,20.89,21.05,20.76,20.97,3345600
2026-01-05 10:00:00,21.09,21.24,20.84,21.1,3796200
2026-01-06 10:00:00,21.33,21.61,20.97,21.08,5421100
2026-01-07 10:00:00,20.99,21.02,20.52,20.83,5383600
2026-01-08 10:00:00,20.8,21.03,20.66,21.03,5045900
2026-01-09 10:00:00,21.06,21.39,20.83,21.32,6981600
2026-01-12 10:00:00,21.05,21.57,20.91,21.47,6114100
2026-01-13 10:00:00,21.23,21.72,20.96,21.55,5372700
2026-01-14 10:00:00,21.8,22.12,21.62,21.94,5032900
2026-01-15 18:07:56,0.0,0.0,0.0,22.26,0
