date,open,high,low,close,volume
2025-10-15 10:00:00,74.47,75.3,73.85,74.35,197400
2025-10-16 10:00:00,74.0,74.11,72.0,73.01,252100
2025-10-17 10:00:00,72.55,73.5,71.8,73.21,78200
2025-10-20 10:00:00,73.2,73.41,70.35,71.26,203000
2025-10-21 10:00:00,70.86,72.24,70.65,71.25,112400
2025-10-22 10:00:00,71.35,71.96,70.56,71.05,127400
2025-10-23 10:00:00,71.04,72.43,70.9,71.98,168300
2025-10-24 10:00:00,71.98,72.29,71.32,71.91,114300
2025-10-27 10:00:00,72.26,72.91,71.51,72.48,268500
2025-10-28 10:00:00,72.48,72.79,71.34,72.24,193300
2025-10-29 10:00:00,72.24,72.39,70.61,70.85,153800
2025-10-30 10:00:00,70.5,71.79,70.4,71.0,151200
2025-10-31 10:00:00,70.72,71.72,70.71,71.0,309400
2025-11-03 10:00:00,70.99,70.99,67.86,68.99,356900
2025-11-04 10:00:00,68.8,69.93,68.03,69.28,171400
2025-11-05 10:00:00,69.28,70.2,67.35,67.38,338400
2025-11-06 10:00:00,67.38,68.05,65.96,65.96,241900
2025-11-07 10:00:00,65.9,67.3,65.69,65.93,157800
2025-11-10 10:00:00,65.9,66.38,65.0,65.0,169500
2025-11-11 10:00:00,65.36,66.84,65.36,65.75,191400
2025-11-12 10:00:00,65.79,66.6,65.15,65.15,132600
2025-11-13 10:00:00,65.16,66.45,65.16,66.0,141600
2025-11-14 10:00:00,65.5,65.8,63.46,64.11,271200
2025-11-17 10:00:00,64.0,64.72,62.46,63.11,206700
2025-11-18 10:00:00,63.09,63.09,61.4,61.94,286900
2025-11-19 10:00:00,61.94,62.19,60.61,60.9,268700
2025-11-21 10:00:00,60.81,61.0,58.98,59.6,364600
2025-11-24 10:00:00,59.89,61.97,59.51,60.42,396300
2025-11-25 10:00:00,60.5,61.25,58.88,58.94,224900
2025-11-26 10:00:00,58.8,60.24,58.8,59.45,196100
2025-11-27 10:00:00,59.45,61.82,59.45,60.09,275500
2025-11-28 10:00:00,60.15,62.54,60.15,60.49,397500
2025-12-01 10:00:00,60.51,61.31,58.88,59.67,358000
2025-12-02 10:00:00,59.68,61.27,59.68,60.1,278700
2025-12-03 10:00:00,66.35,67.88,64.2,64.9,1494600
2025-12-04 10:00:00,65.9,66.49,64.35,65.5,873200
2025-12-05 10:00:00,65.96,67.0,64.55,64.8,921200
2025-12-08 10:00:00,57.95,58.15,55.84,56.7,670300
2025-12-09 10:00:00,56.29,57.49,55.23,56.16,357300
2025-12-10 10:00:00,56.2,58.04,56.2,57.98,219800
2025-12-11 10:00:00,57.98,58.57,57.47,57.66,226200
2025-12-12 10:00:00,58.0,58.2,56.54,56.54,331300
2025-12-15 10:00:00,56.87,57.43,56.64,56.9,321000
2025-12-16 10:00:00,57.1,57.91,56.81,57.3,450000
2025-12-17 10:00:00,57.84,57.84,56.67,57.0,285000
2025-12-18 10:00:00,57.11,57.51,55.75,55.94,384200
2025-12-19 10:00:00,55.98,57.16,55.85,57.09,326600
2025-12-22 10:00:00,57.91,58.14,56.75,58.14,165300
2025-12-23 10:00:00,58.15,59.29,58.15,58.87,203500
2025-12-26 10:00:00,59.5,59.86,58.8,59.48,146100
2025-12-29 10:00:00,59.66,59.98,59.04,59.2,133800
2025-12-30 10:00:00,59.94,59.94,57.87,57.93,260400
2026-01-02 10:00:00,58.01,58.56,57.19,58.19,219000
2026-01-05 10:00:00,58.7,59.59,57.72,59.21,245000
2026-01-06 10:00:00,59.6,62.0,59.22,60.91,289400
2026-01-07 10:00:00,61.18,61.41,60.04,60.04,246500
2026-01-08 10:00:00,60.65,61.11,59.54,59.76,256800
2026-01-09 10:00:00,59.85,60.17,58.42,58.69,214200
2026-01-12 10:00:00,59.15,59.25,58.46,58.9,135900
2026-01-13 10:19:53,58.95,58.95,58.43,58.62,7800
