date,open,high,low,close,volume
2025-10-14 10:00:00,4.46,4.68,4.41,4.65,25494000
2025-10-15 10:00:00,4.62,4.8,4.57,4.75,20976700
2025-10-16 10:00:00,4.71,4.79,4.67,4.79,13497200
2025-10-17 10:00:00,4.74,4.89,4.72,4.86,17327700
2025-10-20 10:00:00,4.83,4.91,4.8,4.86,14420200
2025-10-21 10:00:00,4.85,5.1,4.81,4.96,22634300
2025-10-22 10:00:00,5.0,5.08,4.94,4.94,11455000
2025-10-23 10:00:00,5.01,5.08,4.94,4.97,14212000
2025-10-24 10:00:00,5.04,5.05,4.56,4.94,65241300
2025-10-27 10:00:00,4.97,5.46,4.96,5.46,39714400
2025-10-28 10:00:00,5.41,5.63,5.38,5.49,17836500
2025-10-29 10:00:00,5.54,5.56,5.34,5.45,16512300
2025-10-30 10:00:00,5.36,5.59,5.36,5.57,11630400
2025-10-31 10:00:00,5.58,5.67,5.5,5.67,15201000
2025-11-03 10:00:00,5.72,5.73,5.52,5.54,9936600
2025-11-04 10:00:00,5.49,5.55,5.42,5.51,9939300
2025-11-05 10:00:00,5.51,5.71,5.33,5.55,23967300
2025-11-06 10:00:00,5.53,5.54,5.4,5.42,8146900
2025-11-07 10:00:00,5.4,5.54,5.36,5.49,8443300
2025-11-10 10:00:00,5.56,5.56,5.33,5.39,8195500
2025-11-11 10:00:00,5.39,5.49,5.27,5.29,15117500
2025-11-12 10:00:00,5.32,5.37,5.18,5.36,12857900
2025-11-13 10:00:00,5.33,5.4,5.25,5.27,5689000
2025-11-14 10:00:00,5.2,5.33,5.2,5.27,6184200
2025-11-17 10:00:00,5.31,5.31,5.2,5.23,7173300
2025-11-18 10:00:00,5.19,5.21,5.12,5.2,7970800
2025-11-19 10:00:00,5.19,5.22,5.1,5.13,6477400
2025-11-21 10:00:00,5.13,5.25,5.05,5.18,11676800
2025-11-24 10:00:00,5.18,5.28,5.13,5.13,9148300
2025-11-25 10:00:00,5.15,5.46,5.11,5.46,19418900
2025-11-26 10:00:00,5.45,5.53,5.4,5.47,11597300
2025-11-27 10:00:00,5.48,5.48,5.35,5.35,4472600
2025-11-28 10:00:00,5.4,5.46,5.34,5.41,4970100
2025-12-01 10:00:00,5.41,5.44,5.34,5.39,7997300
2025-12-02 10:00:00,5.39,5.43,5.34,5.4,11613000
2025-12-03 10:00:00,5.44,5.88,5.44,5.81,33968300
2025-12-04 10:00:00,5.81,5.91,5.77,5.86,10617900
2025-12-05 10:00:00,5.86,5.92,5.59,5.65,12356300
2025-12-08 10:00:00,5.67,5.73,5.62,5.7,7154600
2025-12-09 10:00:00,5.66,5.93,5.6,5.91,12540100
2025-12-10 10:00:00,5.95,6.29,5.91,6.15,24138000
2025-12-11 10:00:00,6.11,6.19,5.95,5.98,16631400
2025-12-12 10:00:00,5.98,6.02,5.82,5.94,11337400
2025-12-15 10:00:00,5.98,6.07,5.88,6.0,8569800
2025-12-16 10:00:00,5.95,6.03,5.9,5.98,7460300
2025-12-17 10:00:00,5.96,6.0,5.83,5.96,9741600
2025-12-18 10:00:00,5.95,6.03,5.8,5.92,8690600
2025-12-19 10:00:00,5.95,5.95,5.78,5.86,9812300
2025-12-22 10:00:00,5.86,6.01,5.77,5.88,10616900
2025-12-23 10:00:00,5.85,5.92,5.84,5.9,4044100
2025-12-26 10:00:00,5.88,5.96,5.86,5.92,5178300
2025-12-29 10:00:00,5.93,5.94,5.84,5.93,5620500
2025-12-30 10:00:00,5.94,6.04,5.91,5.95,5047800
2026-01-02 10:00:00,5.99,6.05,5.9,5.98,8535400
2026-01-05 10:00:00,5.99,6.19,5.97,6.16,8322600
2026-01-06 10:00:00,6.2,6.44,6.1,6.41,17708900
2026-01-07 10:00:00,6.45,6.53,6.27,6.48,14210300
2026-01-08 10:00:00,6.45,6.59,6.39,6.59,8658900
2026-01-09 10:00:00,6.6,6.68,6.52,6.55,9979300
2026-01-12 13:56:04,6.56,6.66,6.54,6.63,2992100
