date,open,high,low,close,volume
2025-10-20 10:00:00,60.14,61.35,60.14,60.9,17798400
2025-10-21 10:00:00,60.65,61.05,60.57,60.8,13432700
2025-10-22 10:00:00,61.21,62.24,61.18,61.88,25267300
2025-10-23 10:00:00,62.22,62.54,61.67,61.76,11217700
2025-10-24 10:00:00,61.99,62.13,61.33,61.73,11127600
2025-10-27 10:00:00,62.06,62.16,61.4,61.66,12018100
2025-10-28 10:00:00,61.66,62.54,61.58,62.2,15797400
2025-10-29 10:00:00,62.82,63.69,62.71,63.33,30844900
2025-10-30 10:00:00,63.11,64.0,62.93,63.81,25586000
2025-10-31 10:00:00,64.28,65.55,63.87,65.26,38988400
2025-11-03 10:00:00,65.1,65.39,64.65,65.35,16985400
2025-11-04 10:00:00,64.85,65.01,64.03,64.62,22055700
2025-11-05 10:00:00,64.62,66.17,64.5,65.73,22505400
2025-11-06 10:00:00,65.76,66.05,65.26,65.5,15939100
2025-11-07 10:00:00,64.85,64.86,64.02,64.78,20800300
2025-11-10 10:00:00,65.06,65.54,64.91,65.21,12689400
2025-11-11 10:00:00,65.21,65.66,64.76,65.04,25496500
2025-11-12 10:00:00,65.26,65.95,65.26,65.76,26550300
2025-11-13 10:00:00,65.76,66.45,65.31,65.67,19058500
2025-11-14 10:00:00,64.85,65.54,64.61,65.27,16374400
2025-11-17 10:00:00,65.6,65.77,64.91,65.22,20150800
2025-11-18 10:00:00,64.45,65.29,64.3,65.02,22468700
2025-11-19 10:00:00,65.02,65.26,64.7,64.95,16523800
2025-11-21 10:00:00,64.55,65.27,64.13,65.16,20272600
2025-11-24 10:00:00,65.01,65.52,64.78,65.09,20462800
2025-11-25 10:00:00,65.16,65.91,65.16,65.6,18275300
2025-11-26 10:00:00,65.99,66.89,65.92,66.58,33408500
2025-11-27 10:00:00,66.5,66.65,66.14,66.33,9739100
2025-11-28 10:00:00,67.7,67.81,67.04,67.4,46007200
2025-12-01 10:00:00,67.8,68.13,67.5,67.92,15657000
2025-12-02 10:00:00,68.1,68.72,67.76,68.48,22567200
2025-12-03 10:00:00,68.86,71.1,68.82,70.69,42361200
2025-12-04 10:00:00,70.7,72.39,70.69,71.92,38019900
2025-12-05 10:00:00,71.96,72.33,69.92,70.22,40196800
2025-12-08 10:00:00,70.42,70.86,69.49,69.74,20860900
2025-12-09 10:00:00,69.1,70.43,68.9,69.78,23081300
2025-12-10 10:00:00,70.25,71.35,70.25,71.06,24454800
2025-12-11 10:00:00,70.74,72.37,70.47,72.0,25687700
2025-12-12 10:00:00,67.75,68.98,67.72,68.61,36483700
2025-12-15 10:00:00,68.65,69.39,68.5,69.03,16841700
2025-12-16 10:00:00,69.33,70.03,69.26,69.29,21953000
2025-12-17 10:00:00,69.64,70.77,69.44,70.17,29375000
2025-12-18 10:00:00,70.6,71.12,70.31,70.35,18430200
2025-12-19 10:00:00,70.5,70.93,70.38,70.85,37147100
2025-12-22 10:00:00,71.03,73.37,70.81,72.92,27853000
2025-12-23 10:00:00,73.23,73.53,72.58,72.9,17140900
2025-12-26 10:00:00,72.86,73.35,72.62,73.12,16368800
2025-12-29 10:00:00,73.19,73.74,71.7,72.12,19963700
2025-12-30 10:00:00,72.5,72.84,71.91,71.96,17085400
2026-01-02 10:00:00,72.33,72.55,71.65,72.38,28418900
2026-01-05 10:00:00,72.4,73.5,72.3,73.12,24958100
2026-01-06 10:00:00,73.45,75.99,72.88,75.87,39536600
2026-01-07 10:00:00,76.1,77.34,75.62,76.32,41501600
2026-01-08 10:00:00,75.8,75.8,74.19,75.58,31894900
2026-01-09 10:00:00,74.9,75.71,74.2,74.72,24801200
2026-01-12 10:00:00,75.0,75.47,74.51,74.74,13129800
2026-01-13 10:00:00,74.47,76.05,74.28,75.35,24539200
2026-01-14 10:00:00,75.84,79.09,75.64,78.92,44225300
2026-01-15 10:00:00,78.9,79.64,78.51,78.85,35503900
