date,open,high,low,close,volume
2025-10-15 10:00:00,21.6693,22.3415,21.6599,22.2668,14278329
2025-10-16 10:00:00,22.0894,22.2388,21.5946,21.7906,14076534
2025-10-17 10:00:00,21.6132,22.1174,21.4545,21.9307,19550831
2025-10-20 10:00:00,21.8747,22.2294,21.856,22.0147,8530152
2025-10-21 10:00:00,21.772,21.9774,21.6319,21.6879,5441842
2025-10-22 10:00:00,21.744,21.772,21.4825,21.772,7576121
2025-10-23 10:00:00,21.9493,22.4722,21.94,22.3041,8552002
2025-10-24 10:00:00,22.3601,22.6776,22.2668,22.5002,5568125
2025-10-27 10:00:00,22.8643,22.8643,22.1641,22.5189,7451873
2025-10-28 10:00:00,22.4535,22.5655,22.1454,22.2761,6633336
2025-10-29 10:00:00,22.1641,22.4162,21.8653,21.9213,5651778
2025-10-30 10:00:00,21.7533,22.3788,21.6693,22.3601,6918357
2025-10-31 10:00:00,22.3508,22.4442,22.1454,22.2201,6015203
2025-11-03 10:00:00,22.3228,22.4162,21.9213,22.1081,8278228
2025-11-04 10:00:00,22.0614,22.2388,21.8933,22.024,10292865
2025-11-05 10:00:00,22.024,22.7243,21.9587,22.7056,9643134
2025-11-06 10:00:00,22.5282,23.6859,22.5282,23.0604,12886003
2025-11-07 10:00:00,22.827,23.1911,22.7989,23.1631,4161661
2025-11-10 10:00:00,23.3404,23.6112,23.2471,23.5925,8441036
2025-11-11 10:00:00,23.6952,24.1994,23.6205,23.8913,13660946
2025-11-12 10:00:00,23.8819,23.9753,23.3311,23.9006,9776700
2025-11-13 10:00:00,24.0407,24.0687,23.3965,23.7606,7958397
2025-11-14 10:00:00,23.6579,24.0687,23.5365,24.0313,6084718
2025-11-17 10:00:00,24.022,24.4234,23.9286,24.1807,7695656
2025-11-18 10:00:00,23.9193,24.8996,23.9099,24.6755,13941575
2025-11-19 10:00:00,24.5728,24.5915,23.9753,24.162,11089229
2025-11-21 10:00:00,24.6008,24.6008,23.8166,24.1807,18171037
2025-11-24 10:00:00,24.2274,24.6475,24.1527,24.4608,11629493
2025-11-25 10:00:00,24.4981,24.9276,24.3487,24.9183,7126365
2025-11-26 10:00:00,24.21,24.66,24.04,24.07,11880800
2025-11-27 10:00:00,24.12,24.87,24.12,24.56,8495500
2025-11-28 10:00:00,24.59,24.99,24.5,24.88,8645300
2025-12-01 10:00:00,24.86,25.14,24.61,24.89,8769300
2025-12-02 10:00:00,25.03,25.55,24.99,25.38,12277300
2025-12-03 10:00:00,25.58,25.85,25.39,25.51,7024800
2025-12-04 10:00:00,25.79,26.23,25.66,25.89,8420400
2025-12-05 10:00:00,25.89,26.24,24.27,24.62,27204400
2025-12-08 10:00:00,24.76,25.1,24.7,25.0,14075100
2025-12-09 10:00:00,24.8,24.89,24.25,24.59,5196400
2025-12-10 10:00:00,24.59,25.08,24.53,24.88,8128800
2025-12-11 10:00:00,24.73,25.15,24.57,25.06,6103900
2025-12-12 10:00:00,25.06,25.74,25.06,25.51,31879800
2025-12-15 10:00:00,25.7,26.05,25.56,25.81,9391600
2025-12-16 10:00:00,25.53,25.61,25.05,25.16,9797100
2025-12-17 10:00:00,24.69,24.9,24.15,24.59,17071100
2025-12-18 10:00:00,24.42,24.96,24.42,24.62,11456700
2025-12-19 10:00:00,24.6,25.4,24.6,24.83,17474000
2025-12-22 10:00:00,25.02,25.05,24.35,24.84,10010500
2025-12-23 10:00:00,24.88,25.3,24.88,25.24,5862000
2025-12-26 10:00:00,25.05,25.26,25.01,25.25,5504800
2025-12-29 10:00:00,25.25,25.27,24.94,25.19,3914500
2025-12-30 10:00:00,25.37,25.56,25.26,25.33,4774100
2026-01-02 10:00:00,25.28,25.76,25.27,25.76,9656400
2026-01-05 10:00:00,25.61,25.82,25.37,25.53,4941000
2026-01-06 10:00:00,25.82,25.88,25.35,25.58,5054700
2026-01-07 10:00:00,25.37,25.68,25.12,25.48,6623700
2026-01-08 10:00:00,25.48,25.74,25.36,25.6,8397100
2026-01-09 10:00:00,25.67,25.73,25.35,25.53,8937000
2026-01-12 10:00:00,25.5,25.6,25.15,25.52,7036800
