date,open,high,low,close,volume
2025-10-17 10:00:00,27.56,28.91,27.5,28.79,4863600
2025-10-20 10:00:00,28.77,29.49,28.77,29.1,4471000
2025-10-21 10:00:00,29.16,29.54,28.87,29.54,1212700
2025-10-22 10:00:00,29.68,30.15,29.42,29.85,2993300
2025-10-23 10:00:00,29.98,30.43,29.74,30.11,2754700
2025-10-24 10:00:00,30.24,30.73,30.21,30.67,3082000
2025-10-27 10:00:00,30.97,30.98,30.36,30.7,1902300
2025-10-28 10:00:00,30.79,30.79,30.25,30.55,3174200
2025-10-29 10:00:00,30.85,30.98,30.04,30.27,2246900
2025-10-30 10:00:00,29.98,30.99,29.82,30.87,2236800
2025-10-31 10:00:00,31.11,31.3,30.54,31.2,2505700
2025-11-03 10:00:00,31.3,31.5,30.39,30.56,2798500
2025-11-04 10:00:00,30.56,31.33,30.5,31.0,3391900
2025-11-05 10:00:00,31.0,31.44,30.77,31.19,2757300
2025-11-06 10:00:00,32.34,32.55,31.32,31.82,5135600
2025-11-07 10:00:00,31.88,32.56,31.36,32.02,4507900
2025-11-10 10:00:00,32.19,32.47,31.76,32.35,3057400
2025-11-11 10:00:00,32.59,33.09,31.85,31.93,3827200
2025-11-12 10:00:00,31.92,33.16,31.64,33.16,3778400
2025-11-13 10:00:00,33.16,33.28,32.71,33.24,1848100
2025-11-14 10:00:00,33.33,33.48,32.9,33.22,1461300
2025-11-17 10:00:00,33.37,33.37,32.8,33.12,1170100
2025-11-18 10:00:00,32.79,33.34,32.65,33.01,1068600
2025-11-19 10:00:00,32.96,33.0,32.14,32.48,1578600
2025-11-21 10:00:00,32.27,32.42,31.95,32.19,1353900
2025-11-24 10:00:00,32.2,32.91,32.15,32.71,1096900
2025-11-25 10:00:00,32.83,33.84,32.52,33.79,2061200
2025-11-26 10:00:00,33.79,35.32,33.63,35.32,2570900
2025-11-27 10:00:00,35.4,35.47,34.97,35.2,927000
2025-11-28 10:00:00,35.07,35.27,34.57,35.12,1549200
2025-12-01 10:00:00,35.07,35.12,34.47,34.78,1611800
2025-12-02 10:00:00,34.87,35.46,34.72,35.46,1391700
2025-12-03 10:00:00,35.6,36.12,35.05,36.1,1746700
2025-12-04 10:00:00,36.4,36.65,35.77,36.0,2214800
2025-12-05 10:00:00,35.96,36.11,32.74,32.9,3851500
2025-12-08 10:00:00,33.58,33.86,33.06,33.21,2752000
2025-12-09 10:00:00,32.83,33.14,31.95,32.68,2051300
2025-12-10 10:00:00,32.65,33.45,32.52,33.31,1398900
2025-12-11 10:00:00,33.27,34.2,33.04,34.2,2074800
2025-12-12 10:00:00,34.85,36.06,34.55,35.38,3917800
2025-12-15 10:00:00,35.6,36.19,35.38,35.68,2214700
2025-12-16 10:00:00,35.38,35.43,34.15,34.52,2951800
2025-12-17 10:00:00,34.12,34.26,32.66,32.76,3959600
2025-12-18 10:00:00,32.76,33.27,32.62,33.26,2324300
2025-12-19 10:00:00,33.21,34.06,33.02,33.71,2552800
2025-12-22 10:00:00,33.08,33.14,31.84,32.09,2700800
2025-12-23 10:00:00,32.37,33.65,32.22,33.33,3013100
2025-12-26 10:00:00,33.03,33.25,32.51,33.02,2178600
2025-12-29 10:00:00,33.09,33.19,32.35,32.89,2751400
2025-12-30 10:00:00,33.01,33.25,32.83,33.24,1490200
2026-01-02 10:00:00,33.48,33.52,31.9,32.26,1686100
2026-01-05 10:00:00,32.27,32.35,30.21,31.3,7636300
2026-01-06 10:00:00,31.52,31.82,30.05,30.3,11991500
2026-01-07 10:00:00,30.2,30.31,29.15,29.93,6782700
2026-01-08 10:00:00,29.95,30.32,29.51,30.32,3359700
2026-01-09 10:00:00,30.4,31.55,30.29,30.95,4189900
2026-01-12 10:00:00,30.85,30.92,30.43,30.92,2264900
2026-01-13 10:00:00,30.57,30.69,29.27,29.5,5127700
2026-01-14 10:00:00,29.98,30.07,29.05,29.29,3647500
2026-01-15 18:07:34,29.3,29.64,27.29,27.37,7472900
