date,open,high,low,close,volume
2025-10-14 10:00:00,32.25,32.33,31.95,32.29,3271600
2025-10-15 10:00:00,31.88,33.0,31.87,32.54,4698700
2025-10-16 10:00:00,32.42,32.55,32.18,32.54,3824800
2025-10-17 10:00:00,32.3,33.28,32.3,33.0,3849400
2025-10-20 10:00:00,33.01,33.24,32.84,32.89,2837900
2025-10-21 10:00:00,32.83,33.16,32.67,33.05,3021600
2025-10-22 10:00:00,33.19,33.27,32.87,33.13,1509400
2025-10-23 10:00:00,33.3,33.61,32.98,33.56,2201600
2025-10-24 10:00:00,33.62,34.43,33.57,34.4,3571400
2025-10-27 10:00:00,34.53,35.08,34.53,34.6,6212300
2025-10-28 10:00:00,34.56,34.75,34.38,34.51,5645300
2025-10-29 10:00:00,34.51,34.67,34.21,34.27,2690600
2025-10-30 10:00:00,34.27,34.36,33.83,34.08,3716300
2025-10-31 10:00:00,34.43,34.43,32.04,32.04,12811500
2025-11-03 10:00:00,32.07,32.5,32.04,32.25,7852600
2025-11-04 10:00:00,32.17,33.14,31.78,33.02,6332000
2025-11-05 10:00:00,33.02,34.22,32.91,33.85,5196100
2025-11-06 10:00:00,33.85,34.23,33.57,33.57,3118300
2025-11-07 10:00:00,33.57,33.95,33.49,33.63,3377900
2025-11-10 10:00:00,33.92,33.92,33.33,33.39,4045500
2025-11-11 10:00:00,33.6,34.67,33.42,34.67,7159400
2025-11-12 10:00:00,34.69,35.31,34.6,35.18,4503600
2025-11-13 10:00:00,35.14,35.41,34.41,35.2,4660000
2025-11-14 10:00:00,35.28,35.41,34.8,34.8,3230700
2025-11-17 10:00:00,34.8,34.84,34.23,34.23,2847200
2025-11-18 10:00:00,33.95,34.97,33.82,34.84,3604200
2025-11-19 10:00:00,34.57,34.89,34.26,34.38,2360000
2025-11-21 10:00:00,34.3,34.52,33.96,34.48,4196700
2025-11-24 10:00:00,34.39,34.95,34.32,34.71,5871800
2025-11-25 10:00:00,34.35,35.43,34.35,34.79,2085900
2025-11-26 10:00:00,34.84,35.45,34.84,35.11,2945200
2025-11-27 10:00:00,35.1,35.57,35.05,35.25,1352100
2025-11-28 10:00:00,35.26,35.57,35.1,35.43,2880400
2025-12-01 10:00:00,35.43,35.47,34.6,34.82,2717700
2025-12-02 10:00:00,35.0,35.12,34.66,35.09,2856500
2025-12-03 10:00:00,35.3,35.33,34.3,34.31,3134700
2025-12-04 10:00:00,34.49,35.01,34.4,35.01,2426700
2025-12-05 10:00:00,35.01,35.09,33.36,33.38,5412000
2025-12-08 10:00:00,33.55,33.86,33.4,33.7,3351100
2025-12-09 10:00:00,33.41,33.68,32.87,33.38,2958700
2025-12-10 10:00:00,33.65,34.23,33.33,34.07,2828500
2025-12-11 10:00:00,34.08,34.47,33.27,33.28,3154900
2025-12-12 10:00:00,33.28,33.74,33.05,33.45,3396300
2025-12-15 10:00:00,33.47,34.09,33.32,33.89,2273200
2025-12-16 10:00:00,33.56,33.62,32.66,33.04,4258100
2025-12-17 10:00:00,32.2,32.88,32.12,32.87,4122000
2025-12-18 10:00:00,32.8,33.18,32.64,32.91,4355200
2025-12-19 10:00:00,32.9,33.25,32.64,32.82,4251900
2025-12-22 10:00:00,32.85,32.85,32.13,32.46,4055800
2025-12-23 10:00:00,32.63,32.83,32.37,32.58,1754900
2025-12-26 10:00:00,32.41,33.07,32.39,33.02,1928700
2025-12-29 10:00:00,32.97,33.22,32.74,33.04,3318600
2025-12-30 10:00:00,33.09,33.3,32.96,33.1,6069800
2026-01-02 10:00:00,33.11,33.38,32.63,32.74,3586000
2026-01-05 10:00:00,32.74,33.36,32.68,33.09,3527800
2026-01-06 10:00:00,33.37,33.37,32.73,33.09,3893000
2026-01-07 10:00:00,32.95,33.3,32.76,32.76,3147400
2026-01-08 10:00:00,32.86,33.23,32.57,33.17,3782500
2026-01-09 10:00:00,33.15,33.7,33.14,33.4,3103200
2026-01-12 12:56:18,33.38,33.52,33.01,33.49,644000
